company,role,principle_name,principle_description,question,question_type,difficulty,quote,source
Coinbase,Senior,Mission-Focused Decision Making,Making unpopular decisions when it serves the long-term mission,"Tell me about a time when you had to make an unpopular decision that you believed was in the best interest of the company's long-term goals, even though it faced resistance from your team or stakeholders.",Leadership,Hard,"Does this help us achieve our mission? is one of the most common questions they ask themselves at Coinbase.","Brian Armstrong, CEO, Company Blog, 2021"
Coinbase,Mid Level,Customer-Centric Iteration,Continuous customer feedback and rapid iteration,"Tell me about a time when you had to iterate on a product or solution multiple times based on customer feedback, and how you balanced speed with quality.",Problem Solving,Medium,"Talk to the customer, iterate, talk to the customer, iterate.","Brian Armstrong, CEO, Tim Ferriss Show, 2022"
Coinbase,Leadership,Simplicity in Communication,Focusing on key messages and clear communication,"Tell me about a time when you had to communicate a complex vision or strategy to your organization, and how you ensured the core message resonated across different audiences.",Culture Fit,Hard,"You have the opportunity to stick only a few key messages in people's heads about what you're trying to achieve in the world.","Brian Armstrong, CEO, Company Blog, 2021"
Coinbase,Entry Level,Taking 100% Responsibility,Complete ownership of achieving the mission,"Tell me about a time when you took responsibility for a problem that wasn't explicitly part of your job description because you saw it was important for the team's success.",Values,Medium,"We take 100% responsibility for achieving the mission. We seek to improve all aspects of our company even in ways that are not explicitly part of our job.","Brian Armstrong, CEO, Cultural Tenets, 2021"
Slack,Senior,Empathy-Driven Problem Solving,Deep understanding of others' perspectives and incentives,"Tell me about a time when you had to solve a complex problem by first understanding the motivations and perspectives of all stakeholders involved.",Problem Solving,Hard,"Two things that I think have served me well are really deep thinking about what is going on in the mind of the other person and what kind of incentives have been created.","Stewart Butterfield, CEO, Thought Economics Interview, 2020"
Slack,Leadership,Philosophical Thinking,Using rigorous analysis and clear thinking to address challenges,"Tell me about a time when you approached a business challenge using first-principles thinking or philosophical reasoning rather than conventional industry practices.",Leadership,Hard,"There will always be a demand for understanding human beings.","Stewart Butterfield, CEO, Stanford Graduate School of Business, 2019"
Slack,Mid Level,Transparency and Open Communication,Creating culture where problems are openly discussed,"Tell me about a time when you proactively brought up a significant problem or challenge to leadership, and how you presented both the issue and potential solutions.",Culture Fit,Medium,"I prefer to start board meetings by discussing what's not going well... because I believe that we can do something about them.","Stewart Butterfield, CEO, Leadership Interview, 2020"
Slack,Entry Level,Leadership from Everywhere,Encouraging ownership and ideas from all levels,"Tell me about a time when you took initiative to lead a project or drive change, even though you weren't in a formal leadership position.",Values,Easy,"The platform is built on fostering 'leadership from everywhere', where every team member takes ownership of the group's success.","Stewart Butterfield, CEO, Company Philosophy, 2019"
Airbnb,Senior,Belong Anywhere Philosophy,Creating inclusive experiences for all users,"Tell me about a time when you had to design or improve a product or service to be more inclusive and accessible to a diverse group of users.",Values,Hard,"Our shared vision of belonging is the thread that weaves through every touchpoint on Airbnb.","Brian Chesky, CEO, Medium Blog, 2016"
Airbnb,Leadership,Design-Driven Problem Solving,Using design thinking to solve complex problems,"Tell me about a time when you approached a business problem from a design perspective, focusing on user experience and human-centered solutions.",Problem Solving,Hard,"Good design is not just about looking good; it's about solving problems.","Brian Chesky, CEO, Leadership Style Analysis, 2022"
Airbnb,Mid Level,Long-Term Vision Thinking,Building for sustainability over decades,"Tell me about a time when you had to convince your team to invest in a long-term solution that might not show immediate results but was crucial for future success.",Leadership,Medium,"Build a company that can survive for 100 years.","Brian Chesky, CEO, Leadership Interview, 2021"
Airbnb,Entry Level,Empathy and Community Building,Understanding and serving diverse communities,"Tell me about a time when you had to deeply understand the needs of a community or customer segment that was very different from yourself.",Culture Fit,Easy,"If we want this to be more than just something we put on a plaque, We have to take action.","Brian Chesky, CEO, Immigration Statement, 2017"
Okta,Senior,Identity as Security Foundation,Understanding that identity management is core to security,"Tell me about a time when you had to convince stakeholders that investing in foundational infrastructure was more important than feature development.",Leadership,Hard,"Identity is security. To get security right, you have to get Identity right.","Todd McKinnon, CEO, CNBC Interview, 2024"
Okta,Leadership,Transparency as Core Value,Fostering open communication and mutual trust,"Tell me about a time when you implemented or improved transparency practices in your organization, and how it impacted team performance and trust.",Culture Fit,Hard,"From the beginning, Okta has championed transparency as a core value: facilitating open lines of communication, fostering mutual trust, and uniting the whole company for a common cause.","Todd McKinnon, CEO, Company Blog, 2019"
Okta,Mid Level,Customer-First Development,Building solutions based on direct customer input,"Tell me about a time when you gathered direct feedback from customers to shape a product or service decision, and how that differed from internal assumptions.",Problem Solving,Medium,"The business only exists because Todd McKinnon and Frederic Kerrest spoke with prospects one-on-one to learn what they wanted to see in a cloud identity and security solution.","Todd McKinnon, CEO, Company History, 2019"
