company,role,principle_name,principle_description,question,question_type,difficulty,source
Roland Berger,Entry Level,Entrepreneurship,Actively exploring unconventional ideas and taking calculated risks,"Tell me about a time when you pursued an unconventional solution to a problem, even when others were skeptical.",Problem Solving,Medium,Roland Berger Values
Roland Berger,Mid Level,Excellence,Pursuing excellence in work and developing best practices,"Describe a situation where you went above and beyond to deliver excellent results for a client or project.",Culture Fit,Medium,Roland Berger Values
Roland Berger,Senior,Empathy,Acting as insightful and respectful advisors by understanding client positions,"Give me an example of when you had to understand a stakeholder's perspective to provide better advice or solutions.",Leadership,High,Roland Berger Values
Roland Berger,Leadership,Independence,Making autonomous decisions while maintaining ownership mentality,"Tell me about a time when you had to make a critical business decision independently without guidance from leadership.",Leadership,High,Roland Berger 9 Pledges
Roland Berger,Mid Level,Diversity & Inclusion,Valuing different perspectives and creating inclusive environments,"Describe a time when you leveraged diverse perspectives on your team to achieve better outcomes.",Teamwork,Medium,Roland Berger Culture
Roland Berger,Entry Level,Responsibility,Taking ownership of decisions and outcomes early in career,"Give me an example of when you took responsibility for a mistake and how you resolved it.",Values,Medium,Roland Berger Culture
Deutsche Bank,Mid Level,Client Centricity,Placing clients at the center and delivering on promises,"Tell me about a time when you had to go the extra mile to meet a client's expectations despite challenges.",Culture Fit,Medium,Deutsche Bank Core Values
Deutsche Bank,Senior,Integrity,Acting with honesty and maintaining high ethical standards,"Describe a situation where you had to make an ethical decision that was difficult but right for the business.",Values,High,Deutsche Bank Core Values
Deutsche Bank,Leadership,Sustainable Performance,Balancing risks and returns for long-term success,"Give me an example of when you had to balance short-term pressures with long-term strategic goals.",Leadership,High,Deutsche Bank Core Values
Deutsche Bank,Mid Level,Innovation,Embracing new approaches with careful risk management,"Tell me about a time when you introduced an innovative solution while managing associated risks.",Problem Solving,Medium,Deutsche Bank Core Values
Deutsche Bank,Entry Level,Discipline,Accepting responsibility and learning from mistakes,"Describe a time when you made a mistake and what you learned from that experience.",Values,Low,Deutsche Bank Core Values
Deutsche Bank,Senior,Global Collaboration,Working effectively across different time zones and cultures,"Give me an example of leading a cross-cultural team across multiple regions to achieve project goals.",Teamwork,High,Deutsche Bank Interview Focus
UBS,Mid Level,Client Focus,Putting client needs first in all decisions,"Tell me about a time when you had to prioritize a client's needs over internal convenience.",Culture Fit,Medium,UBS Values
UBS,Senior,Integrity,Building trust through ethical behavior and transparency,"Describe a situation where you had to maintain transparency even when it was uncomfortable.",Values,High,UBS Values
UBS,Leadership,Excellence,Striving for the highest standards in everything we do,"Give me an example of when you raised the bar for performance on your team or in your organization.",Leadership,High,UBS Values
UBS,Entry Level,Collaboration,Working together to achieve shared goals,"Tell me about a successful collaboration where you had to work with people from different departments.",Teamwork,Low,UBS Culture
UBS,Mid Level,Innovation,Finding better ways to serve clients and grow the business,"Describe a time when you identified and implemented a process improvement that benefited clients.",Problem Solving,Medium,UBS Culture
Credit Suisse,Senior,Client Partnership,Building long-term relationships based on trust and value,"Give me an example of how you built and maintained a strong client relationship over time.",Culture Fit,High,Credit Suisse Values
