name,title,company,quote,theme,source_url,date_accessed
Matt Garman,CEO,Amazon Web Services,"I think part of going to college is building critical thinking. It's less about the development of skills and it really is how do you become a critical thinker? In some ways I think that's actually going to be the most important skill going forward.",Critical Thinking,https://www.cnbc.com/2025/08/13/amazon-aws-ceo-the-most-important-skill-you-need-to-succeed-in-ai-age.html,2025-01-18
Sam Altman,CEO,OpenAI,"Critical thinking could be the most valuable skill of the future for human workers particularly those tasked with curating and refining the output of AI tools. AI can generate lots of great ideas but you still need a human there to say This is the thing other people want.",Critical Thinking,https://www.cnbc.com/2025/08/13/amazon-aws-ceo-the-most-important-skill-you-need-to-succeed-in-ai-age.html,2025-01-18
Elon Musk,CEO,Tesla/SpaceX,"Automation could free workers to focus on more complex and challenging work that requires critical thinking and problem-solving.",Critical Thinking,https://medium.com/@ajithr116/elon-musk-on-ai-and-jobs-the-future-of-automation-and-how-it-will-affect-the-economy-2fb692aa9fee,2025-01-18
David Solomon,CEO,Goldman Sachs,"AI can draft 95% of an IPO prospectus in minutes. The last 5 percent now matters because the rest is now a commodity.",Human Judgment,https://fortune.com/2025/01/17/goldman-sachs-ceo-david-solomon-ai-tasks-ipo-prospectus-s1-filing-sec/,2025-01-18
Bob Sternfels,Global Managing Partner,McKinsey & Company,"You can get to a pretty good average answer using the technology now. So the kind of basic layer of mediocre expertise goes away. But the distinctive expertise becomes even more valuable.",Human Expertise,https://futurism.com/mckinsey-terrified-ai-do-its-job,2025-01-18
Arvind Krishna,CEO,IBM,"Jobs that require critical thinking will very much be in demand jobs that require creativity will very much be in demand but a lot of good jobs will be eliminated.",Critical Thinking,https://cryptonews.net/news/other/27724586/,2025-01-18
Brian Moynihan,CEO,Bank of America,"Every decision we have to make as a leader you have to think about who's going to do it not what the decision is because decisions are relatively easy.",Critical Thinking,https://fortune.com/article/bank-of-america-ceo-leadership-csuite-strategy/,2025-01-18
Dario Gil,SVP and Director of Research,IBM,"Don't be an AI user be an AI value creator. Use the technology but think more structurally about how to create value in whatever domain you are in.",Value Creation,https://www.buffalo.edu/ubnow/stories/2024/06/ai-chat-series-dario-gil.html,2025-01-18
Ginni Rometty,Former CEO,IBM,"AI is not about automation. To get real value people must change how they think about things and how they do things.",Critical Thinking,https://bdtechtalks.com/2018/05/08/ibm-ceo-augmented-intelligence-ai/,2025-01-18
Dara Khosrowshahi,CEO,Uber,"AI is not going to replace you. The thing that's going to replace you is a human who knows how to use AI.",AI Skills,https://www.brown.edu/news/2025-04-10/dara-khosrowshahi,2025-01-18
Marc Benioff,CEO,Salesforce,"Being able to make judgment calls think creatively and practice emotional intelligence are skills that will stay in high demand — and these skills are not easily replicated by AI.",Human Skills,https://www.salesforce.com/artificial-intelligence/ai-quotes/,2025-01-18
Marc Benioff,CEO,Salesforce,"Humans have a superpower that AI doesn't - the ability to express compassion or truly connect with other people.",Human Connection,https://www.bigtechnology.com/p/salesforce-ceo-marc-benioff-has-thoughts,2025-01-18
Jensen Huang,CEO,NVIDIA,"AI innovations shouldn't make us feel threatened. They should make us feel empowered and excited about all the higher-level thinking and problem solving we'll be freed to do.",Critical Thinking,https://www.inc.com/peter-economy/17-jensen-huang-quotes-to-inspire-your-creativity-success.html,2025-01-18
Jensen Huang,CEO,NVIDIA,"The more creativity we bring to AI the more our AI can bring to creativity.",Human Creativity,https://business.columbia.edu/insights/digital-future/nvidia-ceo-jensen-huang-reveals-keys-ai-and-leadership,2025-01-18
Jensen Huang,CEO,NVIDIA,"AI is not going to take your job. The person who uses AI is going to take your job.",AI Skills,https://www.cnbc.com/2025/05/28/nvidia-ceo-jensen-huang-youll-lose-your-job-to-somebody-who-uses-ai.html,2025-01-18
Doug McMillon,CEO,Walmart,"We will compete with technology but win with people.",Human Skills,https://diginomica.com/walmart-ceo-doug-mcmillon-being-and-company-age-generative-ai-retail,2025-01-18
Andy Jassy,CEO,Amazon,"AI will inevitably reduce the need for certain jobs but it also creates a chance to reinvent roles and refocus energy on work that demands critical thinking strategy and innovation.",Critical Thinking,https://techstory.in/amazon-ceo-andy-jassy-says-ai-is-redefining-the-workforce-and-its-just-the-beginning/,2025-01-18
Warren Buffett,CEO,Berkshire Hathaway,"AI can change everything in the world except how men think and behave.",Human Thinking,https://fortune.com/2023/05/06/ai-warren-buffett-charlie-munger-berkshire-hathaway/,2025-01-18
Charlie Munger,Vice Chairman,Berkshire Hathaway,"I am personally skeptical of some of the hype that has gone into artificial intelligence. I think old-fashioned intelligence works pretty well.",Human Intelligence,https://www.axios.com/2024/05/04/warren-buffett-berkshire-meeting-ai,2025-01-18
Darren Walker,President,Ford Foundation,"Technology is going to be the intermediating force in our society for opportunity. And we cannot have the bias discrimination and unfairness that existed in the analog world to simply be transferred to the digital realm.",Critical Thinking,https://www.weforum.org/stories/2021/07/ai-machine-learning-bias-discrimination/,2025-01-18
Brian Chesky,CEO,Airbnb,"Products need to have a soul. That's a humanities question not a technological one.",Human Skills,https://www.fastcompany.com/90965220/airbnbs-brian-chesky-on-ai-if-only-a-few-people-control-the-future-its-not-going-to-end-well,2025-01-18
Brian Chesky,CEO,Airbnb,"We have to design principles. Such as what makes people happy? What is good for people? Those principles have to be imbued in the design of your product.",Critical Thinking,https://www.fastcompany.com/90965220/airbnbs-brian-chesky-on-ai-if-only-a-few-people-control-the-future-its-not-going-to-end-well,2025-01-18
Drew Houston,CEO,Dropbox,"You don't want to outsource judgment. Delegating your judgment to a machine it's a problem.",Human Judgment,https://mitsloan.mit.edu/alumni/why-dropbox-ceo-believes-ai-will-change-nature-work,2025-01-18
Drew Houston,CEO,Dropbox,"There's a lot of things that only humans can do for the foreseeable future. Computers don't really have soul or taste or don't have the same kind of creativity or the ability to synthesize information the same way.",Human Skills,https://blog.dropbox.com/podcast/working-smarter/drew-houston,2025-01-18
