Company,Role_Level,Principle_Name,Principle_Description,Behavioral_Question,Question_Type,Difficulty,Authentic_Quote,Source,Year
Genentech/Roche,Mid Level,Patient-First Innovation,Dedication to pursuing groundbreaking science to discover and develop medicines for people with serious and life-threatening diseases,Tell me about a time when you had to prioritize patient outcomes over short-term business objectives. How did you navigate competing stakeholder interests?,Values,Medium,"Genentech is a biotechnology company dedicated to pursuing groundbreaking science to discover and develop medicines for people with serious and life-threatening diseases. We are united in a bold quest to solve the world's most complex health challenges and serve society.",Genentech About Us,2024
Genentech/Roche,Senior,Collaborative Innovation,Collaboration is in Genentech's DNA - they strongly believe in the fundamental value of partnerships and forming relationships with innovative companies at all stages,Tell me about a time when you had to build a strategic partnership that seemed unlikely to succeed. What approach did you take to overcome initial skepticism?,Teamwork,Hard,"Collaboration is in Genentech's DNA - we strongly believe in the fundamental value of partnerships, and forming relationships with innovative and trustworthy companies at all stages of development is core to how we invent, discover, and develop new medicines.",Genentech Partners Page,2024
Genentech/Roche,Entry Level,Startup Spirit,Genentech Research and Early Development continues to embrace the spirit of a startup and operates as a separate business unit within Roche,Tell me about a time when you approached a problem with entrepreneurial thinking in a larger organizational context. What was your process?,Problem Solving,Medium,"Genentech Research and Early Development continues to embrace the spirit of a 'startup' and operates as a separate business unit within Roche.",Genentech Innovation Page,2024
Moderna,Leadership,Bold Vision Thinking,"Think big - don't be shy of thinking big, and you can really change the world; it's only people who think big who do big things",Tell me about a time when you proposed an idea that others considered impossible or impractical. How did you build support and execute your vision?,Leadership,Hard,"It might seem crazy but don't be shy of thinking big, and you can really change the world; it's only people who think big who do big things.",Stéphane Bancel - Harvard Innovation Labs,2024
Moderna,Mid Level,Transparent Communication,"Being raised in the culture of honesty and saying what's on your mind, not being political or complicated",Tell me about a time when you had to deliver difficult feedback or challenging news to stakeholders. How did you ensure clarity while maintaining relationships?,Culture Fit,Medium,"Being raised in the culture of honesty and saying what's on your mind, not being political or complicated. The ability to be blunt saves so much time and gives organizational clarity.",Stéphane Bancel - Morgan Stanley Interview,2024
Moderna,Senior,Patient Impact Focus,Every day matters - relentless focus on solving problems that make the world a better place,Tell me about a time when you had to maintain long-term focus on a mission-critical project during a crisis. How did you keep your team motivated?,Values,Hard,"You need to keep the mindset that every day matters. People [who] use their time to make this world a better place are much more happy.",Stéphane Bancel - Aspire Institute,2024
SpaceX,Leadership,First Principles Thinking,Physics teaches you to reason from first principles rather than by analogy - breaking down problems to fundamental components,Tell me about a time when you challenged conventional wisdom by breaking down a complex problem to its basic elements. What was your approach and outcome?,Problem Solving,Hard,"Physics teaches you to reason from first principles rather than by analogy. What is a rocket made of? Aerospace-grade aluminum alloys, plus some titanium, copper, and carbon fiber. Then I asked, what is the value of those materials on the commodity market?",Elon Musk - James Clear First Principles,2024
SpaceX,Senior,Mission-Driven Culture,"Mission to revolutionize space technology, with the ultimate goal of enabling people to live on other planets",Tell me about a time when you aligned a team around an ambitious long-term goal that seemed impossible. How did you maintain momentum?,Leadership,Hard,"SpaceX's mission statement is to revolutionize space technology, with the ultimate goal of enabling people to live on other planets.",SpaceX Mission Statement,2024
SpaceX,Mid Level,Innovative Risk-Taking,SpaceX places strong emphasis on innovation and risk-taking to redefine entire industries,Tell me about a time when you took a calculated risk that others in your organization were hesitant about. How did you evaluate and manage that risk?,Problem Solving,Medium,"SpaceX's core values include innovation, risk-taking, inclusion, and diversity. As a pioneering company in space exploration and technology, SpaceX places a strong emphasis on innovation.",SpaceX Values Analysis,2024
Boeing,Leadership,Safety First Culture,"Nothing is more important than the safety of the people who step on board our airplanes",Tell me about a time when you had to make a decision that prioritized safety over cost or schedule pressures. Walk me through your decision-making process.,Values,Hard,"Nothing is more important than the safety of the people who step on board our airplanes. Every day we seek to honor the memory of those lost through a steadfast commitment to safety and quality.",Dave Calhoun - Congressional Testimony,2024
Boeing,Senior,Employee Empowerment,"We've asked every one of our employees to consider themselves an aviation safety advocate. We are committed to making sure every employee feels empowered to speak up",Tell me about a time when you created systems or processes to encourage team members to voice concerns. How did you handle resistance?,Culture Fit,Medium,"We've asked every one of our employees to consider themselves an aviation safety advocate. We are committed to making sure every employee feels empowered to speak up if there is a problem.",Dave Calhoun - Senate Hearing,2024
Boeing,Mid Level,Accountability and Transparency,"We must continue to respond with humility and complete transparency. We also must inculcate a total commitment to safety and quality at every level",Tell me about a time when you had to take ownership of a significant mistake or failure. How did you communicate this to stakeholders and prevent recurrence?,Leadership,Hard,"We must continue to respond to this accident with humility and complete transparency. We also must inculcate a total commitment to safety and quality at every level of our company.",Dave Calhoun - Staff Message,2024
