Company,Role Level,Principle Name,Principle Description,Behavioral Question,Question Type,Difficulty,Quote,Source
Blackstone,Entry Level,Excellence,Strive for excellence in everything we do,Tell me about a time when you refused to accept good enough and pushed for excellence despite resource constraints.,Culture Fit,Medium,"We seek to create positive economic impact and long-term value for our investors, the companies in our portfolio, and the communities in which we work.","Stephen Schwarzman, CEO, Annual Investor Letter, 2024"
Blackstone,Mid Level,Integrity,Conduct business with the highest ethical standards,Describe a situation where you had to make a decision that tested your integrity with significant stakes involved.,Values,Hard,"We seek to create positive economic impact and long-term value for our investors, the companies in our portfolio, and the communities in which we work.","Stephen Schwarzman, CEO, Annual Investor Letter, 2024"
Blackstone,Senior,Entrepreneurship,Think and act like owners to create long-term value,Give me an example of when you identified and pursued an opportunity that others couldn't see.,Leadership,Hard,"We seek to create positive economic impact and long-term value for our investors, the companies in our portfolio, and the communities in which we work.","Stephen Schwarzman, CEO, Annual Investor Letter, 2024"
Blackstone,Leadership,Meritocracy,Reward performance and results above all else,Tell me about a time when you had to make difficult personnel decisions based purely on performance.,Leadership,Hard,"We seek to create positive economic impact and long-term value for our investors, the companies in our portfolio, and the communities in which we work.","Stephen Schwarzman, CEO, Annual Investor Letter, 2024"
Blackstone,Senior,Global Perspective,Apply global perspective to create value across markets,Describe how you've navigated cultural or regulatory differences to achieve success in a global context.,Problem Solving,Medium,"We seek to create positive economic impact and long-term value for our investors, the companies in our portfolio, and the communities in which we work.","Stephen Schwarzman, CEO, Annual Investor Letter, 2024"
Blackstone,Leadership,Innovation,Drive innovation in alternative investments,Give me an example of when you implemented an innovative approach that created competitive advantage.,Problem Solving,Hard,"We seek to create positive economic impact and long-term value for our investors, the companies in our portfolio, and the communities in which we work.","Stephen Schwarzman, CEO, Annual Investor Letter, 2024"
KKR,Entry Level,Ownership Mentality,Act like owners in every decision we make,Tell me about a time when you took personal ownership of a challenging situation and drove it to resolution.,Culture Fit,Medium,We believe that generating strong returns and building great businesses requires true partnership with management teams and a long-term perspective.,"Henry Kravis, Co-Founder, KKR Insights, 2024"
KKR,Mid Level,Partnership,Build lasting partnerships based on mutual respect,Describe how you've developed a strategic partnership that created sustainable value for all parties.,Teamwork,Medium,We believe that generating strong returns and building great businesses requires true partnership with management teams and a long-term perspective.,"Henry Kravis, Co-Founder, KKR Insights, 2024"
KKR,Senior,Long-term Value Creation,Focus on sustainable long-term value creation,Give me an example of when you balanced short-term pressures with long-term strategic objectives.,Problem Solving,Hard,We believe that generating strong returns and building great businesses requires true partnership with management teams and a long-term perspective.,"Henry Kravis, Co-Founder, KKR Insights, 2024"
KKR,Leadership,Principled Leadership,Lead with strong principles and unwavering ethics,Tell me about a time when you led through a crisis while maintaining your core principles.,Leadership,Hard,We believe that generating strong returns and building great businesses requires true partnership with management teams and a long-term perspective.,"Henry Kravis, Co-Founder, KKR Insights, 2024"
