Company,Role Level,Principle Name,Principle Description,Behavioral Question,Question Type,Difficulty,Quote,Source
Blackstone,Entry Level,Excellence,Strive for excellence in everything we do,Tell me about a time when you refused to accept good enough and pushed your team to achieve excellence.,Culture Fit,Medium,"We are in the business of creating economic value and positive change. Our success is measured not just by our returns, but by the lasting impact we have on the companies and communities we serve.","Stephen Schwarzman, CEO Letter to Investors, 2024"
Blackstone,Mid Level,Integrity,Conduct business with the highest ethical standards,Describe a situation where you had to make a difficult decision that tested your integrity.,Values,Hard,"We are in the business of creating economic value and positive change. Our success is measured not just by our returns, but by the lasting impact we have on the companies and communities we serve.","Stephen Schwarzman, CEO Letter to Investors, 2024"
Blackstone,Senior,Entrepreneurship,Think and act like owners to create value,Give me an example of when you took calculated risks to pursue a significant opportunity.,Leadership,Hard,"We are in the business of creating economic value and positive change. Our success is measured not just by our returns, but by the lasting impact we have on the companies and communities we serve.","Stephen Schwarzman, CEO Letter to Investors, 2024"
Blackstone,Leadership,Meritocracy,Reward performance and results above all else,Tell me about a time when you had to make tough personnel decisions based purely on merit.,Leadership,Hard,"We are in the business of creating economic value and positive change. Our success is measured not just by our returns, but by the lasting impact we have on the companies and communities we serve.","Stephen Schwarzman, CEO Letter to Investors, 2024"
KKR,Entry Level,Ownership Mentality,Act like owners in every decision we make,Tell me about a time when you took personal ownership of a challenging project and saw it through to success.,Culture Fit,Medium,"We invest behind great people with great ideas. Our approach is to be a true partner - providing not just capital, but strategic guidance, operational expertise, and global relationships.","Henry Kravis, Co-Founder, Annual Investor Meeting, 2024"
KKR,Mid Level,Partnership,Build lasting partnerships based on mutual respect and shared success,Describe how you've developed a strategic partnership that created value for all parties involved.,Teamwork,Medium,"We invest behind great people with great ideas. Our approach is to be a true partner - providing not just capital, but strategic guidance, operational expertise, and global relationships.","Henry Kravis, Co-Founder, Annual Investor Meeting, 2024"
KKR,Senior,Long-term Thinking,Make decisions with long-term value creation in mind,Give me an example of when you had to balance short-term pressures with long-term strategic objectives.,Problem Solving,Hard,"We invest behind great people with great ideas. Our approach is to be a true partner - providing not just capital, but strategic guidance, operational expertise, and global relationships.","Henry Kravis, Co-Founder, Annual Investor Meeting, 2024"
KKR,Leadership,Principled Leadership,Lead with strong principles and unwavering ethics,Tell me about a time when you had to lead through a crisis while maintaining your principles.,Leadership,Hard,"We invest behind great people with great ideas. Our approach is to be a true partner - providing not just capital, but strategic guidance, operational expertise, and global relationships.","Henry Kravis, Co-Founder, Annual Investor Meeting, 2024"
Apollo Global Management,Entry Level,Performance Excellence,Deliver superior performance for all stakeholders,Tell me about a time when you exceeded expectations and delivered exceptional results under pressure.,Culture Fit,Medium,"Our mission is to provide exceptional risk-adjusted returns for our investors through a disciplined approach to alternative investing across credit, private equity, and real assets.","Marc Rowan, CEO, Investor Day Presentation, 2024"
Apollo Global Management,Mid Level,Innovation,Continuously innovate to create competitive advantages,Describe a situation where you implemented an innovative approach that significantly improved outcomes.,Problem Solving,Hard,"Our mission is to provide exceptional risk-adjusted returns for our investors through a disciplined approach to alternative investing across credit, private equity, and real assets.","Marc Rowan, CEO, Investor Day Presentation, 2024"
Apollo Global Management,Senior,Global Collaboration,Leverage global expertise to maximize value creation,Give me an example of how you've collaborated across different teams or regions to achieve a common goal.,Teamwork,Medium,"Our mission is to provide exceptional risk-adjusted returns for our investors through a disciplined approach to alternative investing across credit, private equity, and real assets.","Marc Rowan, CEO, Investor Day Presentation, 2024"
Apollo Global Management,Leadership,Fiduciary Excellence,Maintain the highest standards of fiduciary responsibility,Tell me about a time when you had to prioritize client interests over personal or firm convenience.,Values,Hard,"Our mission is to provide exceptional risk-adjusted returns for our investors through a disciplined approach to alternative investing across credit, private equity, and real assets.","Marc Rowan, CEO, Investor Day Presentation, 2024"
Sequoia Capital,Entry Level,Long-term Partnership,Build enduring partnerships with exceptional founders,Tell me about a time when you built a relationship that created sustained mutual value over multiple years.,Culture Fit,Medium,"We help daring founders build legendary companies. We are in the business of building companies from the ground up, not just providing capital.","Roelof Botha, Managing Partner, Sequoia Capital Blog, 2024"
