company,role,principle_name,principle_description,question,question_type,difficulty,quote,source
Procter & Gamble,Entry Level,Consumer-Centric Innovation,Prioritizing innovation and brand building over promotional spending to serve consumers better,Tell me about a time when you chose to invest in a long-term solution rather than a quick fix to better serve customers.,Values,Medium,"We would rather invest $1 in innovation, or $1 in brand building any day of the week before we invest in promotion","Jon Moeller, CEO, Consumer Analyst Group of New York (CAGNY) conference, 2024"
Procter & Gamble,Mid Level,Superior Product Performance,Ensuring products deliver noticeably superior performance to consumers on first use,Tell me about a time when you had to improve a product or service that wasn't meeting customer expectations.,Problem Solving,Medium,"If you're going to be in categories where performance drives brand choice, you have to perform.","Jon Moeller, CEO, Marketing Week, 2024"
Procter & Gamble,Senior,Balanced Performance Leadership,Delivering strong results to both top and bottom line while maintaining strategic focus,Tell me about a time when you had to balance competing priorities between short-term results and long-term strategic goals.,Leadership,Hard,"The first objective was to commit ourselves to balance, to deliver to both the top and bottom lines.","Jon Moeller, CEO, P&G Investor Relations, 2022"
Procter & Gamble,Leadership,Consumer Delight Focus,Being driven by the pursuit of delighting consumers rather than being enamored by technology,Tell me about a time when you had to refocus a team on customer needs rather than getting caught up in internal processes or technology.,Leadership,Hard,"Get enamored with the pursuit of delight for consumers and customers","Jon Moeller, CEO, MIT Crossroads Conference, 2023"
Procter & Gamble,Senior,Strategic Partnership Building,Developing long-term strategic partnerships rather than transactional relationships,Tell me about a time when you built a strategic partnership that created mutual value over the long term.,Teamwork,Medium,"I'm a big believer in strategic partnerships as opposed to transactional partnerships.","Jon Moeller, CEO, P&G Investor Relations, 2023"
Procter & Gamble,Mid Level,Organizational Agility,Breaking down silos to create more efficient and effective organizations,Tell me about a time when you had to work across departments or functions to solve a complex problem.,Teamwork,Medium,"A siloed corporate model divided into different functions is an economic dinosaur","Jon Moeller, CEO, MIT Sloan Management Review, 2023"
Procter & Gamble,Entry Level,Data-Driven Decision Making,Using compelling data to help teams move forward and make better decisions,Tell me about a time when you used data to convince others to change their approach or strategy.,Problem Solving,Easy,"We needed very strong, compelling sets of data to help people move forward.","Jon Moeller, CEO, MIT Crossroads Conference, 2023"
Unilever,Mid Level,Realistic Sustainability Goals,Setting ambitious but achievable sustainability targets that deliver tangible short-term impact,Tell me about a time when you had to adjust expectations or goals to make them more realistic while maintaining high standards.,Values,Medium,"Our updated commitments are very stretching, but they are also intentionally and unashamedly realistic.","Hein Schumacher, CEO, Unilever Sustainability Report, 2024"
Unilever,Senior,Focused Resource Allocation,Concentrating efforts and resources on areas where the company can make the biggest impact,Tell me about a time when you had to reallocate resources from multiple small initiatives to focus on fewer high-impact projects.,Leadership,Hard,"We have learned from experience that we need to be more focused in our allocation of resources to make tangible progress on the big, complex challenges we face.","Hein Schumacher, CEO, Unilever Annual Report, 2024"
Unilever,Leadership,Business-Integrated Sustainability,Making sustainability progress integral to business performance rather than separate initiatives,Tell me about a time when you successfully integrated social or environmental considerations into business decision-making.,Values,Hard,"It's all about accelerating delivery, with greater impact, by making sustainability progress integral to business performance.","Hein Schumacher, CEO, Unilever Sustainability Report, 2024"
Unilever,Mid Level,Purpose-Driven Brand Management,Applying purpose and sustainability where it creates genuine competitive advantage,Tell me about a time when you aligned a project or initiative with a larger purpose or mission to drive better results.,Culture Fit,Medium,"I don't think we advance the cause of purpose by force-fitting it across every brand.","Hein Schumacher, CEO, Marketing Week, 2024"
Unilever,Entry Level,Innovation for Impact,Converting knowledge and expertise into products that eliminate environmental impact,Tell me about a time when you used your knowledge or skills to create a positive impact on others or the environment.,Values,Easy,"We'll continue to convert our strong know-how in this area into products that mitigate or, even better, eliminate environmental impact","Hein Schumacher, CEO, Unilever Innovation Report, 2024"
