Company,Role Level,Principle Name,Principle Description,Behavioral Question,Question Type,Difficulty,Authentic Quote,Source Attribution,Publication,Year
Volkswagen,Mid Level,Entrepreneurship and Team Spirit,Leadership approach based on measurability transparency accountability and team spirit,"Tell me about a time when you demonstrated entrepreneurship while working collaboratively with a team to solve a complex problem.",Leadership,Medium,"Our management approach is based on measurability, transparency, accountability and team spirit.",Oliver Blume,CEO Statement,2024
Volkswagen,Senior,Genuine and Straightforward,Code of Collaboration emphasizing genuine straightforward open-minded communication,"Tell me about a time when you had to have a difficult but necessary conversation with a colleague or team member.",Values,Hard,"Our Code of Collaboration with core values encapsulated in the terms 'genuine', 'straightforward', 'open-minded', 'as equals' and 'united'.",Volkswagen Group,Corporate Communications,2024
Volkswagen,Leadership,Sustainable Value Creation,Prioritizing sustainable value creation over volume growth,"Tell me about a time when you chose long-term sustainability over short-term gains in a business decision.",Problem Solving,Hard,"In future, Volkswagen Group will prioritize sustainable value creation over volume growth.",Arno Antlitz,CFO Statement,2024
BMW,Mid Level,Technological Openness,Technology-open and market-driven strategy allowing full leverage of potential,"Tell me about a time when you remained open to different technological solutions rather than committing to just one approach.",Problem Solving,Medium,"BMW's strategic direction is market-oriented and allows us to fully leverage the available potential across all markets and regions.",Oliver Zipse,CEO Statement,2024
BMW,Senior,Continuous and Simultaneous Progress,Belief in parallel approaches and continuous progress rather than replacement,"Tell me about a time when you managed multiple initiatives simultaneously to drive continuous improvement.",Leadership,Hard,"Rather than transformation where one thing replaces another, it is more a case of things happening at the same time: Parallel approaches that still unmistakably move us forwards.",Oliver Zipse,CEO Statement,2024
BMW,Leadership,Local Responsibility with Global Impact,Commitment to local communities while maintaining global perspective,"Tell me about a time when you balanced local community needs with broader organizational objectives.",Values,Hard,"Our roots lie in Munich and Bavaria – and origins come with a responsibility.",Oliver Zipse,CEO Statement,2024
Mercedes-Benz,Entry Level,Putting People First,Eight principles of collaboration that put people first,"Tell me about a time when you prioritized people over process to achieve a better outcome.",Culture Fit,Easy,"They all have one thing in common: They put people first!",Mercedes-Benz Group,Corporate Communications,2024
Mercedes-Benz,Mid Level,Empowerment and Co-creation,Foundation of effective collaboration through empowerment and co-creation,"Tell me about a time when you empowered others to co-create a solution rather than directing them.",Teamwork,Medium,"The principles of empowerment and co-creation are the foundation of effective collaboration.",Mercedes-Benz Group,Corporate Communications,2024
Mercedes-Benz,Leadership,Sustainable Transformation,Commitment to sustainable transformation while maintaining luxury standards,"Tell me about a time when you led a transformation initiative that balanced sustainability with performance standards.",Leadership,Hard,"The transformation of Mercedes-Benz to be more sustainable will only be successful if we also transform ourselves as a team.",Ola Källenius,CEO Statement,2024
Porsche,Mid Level,Passion and Commitment,Core values of pioneering spirit sportiness family and passion,"Tell me about a time when your passion for a project drove you to go above and beyond expectations.",Values,Medium,"Porsche's cultural mission statement is anchored in four key values: pioneering spirit, sportiness, a sense of family and Herzblut (passion).",Porsche AG,Corporate Communications,2024
