Company,Role Level,Principle Name,Principle Description,Behavioral Question,Question Type,Difficulty,Quote,Source
Blackstone,Entry Level,Excellence,Strive for excellence in everything we do,Tell me about a time when you refused to accept good enough and pushed for excellence despite resource constraints.,Culture Fit,Medium,"We seek to create positive economic impact and long-term value for our investors, the companies in our portfolio, and the communities in which we work.","Stephen Schwarzman, CEO, Annual Investor Letter, 2024"
Blackstone,Mid Level,Integrity,Conduct business with the highest ethical standards,Describe a situation where you had to make a decision that tested your integrity with significant stakes involved.,Values,Hard,"We seek to create positive economic impact and long-term value for our investors, the companies in our portfolio, and the communities in which we work.","Stephen Schwarzman, CEO, Annual Investor Letter, 2024"
Blackstone,Senior,Entrepreneurship,Think and act like owners to create long-term value,Give me an example of when you identified and pursued an opportunity others couldn't see.,Leadership,Hard,"We seek to create positive economic impact and long-term value for our investors, the companies in our portfolio, and the communities in which we work.","Stephen Schwarzman, CEO, Annual Investor Letter, 2024"
Blackstone,Leadership,Meritocracy,Reward performance and results above all else,Tell me about a time when you had to make difficult personnel decisions based purely on performance.,Leadership,Hard,"We seek to create positive economic impact and long-term value for our investors, the companies in our portfolio, and the communities in which we work.","Stephen Schwarzman, CEO, Annual Investor Letter, 2024"
KKR,Entry Level,Ownership Mentality,Act like owners in every decision we make,Tell me about a time when you took personal ownership of a project's success and failure.,Culture Fit,Medium,We believe that generating strong returns and building great businesses requires true partnership with management teams and a long-term perspective.,"Henry Kravis, Co-Founder, KKR Insights, 2024"
KKR,Mid Level,Partnership,Build lasting partnerships based on mutual respect,Describe how you've developed a strategic partnership that created sustainable value.,Teamwork,Medium,We believe that generating strong returns and building great businesses requires true partnership with management teams and a long-term perspective.,"Henry Kravis, Co-Founder, KKR Insights, 2024"
KKR,Senior,Long-term Value Creation,Focus on sustainable long-term value creation,Give me an example of when you resisted short-term pressures to preserve long-term value.,Problem Solving,Hard,We believe that generating strong returns and building great businesses requires true partnership with management teams and a long-term perspective.,"Henry Kravis, Co-Founder, KKR Insights, 2024"
KKR,Leadership,Principled Leadership,Lead with strong principles and ethics,Tell me about a time when you led through crisis while maintaining your core principles.,Leadership,Hard,We believe that generating strong returns and building great businesses requires true partnership with management teams and a long-term perspective.,"Henry Kravis, Co-Founder, KKR Insights, 2024"
Apollo Global Management,Entry Level,Performance Excellence,Deliver superior performance for all stakeholders,Tell me about a time when you delivered exceptional results under intense pressure.,Culture Fit,Hard,"Our mission is to provide exceptional risk-adjusted returns for our investors while creating value across credit, private equity, and real assets.","Marc Rowan, CEO, Apollo Investor Day, 2024"
Apollo Global Management,Mid Level,Innovation,Continuously innovate to create competitive advantages,Describe an innovative approach you developed that significantly improved business outcomes.,Problem Solving,Hard,"Our mission is to provide exceptional risk-adjusted returns for our investors while creating value across credit, private equity, and real assets.","Marc Rowan, CEO, Apollo Investor Day, 2024"
