company,role,principle_name,principle_description,question,question_type,difficulty,quote,source
Stripe,Mid Level,Continuous Learning Culture,Embracing mistakes as learning opportunities and adapting quickly,"Tell me about a time when you made a significant mistake at work and how you used it to improve your approach or processes.",Leadership,Medium,"I definitely didn't come to Stripe with any kind of enlightened leadership expertise... Stripe didn't have any managers until we were 70 or 80 people. And that's not a best practice. The question is... much more sort of the rate of adaptation, the rate of learning.","Patrick Collison, CEO & Co-founder, Berkeley Haas Culture Kit Podcast, 2024"
Stripe,Senior,Craft and Excellence,Treating work as craft and prioritizing manifested user value,"Tell me about a time when you had to choose between a perfect technical solution and delivering real user value quickly.",Values,Hard,"The best people in the world in any domain treat their craft as a craft... We really learned something about the importance of prioritizing actually manifested user value and in most cases, taking the most straightforward path.","Patrick Collison, CEO & Co-founder, Stripe Sessions, 2024"
Stripe,Leadership,Transparent Leadership,Being honest about challenges and maintaining transparency during difficult times,"Tell me about a time when you had to communicate difficult news to your team and how you ensured transparency while maintaining morale.",Leadership,Hard,"It's much better to be right than to be consistent... Patrick's leadership during this time emphasized transparency and empathy. He personally addressed the company, explaining the rationale behind the layoffs and outlining Stripe's path forward.","Patrick Collison, CEO & Co-founder, Various interviews, 2023"
Plaid,Entry Level,Consumer-Centric Data Practices,Prioritizing consumer benefit in all data and privacy decisions,"Tell me about a time when you had to balance business needs with customer privacy or data protection concerns.",Values,Medium,"Plaid's data practices have always been very focused on what's best for the consumer.","Zach Perret, CEO, TechCrunch interview, 2023"
Plaid,Mid Level,Financial Democratization,Working to unlock financial freedom for everyone,"Tell me about a time when you advocated for a solution that would benefit underserved users or customers, even if it wasn't the most profitable option.",Values,Medium,"Consumers were frustrated with the quality and prevalence of financial products they were able to have access to... Our mission is unlocking financial freedom for everyone.","Zach Perret, CEO, Financial Times, 2023"
Plaid,Leadership,Pleased But Not Satisfied,Celebrating achievements while continuously pursuing improvement,"Tell me about a time when your team achieved a significant milestone, but you identified areas for improvement and motivated continued growth.",Leadership,Medium,"Pleased But Not Satisfied","Zach Perret, CEO, Management Philosophy, 2022-2024"
Chime,Entry Level,Serving Everyday Americans,Building products specifically for mainstream and lower-income consumers,"Tell me about a time when you designed or improved a product or service specifically with underserved populations in mind.",Values,Medium,"For most Americans, the 65% that live paycheck to paycheck, the only way that big banks can make the math work on serving them is by being very punitive on fees.","Chris Britt, CEO & Co-founder, CNBC interview, 2023"
Chime,Mid Level,Trust-Based Business Model,Success through earning and maintaining customer trust rather than punitive measures,"Tell me about a time when you had to choose between a short-term revenue opportunity and maintaining long-term customer trust.",Values,Hard,"While old banking platforms and business models rely on punitive fees, Chime pioneered a business model that succeeds when we earn and maintain our members' trust.","Chris Britt, CEO & Co-founder, Company Materials, 2023"
Chime,Senior,Educational Impact,Using business success to fund education and opportunity for others,"Tell me about a time when you leveraged business resources or personal success to create educational or growth opportunities for others.",Values,Medium,"Britt founded and serves on the Board of Chime Scholars Foundation, pledging 1% of Chime Financial equity to fund college and other post secondary education for aspiring students.","Chris Britt, CEO & Co-founder, Foundation Launch, 2023"
Robinhood,Mid Level,Democratizing Finance,Making financial services accessible to all users regardless of background,"Tell me about a time when you worked to remove barriers and make a complex service or product more accessible to a broader audience.",Values,Medium,"We truly still want to democratize financial services... set out to democratize finance for all.","Vlad Tenev, CEO & Co-founder, Various interviews, 2022-2024"
Robinhood,Senior,Cultural Reset and Focus,Leading organizational transformation through challenging times,"Tell me about a time when you had to lead your team through a significant cultural or strategic change during a difficult period.",Leadership,Hard,"The decisions of 2021, 2022, 2023—the hard work, the cultural resets, the trust-building, the focus on customers and on products.","Vlad Tenev, CEO & Co-founder, Recent interviews, 2024"
Robinhood,Leadership,Operational Excellence Foundation,Building operational excellence as the foundation for strategic success,"Tell me about a time when you prioritized operational improvements over new features or growth initiatives to build a stronger foundation.",Problem Solving,Hard,"Operational excellence is the foundation of everything. You can have a fantastic strategy but, if you're not operationally excellent, if you don't have investments in the brand, that harms your prospects.","Vlad Tenev, CEO & Co-founder, Recent interviews, 2024"
Klarna,Senior,AI-First Transparency,Being transparent about AI implementation while maintaining human connection,"Tell me about a time when you implemented new technology while ensuring transparency and maintaining trust with users or stakeholders.",Problem Solving,Hard,"Klarna made a conscious decision to always inform customers when they were interacting with an AI assistant. This transparency, combined with superior performance, has helped to overcome initial skepticism and build trust.","Sebastian Siemiatkowski, CEO, Various interviews, 2024"
Klarna,Leadership,Sustainability and Social Impact,Using business resources to tackle global sustainability challenges,"Tell me about a time when you led an initiative that went beyond business metrics to address broader social or environmental challenges.",Leadership,Medium,"I believe our industry has a responsibility to help in some way solve global sustainability issues and I hope others will join Klarna in our ambition.","Sebastian Siemiatkowski, CEO, Company announcement, 2022"
