company,role,principle_name,principle_description,question,question_type,difficulty,quote,source
Dollar Tree,Mid Level,Customer Value Focus,Focus on delivering compelling bargains and responding to economic challenges,Tell me about a time when you had to adapt your approach to better serve customers facing financial constraints,"Problem Solving",Medium,"As a result of today's uncertain external landscape, especially the prolonged inflationary pressures negatively impacting our customers' discretionary spend, shoppers are seeking even stronger values when visiting our stores. In response, we remain focused on delivering the most compelling bargains possible while diligently managing expenses and inventory to maximize our opportunities for growth.","Rick Dreiling, CEO, Company Statement, 2023"
Dollar Tree,Senior,Leadership Transition,Managing health challenges while ensuring business continuity,Tell me about a time when you had to step away from a leadership role due to personal circumstances and how you ensured a smooth transition,"Leadership",Hard,"With my health presenting some new challenges over the past two months, the time is right for me to step away and focus on myself and my family. I have been honored to serve the customers and associates of Dollar Tree and Family Dollar since 2022.","Rick Dreiling, CEO, Company Statement, 2024"
General Mills,Leadership,Authenticity in Leadership,Building trust through authentic leadership during challenging times,Tell me about a time when you had to demonstrate authenticity to build trust with your team during a difficult period,"Leadership",Hard,"Authenticity was most important because it is 'the currency of trust, and you'll only follow the people that you trust'","Jeff Harmening, CEO, Consumer Goods Technology, 2023"
General Mills,Senior,Clarity in Communication,Providing clear direction when people seek certainty,Tell me about a time when you had to provide clarity to your team during uncertain circumstances,"Leadership",Medium,"The second is clarity. It is particularly important now because so many people want certainty","Jeff Harmening, CEO, Consumer Goods Technology, 2023"
General Mills,Mid Level,Teamwork Excellence,Building teams that accomplish more together than individually,Tell me about a time when you brought together a group of people to accomplish something none of them could achieve alone,"Teamwork",Medium,"The third is teamwork. Bring a group of people together that can accomplish what none of them can accomplish on their own","Jeff Harmening, CEO, Consumer Goods Technology, 2023"
General Mills,Entry Level,Character Revelation,How challenging situations reveal true character,Tell me about a time when a challenging situation revealed something important about your character,"Values",Easy,"Challenging times don't create character, but I do think they reveal it","Jeff Harmening, CEO, Consumer Brands Association, 2023"
General Mills,Mid Level,Integrated Sustainability,Integrating purpose throughout daily operations rather than treating it separately,Tell me about a time when you integrated a company value or principle into your daily work rather than treating it as a separate initiative,"Values",Medium,"We don't sell Cheerios in the morning and then think about sustainability in the afternoon","Jeff Harmening, CEO, Fortune, 2024"
Ross Stores,Senior,Value-Driven Response,Adapting business strategy to serve value-seeking customers in challenging times,Tell me about a time when you had to modify your strategy to better serve customers during economic uncertainty,"Problem Solving",Hard,"As a result of today's uncertain external landscape, especially the prolonged inflationary pressures negatively impacting our customers' discretionary spend, shoppers are seeking even stronger values when visiting our stores. In response, we remain focused on delivering the most compelling bargains possible while diligently managing expenses and inventory to maximize our opportunities for growth.","Barbara Rentler, CEO, Company Statement, 2023"
Ross Stores,Leadership,Gratitude and Legacy,Reflecting on long-term service and appreciating team contributions,Tell me about a time when you reflected on your career journey and showed appreciation for your team's contributions to your success,"Culture Fit",Medium,"I am deeply grateful not only for the last ten years, serving as CEO of Ross, but also for my entire tenure with the organization since joining the Company in 1986. For almost four decades, I have been privileged to work with some of the most talented people in retail. Their commitment and hard work have contributed to our expansion and profitability over the years.","Barbara Rentler, CEO, Company Statement, 2024"
Goodyear Tire,Leadership,Long-term Vision,Building foundations for future generations of leadership,Tell me about a time when you implemented a strategy that would benefit future leaders and the organization's long-term success,"Leadership",Hard,"Reflecting on the past 14 years, it has been an incredible privilege to lead this iconic American company as Chairman, CEO and President. As we embark on our next stage of growth, I am confident that our Goodyear Forward plan will build an even stronger foundation for the next generation of leadership to continue paving the way for Goodyear's enduring success","Rich Kramer, CEO, Company Statement, 2023"
