company,role,principle_name,principle_description,question,question_type,difficulty,quote,source
Otis Worldwide,Senior,The Otis Absolutes,Three non-negotiable absolutes: safety ethics and quality with no compromise,Tell me about a time when you had to maintain high standards on three critical aspects of a project or initiative without compromising on any of them.,Values,Hard,"From a foundational point of view, we have three absolutes in this company—safety, ethics and quality—with no compromise on any of those.",Judy Marks CEO McKinsey Interview 2024
Otis Worldwide,Mid Level,Distributed Leadership,Empowering leadership behaviors at all levels across the organization globally,Tell me about a time when you empowered team members at different levels to make decisions and lead initiatives in their areas.,Leadership,Medium,"That scale requires leadership at all levels. You can lead from the top, which we do... But you've also got to lead from the middle and from the edge.",Judy Marks CEO McKinsey Interview 2024
Otis Worldwide,Leadership,Purpose-Driven Service,Giving people freedom to connect and thrive while making a meaningful impact,Tell me about a time when you helped your team understand how their daily work contributes to a larger purpose or mission.,Culture Fit,Medium,"People make a decision every day about what kind of work they're going to do. That's what I love about Otis colleagues – we know that what we do matters.",Judy Marks CEO Otis Leadership Profile 2023
Otis Worldwide,Entry Level,Continuous Self-Disruption,Proactively challenging the status quo and leading industry evolution,Tell me about a time when you identified an opportunity to improve a process or approach before being asked to do so.,Problem Solving,Easy,"We need to continue to disrupt ourselves, disrupt our industry, and we can't wait for external disruptions. We need to anticipate it.",Judy Marks CEO Business Today Interview 2023
Otis Worldwide,Senior,Calm Under Pressure,Maintaining composure and strategic focus during uncertainty,Tell me about a time when you had to lead through a period of significant uncertainty or change while keeping your team focused.,Leadership,Hard,"Stay calm. Stay committed to our customers. Make sure we execute our strategy. But don't overreact.",Judy Marks CEO McKinsey Interview 2024
Emcor Group,Mid Level,Transparent Communication,Ensuring bad news travels fast to enable quick corrective action,Tell me about a time when you had to deliver difficult news to leadership and how you approached that conversation.,Culture Fit,Medium,"Bad news needs to travel fast... the sooner that corporate leadership can hear about them, the sooner that they can take corrective action.",Anthony Guzzi CEO Money Inc Profile 2021
Emcor Group,Leadership,Disciplined Execution,Systematic approach to project bidding program management and cost controls,Tell me about a time when you implemented rigorous processes to improve project outcomes and financial performance.,Problem Solving,Hard,"He has been instrumental in driving the company's successful effort to diversify its revenue and profit base, and to enable it to prosper across economic cycles.",Anthony Guzzi CEO Board Recognition 2020
Sealed Air,Senior,Confronting Adversity,Viewing challenges as business opportunities rather than obstacles,Tell me about a time when you turned a significant challenge or setback into a business opportunity.,Problem Solving,Hard,"Sealed Air doesn't run from adversity; we confront it as a business opportunity.",Edward Doheny CEO World Economic Forum 2020
Sealed Air,Mid Level,Sustainability as Strategy,Integrating environmental responsibility with business success,Tell me about a time when you balanced short-term business needs with long-term sustainability goals.,Values,Medium,"We're meeting the needs of today while positioning Sealed Air to meet the needs of the future... It's good for business, good for society.",Edward Doheny CEO World Economic Forum 2020
Sealed Air,Entry Level,Innovation Focus,Making products smarter thinner and lighter rather than just adding features,Tell me about a time when you simplified or improved something by focusing on essential functionality rather than adding complexity.,Problem Solving,Easy,"We're making products smarter, thinner and lighter rather than just adding features.",Edward Doheny CEO LinkedIn Interview 2020
Akamai Technologies,Leadership,Security-First Transformation,Evolving business model to prioritize cybersecurity and protection,Tell me about a time when you led a significant transformation or pivot in your area of responsibility.,Leadership,Hard,"Under Dr. Leighton's leadership, Akamai expanded its portfolio beyond CDN services to cybersecurity, and most recently, cloud computing.",Tom Leighton CEO Company Profile 2024
