company,question,difficulty,question_type,skills_assessed,ba_level,source
Google,"Stakeholders are giving you conflicting requirements for the same feature. How do you resolve this?",Mid,Stakeholder Management,Stakeholder Management & Communication,Business Analyst,General
Microsoft,"You discover the current process has a 40% error rate that no one mentioned. How do you proceed?",Senior,Process Analysis,Business Process Mapping & Optimization,Senior BA,General
Amazon,"Users say the new system is too complex but IT says it meets all requirements. What's your approach?",Mid,Solution Design,Solution Design & Evaluation,Business Analyst,General
Salesforce,"A key stakeholder keeps changing requirements weekly. How do you manage this?",Mid,Stakeholder Management,Stakeholder Management & Communication,Business Analyst,General
Oracle,"You need to gather requirements from 15 different departments. How do you structure this?",Senior,Requirements Gathering,Requirements Gathering & Analysis,Senior BA,General
General,"The project timeline is cut in half but scope remains the same. What's your BA strategy?",Senior,Project Coordination,Project Coordination & Management,Senior BA,General
SAP,"During requirements gathering, users describe their dream system but budget is limited. How do you handle this?",Mid,Requirements Gathering,Requirements Gathering & Analysis,Business Analyst,General
IBM,"You find that two different business units have opposite interpretations of the same requirement. What do you do?",Senior,Requirements Gathering,Requirements Gathering & Analysis,Senior BA,General
Accenture,"The current process involves 12 handoffs and takes 3 weeks. How do you analyze and improve this?",Senior,Process Analysis,Business Process Mapping & Optimization,Senior BA,General
Deloitte,"Stakeholders claim they need real-time data but can't explain why. How do you dig deeper?",Mid,Requirements Gathering,Requirements Gathering & Analysis,Business Analyst,General
Google,"You're asked to document a process that everyone does differently. Where do you start?",Mid,Documentation,Documentation & Communication,Business Analyst,General
Microsoft,"The business wants to automate everything but some processes aren't standardized. What's your approach?",Senior,Process Analysis,Business Process Mapping & Optimization,Senior BA,General
Amazon,"You discover that users have created workarounds for the current system. How do you factor this into your analysis?",Mid,Process Analysis,Business Process Mapping & Optimization,Business Analyst,General
Salesforce,"A stakeholder says 'just make it like our competitor' but won't provide more details. How do you proceed?",Junior,Requirements Gathering,Requirements Gathering & Analysis,Junior BA,General
Oracle,"You need to present complex technical requirements to non-technical executives. How do you approach this?",Mid,Documentation,Technical Communication & Translation,Business Analyst,General
General,"The data you're analyzing shows completely different patterns than what stakeholders described. What do you do?",Senior,Data Analysis,Data Analysis & Visualization,Senior BA,General
SAP,"Users are resistant to change and claim the new system will make their jobs harder. How do you address this?",Mid,Change Management,Change Management & Implementation,Business Analyst,General
IBM,"You're midway through requirements gathering when the business strategy changes. How do you adapt?",Senior,Requirements Gathering,Requirements Gathering & Analysis,Senior BA,General
Accenture,"Two departments need the same functionality but have different business rules. How do you design a solution?",Senior,Solution Design,Solution Design & Evaluation,Senior BA,General
Deloitte,"The business owner says 'I'll know it when I see it' for a critical requirement. How do you handle this?",Mid,Requirements Gathering,Requirements Gathering & Analysis,Business Analyst,General
Google,"You find that the root cause of the business problem is organizational, not technical. What's your next step?",Staff,Problem Solving,Problem Solving & Critical Thinking,Lead BA,General
Microsoft,"Stakeholders want to skip user acceptance testing to meet deadline. How do you respond?",Mid,Project Coordination,Project Coordination & Management,Business Analyst,General
Amazon,"The current system has undocumented features that users depend on. How do you capture these requirements?",Mid,Requirements Gathering,Requirements Gathering & Analysis,Business Analyst,General
Salesforce,"You're told to analyze a process but employees won't share how they actually do their work. What's your strategy?",Mid,Process Analysis,Business Process Mapping & Optimization,Business Analyst,General
Oracle,"The business wants a simple solution but their requirements are inherently complex. How do you bridge this gap?",Senior,Solution Design,Solution Design & Evaluation,Senior BA,General
General,"You discover that the problem the business wants to solve isn't actually their biggest pain point. How do you proceed?",Senior,Problem Solving,Problem Solving & Critical Thinking,Senior BA,General
SAP,"Stakeholders give you high-level requirements but can't articulate the details. How do you extract what you need?",Junior,Requirements Gathering,Requirements Gathering & Analysis,Junior BA,General
IBM,"The business process you're analyzing involves regulatory compliance. How does this change your approach?",Senior,Process Analysis,Business Process Mapping & Optimization,Senior BA,General
Accenture,"You need to compare three different solution options for stakeholders. How do you structure this analysis?",Mid,Solution Design,Solution Design & Evaluation,Business Analyst,General
Deloitte,"The data shows the current process is actually working well, but stakeholders insist it's broken. How do you handle this?",Senior,Data Analysis,Data Analysis & Visualization,Senior BA,General
Google,"Users are requesting features that would violate company security policies. How do you address this?",Mid,Requirements Gathering,Requirements Gathering & Analysis,Business Analyst,General
Microsoft,"You're asked to optimize a process but don't have access to key performance metrics. What do you do?",Mid,Data Analysis,Data Analysis & Visualization,Business Analyst,General
Amazon,"The business wants to implement a solution in 2 weeks but you've identified 20 dependencies. How do you respond?",Senior,Project Coordination,Project Coordination & Management,Senior BA,General
Salesforce,"Different user groups have conflicting priorities for the same system. How do you prioritize requirements?",Mid,Requirements Gathering,Requirements Gathering & Analysis,Business Analyst,General
Oracle,"You're told the budget is unlimited but timeline is fixed at 3 months. How does this impact your requirements approach?",Senior,Requirements Gathering,Requirements Gathering & Analysis,Senior BA,General
