company,question,difficulty,question_type,skills_assessed,consulting_level,source
McKinsey,"A client CEO disagrees with your analysis and becomes defensive during the presentation. How do you handle this?",Senior,Client Management,Client Relationship Management,Manager,Interview
BCG,"Your team discovers the project scope has changed significantly but the timeline remains the same. What's your approach?",Mid,Project Leadership,Project Management & Leadership,Senior Consultant,Interview
Bain,"A key stakeholder is undermining your recommendations in private meetings. How do you address this?",Senior,Client Management,Client Relationship Management,Senior Manager,Interview
Deloitte,"You realize your initial hypothesis was wrong three weeks into a six-week project. What do you do?",Mid,Problem Solving,Structured Problem Solving,Consultant,Interview
PwC,"The client's data shows conflicting trends compared to industry benchmarks. How do you proceed?",Junior,Data Analysis,Data Analysis & Insights,Business Analyst,Interview
EY,"A junior team member is struggling to keep up with the project pace. How do you manage this?",Mid,Team Leadership,Team Leadership & Development,Senior Consultant,Interview
KPMG,"The client requests a change that would compromise the quality of your deliverable. How do you respond?",Senior,Client Management,Client Relationship Management,Manager,Interview
Accenture,"You need to present bad news to a client who has high expectations. What's your strategy?",Mid,Communication,Communication & Presentation,Consultant,Interview
Oliver Wyman,"Your analysis contradicts the client's existing strategy that they're heavily invested in. How do you proceed?",Senior,Strategic Thinking,Strategic Thinking & Framework Application,Senior Manager,Interview
LEK,"A client team member leaks confidential project information. How do you handle this situation?",Senior,Client Management,Client Relationship Management,Principal,Interview
AT Kearney,"You discover a significant error in your team's analysis the day before the final presentation. What do you do?",Senior,Problem Solving,Structured Problem Solving,Manager,Interview
Roland Berger,"The client wants to implement your recommendations faster than you believe is feasible. How do you respond?",Mid,Change Management,Change Management & Implementation,Senior Consultant,Interview
General,"A client says your recommendations are too theoretical and won't work in practice. How do you address this?",Mid,Client Management,Client Relationship Management,Consultant,Interview
McKinsey,"Your project is over budget and the client is questioning the value delivered. How do you handle this conversation?",Senior,Client Management,Client Relationship Management,Senior Manager,Interview
BCG,"Two client departments have conflicting priorities that affect your project. How do you navigate this?",Mid,Client Management,Client Relationship Management,Manager,Interview
Bain,"You need to deliver a presentation to the board with only half the expected analysis complete. What's your approach?",Senior,Communication,Communication & Presentation,Senior Manager,Interview
Deloitte,"A competitor's proposal surfaces during your project that offers similar solutions at lower cost. How do you respond?",Senior,Client Management,Client Relationship Management,Principal,Interview
PwC,"Your team member disagrees with your methodology in front of the client. How do you handle this?",Mid,Team Leadership,Team Leadership & Development,Manager,Interview
EY,"The client wants to extend the project scope without additional budget. How do you manage this request?",Mid,Project Leadership,Project Management & Leadership,Senior Consultant,Interview
KPMG,"You discover the client has been implementing competing recommendations from another consultant. What do you do?",Senior,Client Management,Client Relationship Management,Senior Manager,Interview
Accenture,"A key client stakeholder leaves the company mid-project. How do you adjust your approach?",Mid,Change Management,Change Management & Implementation,Consultant,Interview
Oliver Wyman,"Your data analysis reveals problems the client doesn't want to acknowledge. How do you proceed?",Senior,Communication,Communication & Presentation,Manager,Interview
LEK,"The client team lacks the skills to implement your recommendations. How do you address this gap?",Mid,Change Management,Change Management & Implementation,Senior Consultant,Interview
AT Kearney,"You're asked to present to a hostile audience that opposes your project. How do you prepare?",Senior,Communication,Communication & Presentation,Senior Manager,Interview
Roland Berger,"A junior consultant on your team makes a significant error that the client notices. How do you handle it?",Mid,Team Leadership,Team Leadership & Development,Manager,Interview
General,"The client's culture strongly resists the changes you're recommending. What's your strategy?",Mid,Change Management,Change Management & Implementation,Consultant,Interview
McKinsey,"You have conflicting deadlines from multiple senior stakeholders. How do you prioritize?",Mid,Project Leadership,Project Management & Leadership,Senior Consultant,Interview
BCG,"The client questions your team's qualifications for their industry. How do you establish credibility?",Junior,Client Management,Client Relationship Management,Business Analyst,Interview
Bain,"Your analysis supports a decision that would result in significant layoffs. How do you present this?",Senior,Communication,Communication & Presentation,Principal,Interview
Deloitte,"A client executive tries to influence your analysis to support their preferred outcome. How do you respond?",Senior,Client Management,Client Relationship Management,Manager,Interview
PwC,"You need to work with a client team that has failed on similar projects before. How do you build confidence?",Mid,Client Management,Client Relationship Management,Senior Consultant,Interview
EY,"The project timeline is unrealistic but the client insists on the deadline. How do you manage expectations?",Mid,Project Leadership,Project Management & Leadership,Manager,Interview
KPMG,"Your recommendation could negatively impact a client's personal interests. How do you navigate this?",Senior,Client Management,Client Relationship Management,Senior Manager,Interview
Accenture,"The client wants to see progress but you're still in the data gathering phase. How do you respond?",Junior,Communication,Communication & Presentation,Consultant,Interview
Oliver Wyman,"You discover your team's approach is similar to a failed project the client tried before. What do you do?",Mid,Problem Solving,Structured Problem Solving,Senior Consultant,Interview
LEK,"A client stakeholder provides contradictory information compared to documented facts. How do you address this?",Mid,Client Management,Client Relationship Management,Consultant,Interview
AT Kearney,"Your project requires client data that they're reluctant to share. How do you gain access?",Mid,Client Management,Client Relationship Management,Senior Consultant,Interview
Roland Berger,"The client wants to implement only part of your integrated solution. How do you respond?",Senior,Strategic Thinking,Strategic Thinking & Framework Application,Manager,Interview
General,"You need to give feedback to a client about their team's poor performance. How do you approach this?",Senior,Communication,Communication & Presentation,Senior Manager,Interview
McKinsey,"A client asks you to present findings that support a predetermined conclusion. How do you handle this?",Senior,Client Management,Client Relationship Management,Principal,Interview
BCG,"Your team is behind schedule due to client delays in providing information. How do you manage this?",Mid,Project Leadership,Project Management & Leadership,Manager,Interview
Bain,"The client's expectations have grown beyond the original project scope. How do you realign them?",Mid,Client Management,Client Relationship Management,Senior Consultant,Interview
Deloitte,"You identify a major strategic risk the client hasn't considered. How do you raise this concern?",Senior,Strategic Thinking,Strategic Thinking & Framework Application,Senior Manager,Interview
PwC,"A client team member questions your methodology publicly in a meeting. How do you respond?",Mid,Communication,Communication & Presentation,Consultant,Interview
EY,"The client wants detailed progress reports that would consume significant project time. How do you balance this?",Mid,Project Leadership,Project Management & Leadership,Senior Consultant,Interview
KPMG,"Your analysis reveals the client's current strategy is fundamentally flawed. How do you communicate this?",Senior,Communication,Communication & Presentation,Manager,Interview
Accenture,"The client team has conflicting opinions about project priorities. How do you build consensus?",Mid,Client Management,Client Relationship Management,Senior Consultant,Interview
Oliver Wyman,"You need to deliver results with incomplete data due to time constraints. What's your approach?",Mid,Problem Solving,Structured Problem Solving,Consultant,Interview
LEK,"A client executive micromanages your team's daily activities. How do you address this?",Mid,Client Management,Client Relationship Management,Manager,Interview
AT Kearney,"Your recommendations require significant organizational change that the client fears. How do you proceed?",Senior,Change Management,Change Management & Implementation,Senior Manager,Interview
Roland Berger,"The client questions the ROI of your recommendations during implementation. How do you respond?",Senior,Communication,Communication & Presentation,Principal,Interview
General,"You discover the client has unrealistic expectations about implementation timelines. How do you reset them?",Mid,Change Management,Change Management & Implementation,Senior Consultant,Interview
McKinsey,"A key client decision-maker is avoiding meetings and not responding to communications. What do you do?",Senior,Client Management,Client Relationship Management,Manager,Interview
BCG,"Your team's recommendations conflict with the client's recent strategic investments. How do you address this?",Senior,Strategic Thinking,Strategic Thinking & Framework Application,Senior Manager,Interview
Bain,"The client wants to see competitive benchmarking that could compromise confidentiality. How do you handle this?",Senior,Client Management,Client Relationship Management,Principal,Interview
