company,question,difficulty,question_type,skills_assessed,strategy_level,source
McKinsey,"How would you prioritize three competing strategic initiatives with limited budget?",Mid,Strategic Planning,Strategic Thinking & Framework Application,Strategist,Interview
BCG,"A competitor just launched a feature identical to your roadmap. What's your response?",Senior,Competitive Strategy,Problem Solving & Critical Thinking,Senior Strategist,Interview
Bain,"Your CEO wants to enter a new market. Walk me through your first 30 days.",Senior,Market Analysis,Strategic Thinking & Framework Application,Senior Strategist,Interview
Google,"How would you convince a reluctant partner to integrate with our platform?",Mid,Business Development,Communication & Stakeholder Management,Strategist,Interview
Apple,"Our product adoption is plateauing. Design a growth strategy.",Senior,Growth Strategy,Strategic Thinking & Framework Application,Senior Strategist,Interview
Microsoft,"A startup is disrupting our core business. How do we respond?",Staff,Competitive Strategy,Strategic Thinking & Framework Application,Staff Strategist,Interview
Amazon,"We have $10M to expand internationally. Which markets and why?",Senior,Strategic Planning,Market Analysis & Competitive Intelligence,Senior Strategist,Interview
Meta,"User engagement is down 20%. What's your strategic response?",Senior,Growth Strategy,Data Analysis & Insights Generation,Senior Strategist,Interview
Tesla,"How would you enter the autonomous vehicle market ahead of competitors?",Staff,Innovation Strategy,Strategic Thinking & Framework Application,Staff Strategist,Interview
Netflix,"Content costs are rising faster than revenue. What's your strategy?",Senior,Strategic Planning,Financial Analysis & Business Modeling,Senior Strategist,Interview
Goldman Sachs,"How would you structure a partnership with a fintech startup?",Mid,Business Development,Business Development & Partnership Strategy,Strategist,Interview
JPMorgan,"Regulatory changes threaten our key revenue stream. What do we do?",Senior,Strategic Planning,Problem Solving & Critical Thinking,Senior Strategist,Interview
General,"You discover your biggest customer is planning to become a competitor. Next steps?",Senior,Competitive Strategy,Strategic Thinking & Framework Application,Senior Strategist,Interview
General,"How do you decide between building, buying, or partnering for new capabilities?",Mid,Strategic Planning,Strategic Thinking & Framework Application,Strategist,Interview
General,"Your board wants 30% growth but market is only growing 5%. Your approach?",Senior,Growth Strategy,Strategic Thinking & Framework Application,Senior Strategist,Interview
McKinsey,"A client's market share dropped from 40% to 25% in two years. Diagnose the problem.",Senior,Market Analysis,Market Analysis & Competitive Intelligence,Senior Strategist,Interview
BCG,"How would you evaluate whether to divest an underperforming business unit?",Senior,Strategic Planning,Financial Analysis & Business Modeling,Senior Strategist,Interview
Bain,"Your client wants to double revenue in 3 years. Is this realistic and how?",Mid,Growth Strategy,Strategic Thinking & Framework Application,Strategist,Interview
Google,"How would you monetize a free product with 100M users but no revenue?",Senior,Strategic Planning,Strategic Thinking & Framework Application,Senior Strategist,Interview
Apple,"Design a strategy to compete with lower-cost alternatives in emerging markets.",Senior,Competitive Strategy,Market Analysis & Competitive Intelligence,Senior Strategist,Interview
Microsoft,"How would you decide which of 5 potential acquisitions to pursue?",Staff,Strategic Planning,Strategic Thinking & Framework Application,Staff Strategist,Interview
Amazon,"We're losing market share to a smaller, more agile competitor. Strategy?",Senior,Competitive Strategy,Strategic Thinking & Framework Application,Senior Strategist,Interview
Meta,"How would you approach entering the enterprise software market?",Senior,Market Analysis,Market Analysis & Competitive Intelligence,Senior Strategist,Interview
Tesla,"Energy storage demand is growing 50% annually. How do we capture this opportunity?",Mid,Growth Strategy,Strategic Thinking & Framework Application,Strategist,Interview
Netflix,"How would you compete against Disney+ and their content library advantage?",Senior,Competitive Strategy,Strategic Thinking & Framework Application,Senior Strategist,Interview
Goldman Sachs,"Interest rates are rising rapidly. How does this change our strategy?",Senior,Strategic Planning,Industry Knowledge & Trends,Senior Strategist,Interview
JPMorgan,"A tech giant wants to partner on payment solutions. Evaluate this opportunity.",Mid,Business Development,Business Development & Partnership Strategy,Strategist,Interview
General,"Your startup competitor just raised $100M. How do you respond?",Mid,Competitive Strategy,Strategic Thinking & Framework Application,Strategist,Interview
General,"Customer acquisition costs doubled while lifetime value stayed flat. What now?",Senior,Growth Strategy,Financial Analysis & Business Modeling,Senior Strategist,Interview
General,"How would you enter a market dominated by three established players?",Senior,Market Analysis,Strategic Thinking & Framework Application,Senior Strategist,Interview
McKinsey,"Your client's industry is being disrupted by AI. Develop a transformation strategy.",Staff,Innovation Strategy,Strategic Thinking & Framework Application,Staff Strategist,Interview
BCG,"How would you prioritize investments across R&D, marketing, and operations?",Senior,Strategic Planning,Financial Analysis & Business Modeling,Senior Strategist,Interview
Bain,"A private equity firm wants to buy your client. How do you maximize value?",Senior,Strategic Planning,Financial Analysis & Business Modeling,Senior Strategist,Interview
Google,"How would you structure a go-to-market strategy for a B2B AI product?",Mid,Strategic Planning,Strategic Thinking & Framework Application,Strategist,Interview
Apple,"Privacy regulations are limiting our data collection. Adapt our strategy.",Senior,Strategic Planning,Problem Solving & Critical Thinking,Senior Strategist,Interview
Microsoft,"How would you integrate a $5B acquisition without disrupting core business?",Staff,Strategic Execution,Change Management & Execution,Staff Strategist,Interview
Amazon,"Design a strategy to reduce our carbon footprint while maintaining growth.",Senior,Strategic Planning,Strategic Thinking & Framework Application,Senior Strategist,Interview
Meta,"How would you respond to a major data breach affecting user trust?",Senior,Strategic Execution,Communication & Stakeholder Management,Senior Strategist,Interview
Tesla,"Battery costs need to drop 40% for mass market adoption. Your approach?",Senior,Innovation Strategy,Strategic Thinking & Framework Application,Senior Strategist,Interview
Netflix,"How would you expand into gaming to compete with traditional entertainment?",Mid,Growth Strategy,Strategic Thinking & Framework Application,Strategist,Interview
Goldman Sachs,"Cryptocurrency is gaining mainstream adoption. How do we position ourselves?",Senior,Strategic Planning,Industry Knowledge & Trends,Senior Strategist,Interview
JPMorgan,"How would you build a digital-first banking strategy for millennials?",Mid,Growth Strategy,Strategic Thinking & Framework Application,Strategist,Interview
General,"You have 6 months to turn around a failing product. What's your plan?",Senior,Strategic Execution,Change Management & Execution,Senior Strategist,Interview
General,"How do you balance short-term profitability with long-term growth investments?",Senior,Strategic Planning,Financial Analysis & Business Modeling,Senior Strategist,Interview
General,"Your industry is consolidating rapidly. Should you be a consolidator or target?",Senior,Strategic Planning,Strategic Thinking & Framework Application,Senior Strategist,Interview
McKinsey,"A traditional retailer wants to compete with Amazon. Is this feasible?",Senior,Competitive Strategy,Market Analysis & Competitive Intelligence,Senior Strategist,Interview
BCG,"How would you evaluate the strategic value of expanding into adjacent markets?",Mid,Market Analysis,Strategic Thinking & Framework Application,Strategist,Interview
Bain,"Your client's core technology is becoming obsolete. Plan the transition.",Staff,Innovation Strategy,Strategic Thinking & Framework Application,Staff Strategist,Interview
Google,"How would you structure partnerships with traditional media companies?",Mid,Business Development,Business Development & Partnership Strategy,Strategist,Interview
Apple,"Design a strategy to maintain premium pricing in a commoditizing market.",Senior,Competitive Strategy,Strategic Thinking & Framework Application,Senior Strategist,Interview
Microsoft,"How would you compete in a market where open-source solutions dominate?",Senior,Competitive Strategy,Strategic Thinking & Framework Application,Senior Strategist,Interview
Amazon,"We're considering same-day delivery globally. Evaluate this strategy.",Senior,Strategic Planning,Strategic Thinking & Framework Application,Senior Strategist,Interview
Meta,"How would you address declining user engagement among Gen Z?",Mid,Growth Strategy,Data Analysis & Insights Generation,Strategist,Interview
Tesla,"Develop a strategy to scale manufacturing from 1M to 20M vehicles annually.",Staff,Strategic Planning,Strategic Thinking & Framework Application,Staff Strategist,Interview
Netflix,"How would you enter the live sports streaming market?",Senior,Market Analysis,Strategic Thinking & Framework Application,Senior Strategist,Interview
Goldman Sachs,"How would you position the firm for the next economic downturn?",Senior,Strategic Planning,Industry Knowledge & Trends,Senior Strategist,Interview
JPMorgan,"Design a strategy to compete with neobanks in retail banking.",Mid,Competitive Strategy,Strategic Thinking & Framework Application,Strategist,Interview
General,"Your team disagrees on strategic direction. How do you build consensus?",Mid,Strategic Execution,Cross-functional Leadership & Influence,Strategist,Interview
General,"How would you respond to a hostile takeover attempt?",Senior,Strategic Planning,Strategic Thinking & Framework Application,Senior Strategist,Interview
General,"Your biggest partnership is ending. Develop a mitigation strategy.",Senior,Business Development,Business Development & Partnership Strategy,Senior Strategist,Interview
McKinsey,"A healthcare client wants to expand into digital therapeutics. Advise them.",Senior,Market Analysis,Strategic Thinking & Framework Application,Senior Strategist,Interview
BCG,"How would you structure a joint venture between two competing companies?",Senior,Business Development,Business Development & Partnership Strategy,Senior Strategist,Interview
Bain,"Your client's subscription model is facing high churn. What's the solution?",Mid,Growth Strategy,Data Analysis & Insights Generation,Strategist,Interview
Google,"How would you approach building an ecosystem around our core product?",Senior,Strategic Planning,Strategic Thinking & Framework Application,Senior Strategist,Interview
Apple,"Design a strategy to enter the automotive market without diluting the brand.",Senior,Market Analysis,Strategic Thinking & Framework Application,Senior Strategist,Interview
Microsoft,"How would you compete against Google in the enterprise cloud market?",Senior,Competitive Strategy,Strategic Thinking & Framework Application,Senior Strategist,Interview
Amazon,"We're losing talent to tech startups. Develop a retention strategy.",Mid,Strategic Execution,Cross-functional Leadership & Influence,Strategist,Interview
Meta,"How would you monetize WhatsApp without alienating users?",Senior,Strategic Planning,Strategic Thinking & Framework Application,Senior Strategist,Interview
Tesla,"Design a strategy to become profitable in the energy storage business.",Senior,Strategic Planning,Financial Analysis & Business Modeling,Senior Strategist,Interview
Netflix,"How would you respond to password sharing affecting subscriber growth?",Mid,Growth Strategy,Strategic Thinking & Framework Application,Strategist,Interview
Goldman Sachs,"How would you build a sustainable investing platform for retail clients?",Mid,Strategic Planning,Strategic Thinking & Framework Application,Strategist,Interview
JPMorgan,"Design a strategy to compete in the buy-now-pay-later market.",Mid,Competitive Strategy,Strategic Thinking & Framework Application,Strategist,Interview
General,"You discover a critical flaw in your go-to-market strategy mid-launch. Next steps?",Senior,Strategic Execution,Problem Solving & Critical Thinking,Senior Strategist,Interview
General,"How do you evaluate strategic options when facing multiple existential threats?",Staff,Strategic Planning,Strategic Thinking & Framework Application,Staff Strategist,Interview
General,"Your industry is moving to subscription models. How do you transition?",Senior,Strategic Planning,Change Management & Execution,Senior Strategist,Interview
McKinsey,"A manufacturing client faces supply chain disruptions. Build resilience strategy.",Senior,Strategic Planning,Strategic Thinking & Framework Application,Senior Strategist,Interview
BCG,"How would you advise a company on ESG strategy for competitive advantage?",Mid,Strategic Planning,Strategic Thinking & Framework Application,Strategist,Interview
Bain,"Your client wants to be carbon neutral by 2030. Is this achievable and how?",Senior,Strategic Planning,Strategic Thinking & Framework Application,Senior Strategist,Interview
Google,"How would you structure a platform business model for small businesses?",Mid,Strategic Planning,Strategic Thinking & Framework Application,Strategist,Interview
Apple,"Design a strategy to compete in markets where consumers prefer functionality over design.",Senior,Market Analysis,Market Analysis & Competitive Intelligence,Senior Strategist,Interview
Microsoft,"How would you position against Salesforce in the CRM market?",Senior,Competitive Strategy,Strategic Thinking & Framework Application,Senior Strategist,Interview
Amazon,"We're considering entering healthcare. Evaluate the strategic rationale.",Senior,Market Analysis,Strategic Thinking & Framework Application,Senior Strategist,Interview
Meta,"How would you build a professional networking platform to compete with LinkedIn?",Senior,Competitive Strategy,Strategic Thinking & Framework Application,Senior Strategist,Interview
Tesla,"Design a strategy to maintain technology leadership in autonomous driving.",Staff,Innovation Strategy,Strategic Thinking & Framework Application,Staff Strategist,Interview
Netflix,"How would you compete against TikTok for younger audiences' attention?",Mid,Competitive Strategy,Strategic Thinking & Framework Application,Strategist,Interview
Goldman Sachs,"How would you approach building a retail trading platform?",Mid,Strategic Planning,Strategic Thinking & Framework Application,Strategist,Interview
JPMorgan,"Design a strategy to compete in the small business lending market.",Mid,Market Analysis,Strategic Thinking & Framework Application,Strategist,Interview
General,"Your main revenue stream will be regulated out of existence. Pivot strategy?",Staff,Strategic Planning,Strategic Thinking & Framework Application,Staff Strategist,Interview
General,"How do you maintain innovation while scaling from startup to enterprise?",Senior,Strategic Planning,Strategic Thinking & Framework Application,Senior Strategist,Interview
General,"Your product team wants to build 10 features but you can only fund 3. Decide.",Mid,Strategic Planning,Strategic Thinking & Framework Application,Strategist,Interview
McKinsey,"A media company is losing audience to digital platforms. Transformation plan?",Senior,Strategic Planning,Change Management & Execution,Senior Strategist,Interview
BCG,"How would you structure a turnaround strategy for a declining airline?",Senior,Strategic Planning,Strategic Thinking & Framework Application,Senior Strategist,Interview
Bain,"Your client wants to expand from B2B to B2C. Evaluate this move.",Senior,Market Analysis,Strategic Thinking & Framework Application,Senior Strategist,Interview
Google,"How would you compete against Microsoft Office with Google Workspace?",Senior,Competitive Strategy,Strategic Thinking & Framework Application,Senior Strategist,Interview
Apple,"Design a strategy to enter emerging markets without cannibalizing premium positioning.",Senior,Market Analysis,Strategic Thinking & Framework Application,Senior Strategist,Interview
Microsoft,"How would you integrate AI capabilities across all product lines?",Staff,Innovation Strategy,Strategic Thinking & Framework Application,Staff Strategist,Interview
Amazon,"We're considering vertical integration in logistics. Pros and cons?",Senior,Strategic Planning,Strategic Thinking & Framework Application,Senior Strategist,Interview
