company,question,difficulty,question_type,skills_assessed,accounting_level,source
Deloitte,You discovered a $500K error in last month's close that affects quarterly results. How do you handle this?,Senior,Account Analysis,Technical Accounting Research,Senior Accountant,Big Four Audit Experience
PwC,A new revenue contract doesn't fit standard recognition patterns. How do you approach the accounting treatment?,Senior,Revenue Recognition,Revenue Recognition & Compliance,Senior Accountant,Big Four Audit Experience
EY,Month-end close is running 2 days late and the CFO is asking for updates. What's your strategy?,Mid,Month-end Close,Month-end Close Management,Staff Accountant,Big Four Audit Experience
KPMG,You find discrepancies between the general ledger and subledger during reconciliation. What are your next steps?,Mid,Account Analysis,Account Reconciliation & Analysis,Staff Accountant,Big Four Audit Experience
Google,How would you handle revenue recognition for a multi-year cloud services contract with variable pricing?,Senior,Revenue Recognition,Revenue Recognition & Compliance,Senior Accountant,Big Tech Experience
Microsoft,Explain how you'd account for software development costs under ASC 985 versus internal use software rules.,Senior,Financial Reporting,Financial Reporting & GAAP Knowledge,Senior Accountant,Big Tech Experience
Amazon,Walk me through your approach to inventory valuation for a company with millions of SKUs.,Mid,Cost Accounting,Cost Analysis & Allocation,Staff Accountant,Big Tech Experience
Apple,How would you handle the accounting for warranty reserves when launching a new product line?,Mid,Financial Reporting,Financial Reporting & GAAP Knowledge,Staff Accountant,Big Tech Experience
General Electric,Describe your process for consolidating financial statements across multiple international subsidiaries.,Senior,Financial Reporting,Financial Reporting & GAAP Knowledge,Accounting Manager,Manufacturing Experience
Johnson & Johnson,How do you ensure compliance with SOX requirements during the quarterly close process?,Mid,Compliance & Controls,Internal Controls & SOX Compliance,Senior Accountant,Healthcare/Pharma Experience
Deloitte,A client's auditor is questioning your revenue recognition methodology. How do you defend your position?,Senior,Audit Support,Audit Coordination & Support,Senior Accountant,Big Four Audit Experience
PwC,You need to implement a new ERP system. What accounting considerations are most critical?,Senior,Process Improvement,Process Improvement & Efficiency,Accounting Manager,Big Four Audit Experience
EY,Explain how you'd handle the accounting for a business combination that closed mid-quarter.,Senior,Financial Reporting,Financial Reporting & GAAP Knowledge,Senior Accountant,Big Four Audit Experience
KPMG,A subsidiary's local GAAP differs significantly from US GAAP. How do you approach consolidation?,Senior,Financial Reporting,Financial Reporting & GAAP Knowledge,Accounting Manager,Big Four Audit Experience
Google,How would you account for stock-based compensation when employees leave before vesting?,Mid,Financial Reporting,Financial Reporting & GAAP Knowledge,Staff Accountant,Big Tech Experience
Microsoft,Describe your approach to transfer pricing documentation and compliance.,Senior,Compliance & Controls,Internal Controls & SOX Compliance,Senior Accountant,Big Tech Experience
Amazon,How do you handle cost allocation for shared services across multiple business units?,Mid,Cost Accounting,Cost Analysis & Allocation,Staff Accountant,Big Tech Experience
Apple,Walk me through the accounting for research and development costs in the technology sector.,Mid,Financial Reporting,Financial Reporting & GAAP Knowledge,Staff Accountant,Big Tech Experience
General Electric,How would you approach the impairment testing for goodwill in a declining business segment?,Senior,Financial Reporting,Financial Reporting & GAAP Knowledge,Senior Accountant,Manufacturing Experience
Johnson & Johnson,Explain your process for accruing clinical trial costs when outcomes are uncertain.,Mid,Cost Accounting,Cost Analysis & Allocation,Staff Accountant,Healthcare/Pharma Experience
General,You discover that depreciation has been calculated incorrectly for the past year. What's your action plan?,Mid,Financial Reporting,Financial Reporting & GAAP Knowledge,Staff Accountant,General Experience
General,A vendor invoice is missing documentation required for payment. How do you handle this?,Junior,Account Analysis,Account Reconciliation & Analysis,Staff Accountant,General Experience
General,The bank reconciliation shows a timing difference of $50K. Walk me through your investigation process.,Junior,Account Analysis,Account Reconciliation & Analysis,Staff Accountant,General Experience
General,How do you prioritize tasks when multiple deadlines coincide during month-end close?,Mid,Month-end Close,Month-end Close Management,Staff Accountant,General Experience
General,Explain how you would train a new team member on your department's month-end procedures.,Mid,Process Improvement,Cross-functional Communication,Senior Accountant,General Experience
Deloitte,A client wants to change their accounting policy for lease accounting. What factors do you consider?,Senior,Financial Reporting,Financial Reporting & GAAP Knowledge,Senior Accountant,Big Four Audit Experience
PwC,How do you handle situations where management disagrees with your recommended accounting treatment?,Senior,Compliance & Controls,Cross-functional Communication,Senior Accountant,Big Four Audit Experience
EY,Describe your approach to testing internal controls for a SOX 404 compliance engagement.,Senior,Compliance & Controls,Internal Controls & SOX Compliance,Senior Accountant,Big Four Audit Experience
KPMG,A client's cash flow statement doesn't reconcile to their balance sheet changes. How do you investigate?,Mid,Financial Reporting,Financial Reporting & GAAP Knowledge,Staff Accountant,Big Four Audit Experience
