company,question,difficulty,question_type,skills_assessed,audit_level,source
Deloitte,"You discovered that the client's CFO has been approving journal entries above the established threshold without proper documentation. How do you handle this situation?",Senior,Risk Assessment,Professional Skepticism & Judgment,Senior Auditor,Interview
PwC,"During your cash testing you notice several large wire transfers to an unfamiliar entity just before year-end. What steps do you take?",Mid,Testing & Procedures,Audit Procedures & Testing,Staff Auditor,Interview
EY,"The client refuses to provide supporting documentation for a significant related party transaction claiming it's confidential. How do you respond?",Senior,Client Management,Client Relationship Management,Audit Manager,Interview
KPMG,"You identified a control deficiency that management claims was already remediated but your testing shows it's still occurring. What's your approach?",Mid,Internal Controls,Internal Controls Evaluation,Senior Auditor,Interview
Grant Thornton,"Management is pressuring you to reduce audit scope to cut costs while maintaining the same level of assurance. How do you address this?",Senior,Audit Planning,Client Relationship Management,Audit Manager,Interview
RSM,"Your team found inventory count discrepancies but the client insists their perpetual records are accurate. How do you proceed?",Mid,Testing & Procedures,Problem Solving & Investigation,Senior Auditor,Interview
BDO,"You notice the same vendor appearing multiple times under different names in the vendor master file. What red flags does this raise?",Junior,Risk Assessment,Professional Skepticism & Judgment,Staff Auditor,Interview
Google,"During IT audit testing you found admin access rights haven't been reviewed in 18 months. How do you assess the risk?",Mid,Internal Controls,Internal Controls Evaluation,Senior Auditor,Internal Audit
Microsoft,"You discovered employees can modify their own timesheets without approval in the payroll system. What controls testing would you perform?",Junior,Testing & Procedures,Audit Procedures & Testing,Staff Auditor,Internal Audit
Amazon,"The warehouse manager refuses to let you observe the physical inventory count citing operational disruptions. How do you handle this?",Senior,Client Management,Client Relationship Management,Audit Manager,Internal Audit
Apple,"You found that software licenses aren't being tracked properly and the company may be non-compliant. What's your audit approach?",Mid,Compliance Testing,Compliance & Regulatory Knowledge,Senior Auditor,Internal Audit
JPMorgan,"Your testing revealed that loan loss provisions appear understated based on historical data trends. How do you address this with management?",Senior,Audit Findings,Professional Skepticism & Judgment,Audit Manager,Internal Audit
Bank of America,"You identified that segregation of duties is inadequate in the wire transfer process. What immediate steps do you recommend?",Mid,Internal Controls,Internal Controls Evaluation,Senior Auditor,Internal Audit
General,"A whistleblower contacts you directly with allegations of fraud involving senior management. What's your protocol?",Senior,Risk Assessment,Professional Skepticism & Judgment,Audit Director,Interview
Deloitte,"The client's IT department claims they can't provide the data extract you requested due to system limitations. How do you verify this?",Mid,Testing & Procedures,Problem Solving & Investigation,Senior Auditor,Interview
PwC,"You notice unusual journal entries posted by the same person who reconciles the accounts. What does this tell you about internal controls?",Junior,Internal Controls,Internal Controls Evaluation,Staff Auditor,Interview
