company,question,difficulty,question_type,skills_assessed,banking_level,source
JPMorgan Chase,A long-term client's cash flow deteriorated and they're requesting a payment deferral. How do you handle this?,Mid,Relationship Management,Credit Analysis & Underwriting|Relationship Management & Development,Relationship Manager,Interview
Bank of America,You're competing against 3 banks for a $50M credit facility. What's your strategy to win the deal?,Senior,Business Development,Business Development & Sales|Communication & Negotiation,VP,Interview
Wells Fargo,A client wants to expand into a new market but their debt-to-equity ratio is already high. How do you assess this?,Mid,Credit Analysis,Credit Analysis & Underwriting|Risk Assessment & Management,Credit Analyst,Interview
Citi,Your client's industry is facing regulatory changes that could impact their revenue. How do you adjust their credit line?,Senior,Risk Assessment,Risk Assessment & Management|Regulatory Compliance & Documentation,VP,Interview
US Bank,A manufacturing client needs working capital financing but has seasonal cash flow patterns. What financing structure do you recommend?,Mid,Lending,Credit Analysis & Underwriting|Financial Analysis & Modeling,Relationship Manager,Interview
PNC,You discover a client has been providing inaccurate financial statements. How do you address this situation?,Senior,Regulatory Compliance,Regulatory Compliance & Documentation|Communication & Negotiation,SVP,Interview
Truist,A real estate developer wants to finance three projects simultaneously but only has equity for one. How do you structure this?,Senior,Credit Analysis,Credit Analysis & Underwriting|Portfolio Management & Monitoring,VP,Interview
Capital One,Your client's main competitor just received a large investment. How does this affect your credit assessment?,Mid,Risk Assessment,Risk Assessment & Management|Industry & Market Knowledge,Credit Analyst,Interview
TD Bank,A client wants to acquire a smaller competitor but needs financing that exceeds your bank's single borrower limit. What's your approach?,Senior,Lending,Business Development & Sales|Credit Analysis & Underwriting,SVP,Interview
Regions,You notice unusual cash deposits in a client's account that don't match their business model. How do you investigate?,Mid,Regulatory Compliance,Regulatory Compliance & Documentation|Risk Assessment & Management,Relationship Manager,Interview
JPMorgan Chase,A technology startup client is burning cash faster than projected but has a promising product. Do you extend their line of credit?,Senior,Credit Analysis,Credit Analysis & Underwriting|Risk Assessment & Management,VP,Interview
Bank of America,Your client's CFO left unexpectedly and they can't provide updated financials. How do you manage the existing credit facility?,Mid,Portfolio Management,Portfolio Management & Monitoring|Relationship Management & Development,Relationship Manager,Interview
Wells Fargo,A retail client wants to finance inventory for the holiday season but their sales last year were disappointing. What's your decision?,Mid,Lending,Credit Analysis & Underwriting|Financial Analysis & Modeling,Credit Analyst,Interview
Citi,You're asked to provide trade finance for a client's international expansion into an emerging market. What factors do you consider?,Senior,Treasury Services,Treasury & Cash Management|Risk Assessment & Management,VP,Interview
US Bank,A healthcare client needs equipment financing but faces potential reimbursement cuts. How do you structure the loan?,Mid,Credit Analysis,Credit Analysis & Underwriting|Industry & Market Knowledge,Relationship Manager,Interview
PNC,Your client's accounts receivable have increased significantly but cash collections remain flat. What's your concern?,Mid,Risk Assessment,Financial Analysis & Modeling|Risk Assessment & Management,Credit Analyst,Interview
Truist,A construction client has three projects running behind schedule and over budget. How do you address the credit risk?,Senior,Portfolio Management,Portfolio Management & Monitoring|Credit Analysis & Underwriting,VP,Interview
Capital One,You're meeting with a potential client who currently banks with a competitor. What's your approach to win their business?,Junior,Business Development,Business Development & Sales|Communication & Negotiation,Relationship Manager,Interview
TD Bank,A client's loan covenant requires maintaining a minimum debt service coverage ratio of 1.25x but they're projecting 1.20x. What do you do?,Mid,Regulatory Compliance,Regulatory Compliance & Documentation|Credit Analysis & Underwriting,Credit Analyst,Interview
Regions,Your client wants to diversify their business model but it would take them into an industry you're not familiar with. How do you proceed?,Mid,Risk Assessment,Industry & Market Knowledge|Credit Analysis & Underwriting,Relationship Manager,Interview
JPMorgan Chase,A family-owned business client is going through a succession dispute. How does this affect your credit decision?,Senior,Relationship Management,Relationship Management & Development|Risk Assessment & Management,VP,Interview
Bank of America,You need to renew a $25M credit facility but the client's margins have compressed due to increased competition. What's your approach?,Senior,Credit Analysis,Credit Analysis & Underwriting|Portfolio Management & Monitoring,SVP,Interview
Wells Fargo,A client in the energy sector is facing commodity price volatility. How do you structure their revolving credit facility?,Senior,Lending,Credit Analysis & Underwriting|Risk Assessment & Management,VP,Interview
Citi,Your client wants to establish international banking relationships for their global expansion. What services do you recommend?,Mid,Treasury Services,Treasury & Cash Management|Business Development & Sales,Relationship Manager,Interview
US Bank,A restaurant chain client wants to open 10 new locations but their existing locations have declining same-store sales. What's your credit decision?,Mid,Credit Analysis,Credit Analysis & Underwriting|Financial Analysis & Modeling,Credit Analyst,Interview
PNC,You discover that a client has been using their equipment line of credit for working capital purposes. How do you handle this?,Mid,Regulatory Compliance,Regulatory Compliance & Documentation|Portfolio Management & Monitoring,Relationship Manager,Interview
Truist,A client's industry is consolidating and they want to be an acquirer rather than a target. What financing options do you explore?,Senior,Business Development,Business Development & Sales|Credit Analysis & Underwriting,VP,Interview
Capital One,Your client's business model depends heavily on one major customer who represents 60% of their revenue. How do you assess this risk?,Mid,Risk Assessment,Risk Assessment & Management|Credit Analysis & Underwriting,Credit Analyst,Interview
TD Bank,A transportation client's insurance costs have doubled due to new regulations. How does this impact their credit profile?,Mid,Risk Assessment,Risk Assessment & Management|Regulatory Compliance & Documentation,Relationship Manager,Interview
Regions,You're asked to provide a letter of credit for a client's international supplier. What due diligence do you perform?,Mid,Treasury Services,Treasury & Cash Management|Regulatory Compliance & Documentation,Credit Analyst,Interview
JPMorgan Chase,A technology client has strong recurring revenue but negative cash flow due to high growth investments. How do you evaluate creditworthiness?,Senior,Credit Analysis,Credit Analysis & Underwriting|Financial Analysis & Modeling,VP,Interview
Bank of America,Your client wants to refinance existing debt with multiple lenders to simplify their banking relationships. What's your strategy?,Senior,Business Development,Business Development & Sales|Relationship Management & Development,SVP,Interview
Wells Fargo,A manufacturing client's key supplier just filed for bankruptcy. How do you assess the impact on their business?,Mid,Risk Assessment,Risk Assessment & Management|Industry & Market Knowledge,Relationship Manager,Interview
Citi,You're managing a syndicated loan where one participant wants to exit. How do you handle this situation?,Senior,Portfolio Management,Portfolio Management & Monitoring|Communication & Negotiation,VP,Interview
US Bank,A client in the hospitality industry is requesting payment deferrals due to seasonal slowdowns. What factors influence your decision?,Mid,Credit Analysis,Credit Analysis & Underwriting|Portfolio Management & Monitoring,Credit Analyst,Interview
PNC,Your client's financial statements show improving profits but worsening cash flow. What questions do you ask?,Mid,Financial Analysis,Financial Analysis & Modeling|Communication & Negotiation,Relationship Manager,Interview
Truist,A healthcare provider client faces potential Medicare reimbursement changes. How do you stress test their credit capacity?,Senior,Risk Assessment,Risk Assessment & Management|Financial Analysis & Modeling,VP,Interview
Capital One,You're competing for a client who values relationship banking over just competitive pricing. How do you position your bank?,Mid,Business Development,Business Development & Sales|Relationship Management & Development,Relationship Manager,Interview
TD Bank,A client wants to hedge interest rate exposure on their floating rate debt. What products do you recommend?,Mid,Treasury Services,Treasury & Cash Management|Risk Assessment & Management,Credit Analyst,Interview
Regions,Your client's management team lacks experience in their new market expansion. How does this affect your credit decision?,Mid,Risk Assessment,Risk Assessment & Management|Credit Analysis & Underwriting,Relationship Manager,Interview
JPMorgan Chase,A retail client needs bridge financing for a store renovation but construction costs have increased 30%. What's your approach?,Mid,Lending,Credit Analysis & Underwriting|Risk Assessment & Management,Credit Analyst,Interview
