company,question,difficulty,question_type,skills_assessed,corpdev_level,source
Google,"You're evaluating a cloud infrastructure startup but their customer churn is 25% annually. How do you assess if this is acceptable for acquisition?",Senior,M&A Strategy,M&A Analysis & Execution,Director,Interview
Apple,"A hardware component supplier wants a strategic partnership but demands exclusivity across all product lines. How do you structure this negotiation?",Mid,Partnership Development,Deal Negotiation & Structuring,Senior Associate,Interview
Microsoft,"You discover the target company's IP portfolio has potential patent infringement issues during due diligence. What's your next move?",Senior,Due Diligence,Due Diligence & Risk Assessment,Manager,Interview
Amazon,"Integration of your latest logistics acquisition is 3 months behind schedule and affecting Q4 targets. How do you get back on track?",Staff,Integration Management,Integration Planning & Management,VP Corp Dev,Interview
Meta,"A gaming studio you're acquiring has key talent threatening to leave if the deal closes. How do you structure retention?",Mid,M&A Strategy,Stakeholder Management & Communication,Associate,Interview
Tesla,"You're exploring a partnership with a battery technology company but they're also talking to competitors. How do you secure the deal?",Senior,Strategic Alliances,Partnership Strategy & Development,Director,Interview
Netflix,"Due diligence reveals the content studio's subscriber projections are 40% inflated. Do you walk away or renegotiate?",Mid,Due Diligence,Financial Modeling & Valuation,Senior Associate,Interview
Salesforce,"A B2B SaaS target wants $500M but your DCF shows $350M value. How do you bridge this gap?",Senior,Investment Analysis,Financial Modeling & Valuation,Manager,Interview
Oracle,"You're considering acquiring a cybersecurity startup but three larger competitors are also bidding. What's your strategy?",Senior,M&A Strategy,Strategic Analysis & Planning,Director,Interview
Adobe,"Integration synergies from your creative software acquisition aren't materializing as expected. How do you course-correct?",Staff,Integration Management,Integration Planning & Management,VP Corp Dev,Interview
Cisco,"A networking hardware partnership requires significant R&D investment upfront with no guarantees. How do you evaluate this?",Mid,Partnership Development,Due Diligence & Risk Assessment,Associate,Interview
Intel,"You discover the semiconductor startup's technology roadmap conflicts with your internal development. How do you proceed?",Senior,Due Diligence,Strategic Analysis & Planning,Manager,Interview
Google,"Your team identified a fintech startup for acquisition but regulatory approval could take 18 months. How do you structure the deal?",Senior,M&A Strategy,Deal Negotiation & Structuring,Director,Interview
