company,question,difficulty,question_type,skills_assessed,fpa_level,source
General,"Your department is 15% over budget halfway through the year. How do you address this with the business?",Mid,Variance Analysis,Business Partnership & Communication,Senior Analyst,Interview
General,"The sales team's forecast changed by $10M two weeks before quarter-end. How do you handle this?",Senior,Forecasting,Forecasting & Modeling,FP&A Manager,Interview
General,"Leadership wants to cut 20% from next year's budget. How do you approach this exercise?",Senior,Budgeting & Planning,Financial Planning & Budgeting,FP&A Manager,Interview
Google,"Your business unit at Google missed its quarterly revenue target by 8%. Walk me through your variance analysis.",Mid,Variance Analysis,Variance Analysis & Reporting,Senior Analyst,Interview
Google,"Google's ad revenue growth is slowing. How would you model the impact on next year's budget?",Senior,Strategic Analysis,Strategic Analysis & Insights,FP&A Manager,Interview
Google,"The YouTube team wants to increase headcount by 30% next quarter. How do you evaluate this request?",Mid,Budgeting & Planning,Business Partnership & Communication,Senior Analyst,Interview
Microsoft,"Azure revenue is growing faster than expected. How do you revise your forecast mid-quarter?",Mid,Forecasting,Forecasting & Modeling,Senior Analyst,Interview
Microsoft,"Microsoft's cloud margins are declining due to increased competition. How do you analyze this trend?",Senior,Performance Metrics,Performance Measurement & KPIs,FP&A Manager,Interview
Microsoft,"The Office 365 team needs additional marketing spend to hit their targets. How do you assess this?",Mid,Cost Management,Cost Management & Optimization,Senior Analyst,Interview
Amazon,"AWS pricing changes will impact Q4 revenue by $500M. How do you communicate this to leadership?",Senior,Financial Reporting,Financial Reporting & Presentation,FP&A Manager,Interview
Amazon,"Amazon's fulfillment costs are 20% higher than budgeted. What's your analysis approach?",Mid,Variance Analysis,Variance Analysis & Reporting,Senior Analyst,Interview
Amazon,"Prime membership growth is slowing. How do you model the revenue impact for next year?",Senior,Forecasting,Forecasting & Modeling,FP&A Manager,Interview
Apple,"iPhone sales in China dropped 15% this quarter. How do you revise your annual forecast?",Mid,Forecasting,Forecasting & Modeling,Senior Analyst,Interview
Apple,"Apple Services revenue exceeded budget by $2B. How do you analyze the sustainability of this beat?",Senior,Performance Metrics,Performance Measurement & KPIs,FP&A Manager,Interview
Apple,"The hardware team wants to accelerate R&D spend for the next product launch. How do you evaluate this?",Mid,Budgeting & Planning,Business Partnership & Communication,Senior Analyst,Interview
Meta,"User engagement metrics are declining but ad revenue is stable. How do you analyze this disconnect?",Senior,Strategic Analysis,Strategic Analysis & Insights,FP&A Manager,Interview
Meta,"Reality Labs burned $4B this quarter. How do you present this variance to the board?",Senior,Financial Reporting,Financial Reporting & Presentation,Senior Manager,Interview
Meta,"Instagram's revenue per user is growing faster than Facebook's. How do you model this trend?",Mid,Forecasting,Forecasting & Modeling,Senior Analyst,Interview
Tesla,"Tesla's vehicle delivery numbers came in 10% below forecast. Walk me through your variance analysis.",Mid,Variance Analysis,Variance Analysis & Reporting,Senior Analyst,Interview
Tesla,"Energy storage revenue is exceeding expectations. How do you revise your business mix assumptions?",Senior,Forecasting,Forecasting & Modeling,FP&A Manager,Interview
Tesla,"Manufacturing costs per vehicle are trending higher than budget. How do you analyze the root causes?",Mid,Cost Management,Cost Management & Optimization,Senior Analyst,Interview
Netflix,"Subscriber churn increased 20% after the password sharing crackdown. How do you model the long-term impact?",Senior,Strategic Analysis,Strategic Analysis & Insights,FP&A Manager,Interview
Netflix,"Content costs are 15% over budget due to increased competition for talent. How do you address this?",Mid,Variance Analysis,Variance Analysis & Reporting,Senior Analyst,Interview
Netflix,"International expansion is costing more than expected. How do you evaluate the ROI of these investments?",Senior,Performance Metrics,Performance Measurement & KPIs,FP&A Manager,Interview
