company,question,difficulty,question_type,skills_assessed,ib_level,source
Goldman Sachs,"A client wants to sell but thinks they're worth 2x market multiples. How do you handle this?",Mid,Client Management,Client Relationship Management,Associate,Interview
JPMorgan,"You're pitching an M&A deal and the CEO asks why now. What's your response?",Mid,Pitching & Presentations,Presentation & Communication,Associate,Interview
Morgan Stanley,"A deal is falling apart due to valuation gaps. What are your options?",Senior,Deal Execution,Deal Structuring & Execution,VP,Interview
Citi,"Your client's main competitor just announced a major acquisition. How does this affect your current deal?",Mid,Market Knowledge,Market Analysis & Research,Associate,Interview
Bank of America,"A PE firm wants to acquire your client but insists on a management rollover. How do you position this?",Senior,Deal Execution,Deal Structuring & Execution,VP,Interview
Barclays,"Your tech client's revenue is growing but margins are declining. How do you frame the investment story?",Mid,Pitching & Presentations,Financial Modeling & Valuation,Associate,Interview
Deutsche Bank,"A strategic buyer offers all cash but wants a 45-day due diligence period. What are the trade-offs?",Mid,Deal Execution,Risk Assessment & Management,Associate,Interview
Credit Suisse,"Your client CEO is pushing for a quick sale but the CFO wants to maximize value. How do you navigate this?",Senior,Client Management,Client Relationship Management,VP,Interview
UBS,"A family-owned business wants to go public but the patriarch is hesitant about transparency requirements. Your approach?",Senior,Client Management,Client Relationship Management,VP,Interview
Lazard,"You discover material adverse information about your client during due diligence. What's your next move?",Senior,Risk Assessment,Risk Assessment & Management,VP,Interview
Evercore,"A potential acquirer pulls out last minute citing market conditions. How do you re-energize the process?",Senior,Deal Execution,Problem Solving & Critical Thinking,VP,Interview
Centerview,"Your client wants to explore both strategic and financial buyers simultaneously. What's your strategy?",Mid,Deal Execution,Deal Structuring & Execution,Associate,Interview
Moelis,"A key competitor emerges as a potential buyer for your client. How do you handle confidentiality concerns?",Mid,Client Management,Risk Assessment & Management,Associate,Interview
General,"You're presenting to a board that's split on whether to sell or continue growing independently. How do you facilitate this decision?",Senior,Client Management,Leadership & Team Management,VP,Interview
Goldman Sachs,"A client asks why your fee is higher than the competition. How do you justify your value proposition?",Mid,Client Management,Client Relationship Management,Associate,Interview
JPMorgan,"During a pitch, the CEO questions your industry expertise after you mis-state a key market trend. How do you recover?",Junior,Pitching & Presentations,Industry Knowledge & Trends,Analyst,Interview
Morgan Stanley,"Your client's EBITDA is declining quarter-over-quarter but management insists it's temporary. How do you price the deal?",Mid,Financial Analysis,Financial Modeling & Valuation,Associate,Interview
Citi,"A potential buyer requests exclusivity but hasn't provided a formal bid. What's your recommendation?",Mid,Deal Execution,Deal Structuring & Execution,Associate,Interview
Bank of America,"Your client's largest customer represents 40% of revenue and is threatening to leave. How does this impact your sale process?",Senior,Risk Assessment,Risk Assessment & Management,VP,Interview
Barclays,"A private equity buyer wants to structure the deal as an asset purchase. What are the implications for your client?",Mid,Deal Execution,Deal Structuring & Execution,Associate,Interview
Deutsche Bank,"Your client operates in a declining industry but has strong market share. How do you position them to buyers?",Mid,Pitching & Presentations,Industry Knowledge & Trends,Associate,Interview
Credit Suisse,"The regulatory environment for your client's industry just changed significantly. How does this affect your timeline?",Senior,Market Knowledge,Market Analysis & Research,VP,Interview
UBS,"A strategic buyer offers a premium but wants your client to sign a no-shop clause. What factors do you consider?",Mid,Deal Execution,Deal Structuring & Execution,Associate,Interview
Lazard,"Your client's management team is resisting the sale process halfway through. How do you re-align everyone?",Senior,Client Management,Leadership & Team Management,VP,Interview
Evercore,"A buyer discovers a significant customer concentration during due diligence. How do you address their concerns?",Mid,Deal Execution,Problem Solving & Critical Thinking,Associate,Interview
Centerview,"Your client wants to retain a minority stake in the business post-sale. What deal structures would you consider?",Senior,Deal Execution,Deal Structuring & Execution,VP,Interview
Moelis,"Two buyers are in a bidding war but one is threatening to walk away. How do you maintain competitive tension?",Senior,Deal Execution,Deal Structuring & Execution,VP,Interview
General,"Your client's key patent is being challenged by a competitor. How does this affect the deal process?",Senior,Risk Assessment,Risk Assessment & Management,VP,Interview
Goldman Sachs,"A client's business model is being disrupted by technology. How do you help them adapt their strategy?",Senior,Industry Expertise,Industry Knowledge & Trends,VP,Interview
JPMorgan,"Your client wants to acquire a competitor but lacks the financing. What options would you explore?",Mid,Deal Execution,Financial Modeling & Valuation,Associate,Interview
Morgan Stanley,"A potential buyer's stock price has dropped 30% since initial discussions. How does this change the deal dynamics?",Mid,Market Knowledge,Market Analysis & Research,Associate,Interview
Citi,"Your client discovers their CFO has been inflating numbers. How do you handle this situation?",Staff,Risk Assessment,Risk Assessment & Management,Director,Interview
Bank of America,"A family business owner wants to sell but ensure employees keep their jobs. How do you find the right buyer?",Mid,Client Management,Client Relationship Management,Associate,Interview
Barclays,"Your client's industry is consolidating rapidly. How do you time their exit strategy?",Senior,Market Knowledge,Market Analysis & Research,VP,Interview
Deutsche Bank,"A buyer wants to renegotiate price after signing the LOI due to new information. What's your advice?",Senior,Deal Execution,Deal Structuring & Execution,VP,Interview
Credit Suisse,"Your client operates across multiple geographies with different growth rates. How do you value this complexity?",Senior,Financial Analysis,Financial Modeling & Valuation,VP,Interview
UBS,"A potential acquirer has a history of hostile takeovers. How do you protect your client's interests?",Senior,Risk Assessment,Risk Assessment & Management,VP,Interview
Lazard,"Your client's founder wants to remain involved post-acquisition but buyers prefer a clean exit. How do you bridge this?",Senior,Deal Execution,Deal Structuring & Execution,VP,Interview
Evercore,"Market conditions deteriorate during your client's sale process. Do you pause or continue?",Senior,Market Knowledge,Problem Solving & Critical Thinking,VP,Interview
Centerview,"A strategic buyer offers synergies worth $100M but values them at only 50%. How do you negotiate this?",Senior,Deal Execution,Deal Structuring & Execution,VP,Interview
Moelis,"Your client's main competitor goes bankrupt during the sale process. How does this change your strategy?",Senior,Market Knowledge,Market Analysis & Research,VP,Interview
General,"A client asks you to represent both buyer and seller in a transaction. How do you respond?",Staff,Risk Assessment,Risk Assessment & Management,Director,Interview
