company,question,difficulty,question_type,skills_assessed,pe_vc_level,source
Blackstone,"A portfolio company's EBITDA margins dropped 300bps despite revenue growth. How do you diagnose and address this?",Mid,Portfolio Management,Portfolio Company Management,VP,Interview
KKR,"You're evaluating a $2B LBO target with declining market share but strong cash flow. What's your investment thesis?",Senior,Investment Thesis,Investment Analysis & Evaluation,Principal,Interview
Apollo,"A deal you're tracking has 8x revenue multiple while comparable trades at 12x. What drives this discount?",Mid,Due Diligence,Financial Modeling & Valuation,Associate,Interview
Carlyle,"Your portfolio company's management wants to acquire a competitor for 15x EBITDA. How do you evaluate this?",Senior,Portfolio Management,Portfolio Company Management,VP,Interview
Bain Capital,"You discover a potential regulatory issue during final diligence that could impact 20% of revenue. How do you proceed?",Senior,Risk Assessment,Due Diligence & Risk Assessment,VP,Interview
TPG,"A promising growth company's burn rate doubled but revenue growth stalled. How do you assess continued investment?",Mid,Investment Thesis,Investment Analysis & Evaluation,Associate,Interview
Warburg Pincus,"You're competing against 3 other funds for a deal and valuations are stretched. What's your approach?",Senior,Deal Sourcing,Negotiation & Deal Structuring,Principal,Interview
General Atlantic,"A SaaS portfolio company's churn rate increased from 5% to 8% annually. What's your action plan?",Mid,Portfolio Management,Portfolio Company Management,VP,Interview
Sequoia,"An AI startup claims breakthrough technology but refuses to share technical details. How do you diligence this?",Senior,Due Diligence,Due Diligence & Risk Assessment,Principal,Interview
Andreessen Horowitz,"A Series B company pivoted twice in 18 months and now wants additional funding. How do you evaluate this?",Mid,Investment Thesis,Investment Analysis & Evaluation,Associate,Interview
Kleiner Perkins,"Your biotech investment faces FDA rejection of key drug trial. How do you assess the situation?",Senior,Risk Assessment,Industry Expertise & Trends,VP,Interview
Accel,"A B2B software company's CAC increased 40% while LTV remained flat. What are your concerns?",Mid,Due Diligence,Financial Modeling & Valuation,Associate,Interview
Benchmark,"You're offered a deal at 25% IRR projection but it requires significant operational improvements. Your decision framework?",Senior,Investment Thesis,Investment Analysis & Evaluation,Principal,Interview
General,"A portfolio company CEO wants to expand internationally but lacks local expertise. How do you advise?",Mid,Portfolio Management,Portfolio Company Management,VP,Interview
Blackstone,"You identify a carve-out opportunity from a Fortune 500 company. How do you approach and structure this deal?",Senior,Deal Sourcing,Deal Sourcing & Networking,Principal,Interview
KKR,"Your fund's flagship investment is underperforming projections by 30%. How do you communicate this to LPs?",Senior,Fund Strategy,Fund Management & LP Relations,Managing Director,Interview
Apollo,"A cyclical business you're evaluating shows strong performance but faces potential downturn. How do you model this?",Mid,Due Diligence,Financial Modeling & Valuation,Associate,Interview
Carlyle,"The founder of a target company insists on retaining 40% equity post-transaction. How do you negotiate?",Senior,Deal Sourcing,Negotiation & Deal Structuring,VP,Interview
Bain Capital,"A retail portfolio company faces e-commerce disruption threatening 60% of stores. What's your value creation plan?",Senior,Portfolio Management,Exit Strategy & Value Creation,VP,Interview
TPG,"You discover the target company's largest customer represents 45% of revenue and contract expires next year. How do you proceed?",Mid,Risk Assessment,Due Diligence & Risk Assessment,Associate,Interview
Warburg Pincus,"A healthcare services company you're evaluating faces potential Medicare reimbursement cuts. How do you assess this risk?",Senior,Market Analysis,Industry Expertise & Trends,VP,Interview
General Atlantic,"Your growth equity investment's management team wants to go public in a volatile market. How do you advise?",Senior,Exit Strategy,Exit Strategy & Value Creation,Principal,Interview
