company,question,difficulty,question_type,skills_assessed,trading_level,source
Goldman Sachs,"Your equity desk lost $2M on a single trade. How do you explain this to risk management?",Mid,Risk Management,Risk Management & Control,Associate,Interview
JPMorgan,"A client wants to hedge $500M exposure but your pricing seems uncompetitive. What's your approach?",Senior,Sales & Trading,Client Relationship & Sales,VP,Interview
Morgan Stanley,"Market volatility spiked and your book is down 15%. How do you manage the situation?",Senior,Risk Management,Risk Management & Control,VP,Interview
Citi,"You're making markets in illiquid bonds and spreads are widening rapidly. What's your strategy?",Mid,Market Making,Market Making & Liquidity,Associate,Interview
Bank of America,"A major client threatens to pull business unless you improve execution quality. How do you respond?",Senior,Client Coverage,Client Relationship & Sales,VP,Interview
Barclays,"Your credit trading book shows concentration risk in energy sector. How do you address this?",Senior,Risk Management,Risk Management & Control,Director,Interview
Deutsche Bank,"You need to offload a large position but market liquidity is thin. What's your approach?",Mid,Execution Strategy,Execution & Operations,Associate,Interview
Credit Suisse,"A client wants a custom derivative structure but compliance flags potential issues. How do you proceed?",Senior,Structuring,Regulatory & Compliance,VP,Interview
UBS,"Your FX book is showing significant overnight exposure. How do you manage this risk?",Mid,Risk Management,Risk Management & Control,Associate,Interview
Jane Street,"You're providing liquidity in options but gamma risk is building up. What's your hedging strategy?",Senior,Market Making,Quantitative Analysis & Modeling,VP,Interview
Citadel,"High frequency data shows your execution algorithm is underperforming. How do you diagnose the issue?",Senior,Execution Strategy,Quantitative Analysis & Modeling,Director,Interview
Two Sigma,"Your systematic trading strategy starts losing money during market stress. What do you do?",Senior,Execution Strategy,Quantitative Analysis & Modeling,VP,Interview
Goldman Sachs,"A pension fund client wants to execute a $1B equity trade with minimal market impact. How do you structure this?",Senior,Sales & Trading,Execution & Operations,VP,Interview
JPMorgan,"Your interest rate swap book is showing duration mismatch. How do you rebalance?",Mid,Risk Management,Risk Management & Control,Associate,Interview
Morgan Stanley,"A corporate client needs financing but your credit committee is concerned about sector exposure. How do you structure the deal?",Senior,Capital Markets,Risk Management & Control,Director,Interview
Citi,"You're pricing a convertible bond but equity volatility is extremely high. How do you adjust your model?",Senior,Pricing & Valuation,Pricing & Valuation,VP,Interview
Bank of America,"Your commodities desk is facing margin calls due to price spikes. How do you manage liquidity?",Senior,Risk Management,Risk Management & Control,Director,Interview
Barclays,"A client wants to trade a large block of illiquid corporate bonds. How do you approach pricing and execution?",Mid,Sales & Trading,Market Making & Liquidity,Associate,Interview
Deutsche Bank,"Your structured products desk receives a complex barrier option request. How do you price and hedge it?",Senior,Structuring,Product Structuring & Development,VP,Interview
Credit Suisse,"Market makers are widening spreads in your core trading instruments. How do you adapt your strategy?",Mid,Market Making,Market Analysis & Trading,Associate,Interview
UBS,"A sovereign wealth fund wants to execute a currency overlay strategy. How do you structure this?",Senior,Sales & Trading,Product Structuring & Development,Director,Interview
Jane Street,"Your market making algorithm is getting adversely selected. How do you identify and fix the issue?",Senior,Market Making,Quantitative Analysis & Modeling,VP,Interview
Citadel,"You notice unusual order flow patterns that might indicate information leakage. What's your response?",Senior,Execution Strategy,Regulatory & Compliance,Director,Interview
Two Sigma,"Your quantitative model shows strong backtests but poor live performance. How do you diagnose this?",Senior,Execution Strategy,Quantitative Analysis & Modeling,VP,Interview
Goldman Sachs,"A hedge fund client is demanding better financing rates on their prime brokerage account. How do you negotiate?",Senior,Client Coverage,Client Relationship & Sales,VP,Interview
JPMorgan,"Your emerging markets desk faces sudden currency devaluation. How do you protect the portfolio?",Senior,Risk Management,Risk Management & Control,Director,Interview
Morgan Stanley,"A client wants to issue high-yield bonds but market conditions are deteriorating. How do you advise them?",Senior,Capital Markets,Market Analysis & Trading,Director,Interview
Citi,"Your credit default swap portfolio shows basis risk between single names and index. How do you manage this?",Senior,Risk Management,Quantitative Analysis & Modeling,VP,Interview
Bank of America,"You're structuring a leveraged loan for a private equity deal. How do you price and syndicate it?",Senior,Capital Markets,Product Structuring & Development,Director,Interview
Barclays,"Your equity derivatives book has large vega exposure before earnings announcements. What's your strategy?",Mid,Risk Management,Pricing & Valuation,Associate,Interview
Deutsche Bank,"A client wants a bespoke inflation-linked note. How do you structure and price this product?",Senior,Structuring,Product Structuring & Development,VP,Interview
Credit Suisse,"Your fixed income trading profits are down 30% this quarter. How do you turn this around?",Senior,Sales & Trading,Market Analysis & Trading,Director,Interview
UBS,"You're managing a distressed debt portfolio and recovery rates are disappointing. How do you adjust strategy?",Senior,Risk Management,Risk Management & Control,Director,Interview
Jane Street,"Your options market making is showing negative edge in certain strikes. How do you investigate and respond?",Mid,Market Making,Quantitative Analysis & Modeling,Associate,Interview
Citadel,"You detect latency arbitrage opportunities but execution infrastructure needs upgrades. How do you prioritize?",Senior,Execution Strategy,Quantitative Analysis & Modeling,Director,Interview
Two Sigma,"Your portfolio construction model is showing high turnover costs. How do you optimize this?",Senior,Execution Strategy,Quantitative Analysis & Modeling,VP,Interview
Goldman Sachs,"A major corporation wants to hedge acquisition financing risk. How do you structure this trade?",Senior,Sales & Trading,Product Structuring & Development,VP,Interview
JPMorgan,"Your repo desk faces balance sheet constraints during quarter-end. How do you manage client relationships?",Senior,Risk Management,Client Relationship & Sales,Director,Interview
Morgan Stanley,"You're underwriting an IPO but market sentiment shifts negative. How do you adjust the deal?",Senior,Capital Markets,Market Analysis & Trading,Director,Interview
Citi,"Your mortgage trading desk shows prepayment risk concentration. How do you hedge this exposure?",Senior,Risk Management,Pricing & Valuation,VP,Interview
Bank of America,"A real estate client needs complex financing but regulatory capital requirements are tight. How do you structure this?",Senior,Capital Markets,Regulatory & Compliance,Director,Interview
Barclays,"Your algorithmic trading system starts showing unusual slippage. How do you diagnose and fix this?",Mid,Execution Strategy,Quantitative Analysis & Modeling,Associate,Interview
Deutsche Bank,"You're pricing exotic options but correlation assumptions are breaking down. How do you adjust?",Senior,Pricing & Valuation,Quantitative Analysis & Modeling,VP,Interview
Credit Suisse,"Your prime brokerage client wants enhanced leverage but risk management is concerned. How do you proceed?",Senior,Client Coverage,Risk Management & Control,VP,Interview
UBS,"A pension fund needs liability-driven investment strategy. How do you structure this portfolio?",Senior,Sales & Trading,Product Structuring & Development,Director,Interview
Jane Street,"Your statistical arbitrage strategy shows declining Sharpe ratio. How do you enhance performance?",Senior,Execution Strategy,Quantitative Analysis & Modeling,VP,Interview
Citadel,"You're making markets during flash crash conditions. How do you manage risk and continue providing liquidity?",Senior,Market Making,Risk Management & Control,Director,Interview
Two Sigma,"Your machine learning model shows overfitting in backtests. How do you improve generalization?",Senior,Execution Strategy,Quantitative Analysis & Modeling,VP,Interview
Goldman Sachs,"A sovereign client wants to issue bonds but credit rating is under review. How do you time the market?",Senior,Capital Markets,Market Analysis & Trading,Director,Interview
JPMorgan,"Your commodity trading desk faces storage costs due to contango. How do you optimize the strategy?",Mid,Risk Management,Market Analysis & Trading,Associate,Interview
Morgan Stanley,"You're advising on a hostile takeover bid. How do you structure the financing and hedge the risk?",Senior,Capital Markets,Product Structuring & Development,Managing Director,Interview
Citi,"Your electronic trading platform shows order rejection rates increasing. How do you maintain client satisfaction?",Mid,Execution Strategy,Client Relationship & Sales,Associate,Interview
Bank of America,"A client portfolio shows ESG constraints affecting returns. How do you balance performance and sustainability?",Senior,Sales & Trading,Product Structuring & Development,VP,Interview
Barclays,"Your volatility trading book shows smile risk in equity options. How do you manage this exposure?",Mid,Risk Management,Pricing & Valuation,Associate,Interview
Deutsche Bank,"You're structuring a weather derivative for an energy company. How do you price and hedge this?",Senior,Structuring,Product Structuring & Development,VP,Interview
Credit Suisse,"Your high-frequency trading strategy faces new regulatory constraints. How do you adapt?",Senior,Execution Strategy,Regulatory & Compliance,Director,Interview
UBS,"A family office wants alternative risk premia exposure. How do you construct this portfolio?",Senior,Sales & Trading,Product Structuring & Development,VP,Interview
Jane Street,"Your market making in ETFs shows tracking error issues. How do you improve arbitrage efficiency?",Mid,Market Making,Quantitative Analysis & Modeling,Associate,Interview
Citadel,"You're optimizing execution across multiple dark pools. How do you measure and improve performance?",Senior,Execution Strategy,Quantitative Analysis & Modeling,Director,Interview
Two Sigma,"Your factor model shows instability during regime changes. How do you build more robust signals?",Senior,Execution Strategy,Quantitative Analysis & Modeling,VP,Interview
Goldman Sachs,"A REIT client needs complex hedging for interest rate and real estate exposure. How do you structure this?",Senior,Sales & Trading,Product Structuring & Development,VP,Interview
JPMorgan,"Your structured credit desk faces widening basis between cash and synthetic instruments. How do you trade this?",Senior,Risk Management,Market Analysis & Trading,VP,Interview
Morgan Stanley,"You're managing a block trade that could move the market significantly. What's your execution strategy?",Mid,Execution Strategy,Execution & Operations,Associate,Interview
Citi,"Your emerging market bonds show correlation breakdown during crisis. How do you adjust risk models?",Senior,Risk Management,Quantitative Analysis & Modeling,VP,Interview
Bank of America,"A corporate client wants to monetize their patent portfolio through structured products. How do you approach this?",Senior,Structuring,Product Structuring & Development,Director,Interview
Barclays,"Your delta-one desk faces margin requirements changes. How do you optimize capital usage?",Mid,Risk Management,Risk Management & Control,Associate,Interview
Deutsche Bank,"You're pricing a longevity swap for a pension fund. How do you model and hedge demographic risk?",Senior,Structuring,Quantitative Analysis & Modeling,VP,Interview
Credit Suisse,"Your client wants to hedge ESG risks in their portfolio. How do you structure this protection?",Senior,Sales & Trading,Product Structuring & Development,VP,Interview
UBS,"A hedge fund client is facing redemptions and needs liquidity. How do you structure emergency financing?",Senior,Client Coverage,Client Relationship & Sales,Director,Interview
Jane Street,"Your cryptocurrency market making shows extreme volatility exposure. How do you manage this risk?",Senior,Market Making,Risk Management & Control,VP,Interview
Citadel,"You're implementing a new asset class in your systematic strategy. How do you ensure proper risk integration?",Senior,Execution Strategy,Risk Management & Control,Director,Interview
Two Sigma,"Your alternative data sources show quality degradation. How do you maintain signal strength?",Senior,Execution Strategy,Quantitative Analysis & Modeling,VP,Interview
Goldman Sachs,"A technology IPO shows high retail interest but institutional concerns. How do you balance the book?",Senior,Capital Markets,Market Analysis & Trading,Director,Interview
JPMorgan,"Your rates trading desk faces central bank policy uncertainty. How do you position for multiple scenarios?",Senior,Risk Management,Market Analysis & Trading,VP,Interview
Morgan Stanley,"You're structuring a green bond for renewable energy project. How do you price the ESG premium?",Senior,Capital Markets,Product Structuring & Development,Director,Interview
Citi,"Your algorithmic execution shows market impact higher than expected. How do you refine the strategy?",Mid,Execution Strategy,Quantitative Analysis & Modeling,Associate,Interview
Bank of America,"A private equity client wants to hedge their portfolio company exposures. How do you structure this?",Senior,Sales & Trading,Product Structuring & Development,VP,Interview
Barclays,"Your credit trading book shows migration risk in downgrades. How do you hedge rating transitions?",Senior,Risk Management,Pricing & Valuation,VP,Interview
Deutsche Bank,"You're creating a new structured product linked to alternative indices. How do you ensure liquidity and pricing?",Senior,Structuring,Product Structuring & Development,Director,Interview
Credit Suisse,"Your prime services client wants cross-margining benefits. How do you calculate and implement this?",Mid,Client Coverage,Risk Management & Control,Associate,Interview
UBS,"A sovereign wealth fund wants inflation-protected returns. How do you construct this strategy?",Senior,Sales & Trading,Product Structuring & Development,Director,Interview
