company,question,difficulty,question_type,skills_assessed,management_level,source
Google,Your team's performance dropped 30% after a key departure. How do you turn this around?,Senior,Team Leadership,Team Leadership & Development,Senior Manager,Interview
Apple,You need to cut 20% from your budget while maintaining quality. What's your approach?,Senior,P&L Management,P&L Ownership & Financial Management,Director,Interview
Microsoft,Two department heads under you are in constant conflict affecting deliverables. How do you resolve this?,Mid,Cross-functional Collaboration,Cross-functional Collaboration,VP,Interview
Amazon,Your product launch is delayed by 6 months due to technical issues. How do you manage stakeholder expectations?,Senior,Crisis Management,Crisis Management & Problem Solving,GM,Interview
Meta,You discover your top performer is undermining team morale. What's your next move?,Mid,Performance Management,Performance Management & Optimization,Manager,Interview
Tesla,The board wants to pivot your division's strategy entirely. How do you lead this transformation?,Staff,Change Leadership,Change Management & Transformation,President,Interview
Netflix,Your team is burning out from constant high-pressure deadlines. How do you address this?,Mid,Team Leadership,Team Leadership & Development,Director,Interview
Salesforce,You need to merge three competing teams with different work cultures. What's your strategy?,Senior,Team Leadership,Change Management & Transformation,VP,Interview
Adobe,Your P&L shows declining margins despite increased revenue. How do you investigate and fix this?,Senior,P&L Management,P&L Ownership & Financial Management,GM,Interview
Uber,A major client threatens to leave due to service quality issues. How do you save the relationship?,Mid,Stakeholder Management,Stakeholder Management & Communication,Senior Manager,Interview
Airbnb,Your innovation pipeline has been stagnant for 18 months. How do you revitalize it?,Senior,Innovation Management,Innovation & Growth Leadership,Director,Interview
LinkedIn,You have 48 hours to resolve a critical system outage affecting millions of users. Walk me through your approach.,Staff,Crisis Management,Crisis Management & Problem Solving,VP,Interview
Google,Your team is consistently missing quarterly targets by 15%. What's your diagnosis and solution?,Mid,Performance Management,Performance Management & Optimization,Director,Interview
Apple,You need to launch a competitive product in half the usual time. How do you execute this?,Senior,Strategic Execution,Strategic Planning & Execution,VP,Interview
Microsoft,Your budget was cut by 40% mid-year but expectations remain the same. How do you adapt?,Senior,P&L Management,P&L Ownership & Financial Management,GM,Interview
Amazon,A new regulation threatens to shut down 30% of your business operations. How do you respond?,Staff,Crisis Management,Strategic Planning & Execution,President,Interview
Meta,Your cross-functional partners consistently deprioritize your requests. How do you gain influence?,Mid,Cross-functional Collaboration,Cross-functional Collaboration,Senior Manager,Interview
Tesla,You inherited a team with a 60% turnover rate in the past year. What's your 90-day plan?,Senior,Team Leadership,Team Leadership & Development,Director,Interview
Netflix,Your department's processes are causing bottlenecks for five other teams. How do you fix this?,Mid,Operational Excellence,Operational Excellence & Process Improvement,Manager,Interview
Salesforce,The CEO wants to double your team's output without increasing headcount. How do you achieve this?,Senior,Performance Management,Operational Excellence & Process Improvement,VP,Interview
Adobe,Your biggest competitor just launched a feature that makes yours obsolete. What's your response strategy?,Senior,Innovation Management,Innovation & Growth Leadership,GM,Interview
Uber,You discover systemic bias in your team's hiring practices. How do you address this immediately and long-term?,Mid,Team Leadership,Team Leadership & Development,Director,Interview
Airbnb,Your team's morale survey shows the lowest scores in company history. What's your action plan?,Mid,Team Leadership,Team Leadership & Development,Senior Manager,Interview
LinkedIn,A data breach in your division could affect 100M users. How do you manage the crisis?,Staff,Crisis Management,Crisis Management & Problem Solving,VP,Interview
Google,Your product roadmap conflicts with company-wide priorities. How do you align or advocate?,Mid,Strategic Execution,Strategic Planning & Execution,Director,Interview
