company,question,difficulty,question_type,skills_assessed,real_estate_level,source
Blackstone Real Estate,"A major tenant representing 40% of your office building's income wants to break their lease early. How do you handle this?",Mid,Asset Management,Asset Management & Operations,Associate,Interview
Brookfield,"Cap rates in your target market compressed 100bps but construction costs rose 20%. How does this affect your investment strategy?",Senior,Investment Analysis,Investment Analysis & Underwriting,VP,Interview
CBRE,"Your development project is 6 months behind schedule and 15% over budget. What's your approach with investors?",Senior,Development,Development & Construction,VP,Interview
JLL,"A retail tenant's sales have dropped 30% and they're requesting rent relief. Walk me through your decision process.",Mid,Leasing & Marketing,Leasing & Tenant Relations,Associate,Interview
Colliers,"You're evaluating two similar properties - one with 95% occupancy at market rents vs 75% occupancy 10% below market. Which do you prefer?",Mid,Investment Analysis,Investment Analysis & Underwriting,Associate,Interview
Cushman & Wakefield,"Your industrial portfolio's NOI grew 8% but property values increased 15%. Should you hold or sell?",Senior,Portfolio Strategy,Portfolio Management & Strategy,VP,Interview
Prologis,"A potential acquisition has environmental contamination issues that could cost $2M to remediate. How do you structure this deal?",Senior,Investment Analysis,Investment Analysis & Underwriting,VP,Interview
Simon Property Group,"Foot traffic at your shopping center declined 25% but online retailers want to establish showrooms. How do you adapt?",Mid,Asset Management,Asset Management & Operations,Associate,Interview
AvalonBay,"Construction financing rates jumped 200bps mid-project. What are your options to maintain project viability?",Senior,Capital Markets,Capital Markets & Financing,VP,Interview
Equity Residential,"Your multifamily property's rent growth is lagging the market by 5%. What operational changes would you implement?",Mid,Property Management,Property Operations & Management,Associate,Interview
General,"You discover a major HVAC system needs $500K replacement just after acquiring a property. How do you handle this with investors?",Mid,Asset Management,Asset Management & Operations,Associate,Interview
Blackstone Real Estate,"Interest rates rose 300bps since you underwrote a deal. The property still pencils at 6% IRR vs your 12% target. Do you proceed?",Senior,Investment Analysis,Investment Analysis & Underwriting,VP,Interview
Brookfield,"Your office building's largest tenant wants to sublease 50% of their space. What are the implications for your investment?",Mid,Asset Management,Leasing & Tenant Relations,Associate,Interview
CBRE,"A competing property just launched with 20% lower rents. How do you protect your occupancy and rental income?",Mid,Leasing & Marketing,Leasing & Tenant Relations,Associate,Interview
JLL,"Your client wants to sell their trophy asset but you believe it's undervalued by 15%. How do you approach this conversation?",Senior,Investment Analysis,Negotiation & Deal Structuring,VP,Interview
