company,question,difficulty,question_type,skills_assessed,cs_level,source
Salesforce,How would you onboard a new enterprise client with complex requirements?,Senior,Onboarding & Adoption,"Customer Onboarding & Adoption,Strategic Account Planning,Cross-functional Collaboration",Senior CSM,CS Interview
HubSpot,Describe your approach to identifying at-risk accounts,Senior,Retention & Churn,"Retention & Churn Prevention,Customer Analytics & Health Scoring,Relationship Management & Communication",Senior CSM,CS Interview
Slack,How would you drive feature adoption across a large organization?,Senior,Onboarding & Adoption,"Customer Onboarding & Adoption,Technical Product Knowledge,Strategic Account Planning",Senior CSM,CS Interview
Zoom,Design a strategy for expanding usage in existing accounts,Senior,Expansion & Growth,"Account Expansion & Growth,Relationship Management & Communication,Strategic Account Planning",Senior CSM,CS Interview
Dropbox,How would you handle a customer threatening to churn?,Senior,Retention & Churn,"Retention & Churn Prevention,Problem Solving & Escalation Management,Relationship Management & Communication",Senior CSM,CS Interview
Microsoft,Describe your approach to QBR preparation and execution,Senior,Relationship Management,"Relationship Management & Communication,Strategic Account Planning,Customer Analytics & Health Scoring",Senior CSM,CS Interview
Adobe,How would you identify upsell opportunities?,Senior,Expansion & Growth,"Account Expansion & Growth,Customer Analytics & Health Scoring,Strategic Account Planning",Senior CSM,CS Interview
Shopify,Design a customer health scoring system,Staff,Data & Analytics,"Customer Analytics & Health Scoring,Process Design & Operations,Technical Product Knowledge",Staff CSM,CS Interview
Stripe,How would you scale customer success for developer-focused products?,Staff,Process & Operations,"Process Design & Operations,Customer Onboarding & Adoption,Strategic Account Planning",Staff CSM,CS Interview
Zendesk,Describe your approach to handling customer escalations,Senior,Problem Solving,"Problem Solving & Escalation Management,Relationship Management & Communication,Cross-functional Collaboration",Senior CSM,CS Interview
Intercom,How would you improve time-to-value for new customers?,Senior,Onboarding & Adoption,"Customer Onboarding & Adoption,Process Design & Operations,Customer Analytics & Health Scoring",Senior CSM,CS Interview
Atlassian,Design a customer advocacy program,Staff,Relationship Management,"Relationship Management & Communication,Strategic Account Planning,Cross-functional Collaboration",Staff CSM,CS Interview
General,What is customer success vs customer support?,Junior,Relationship Management,"Relationship Management & Communication,Customer Onboarding & Adoption,Technical Product Knowledge",Junior CSM,CS Interview
General,How do you measure customer satisfaction?,Junior,Data & Analytics,"Customer Analytics & Health Scoring,Relationship Management & Communication,Technical Product Knowledge",Junior CSM,CS Interview
General,What is Net Promoter Score?,Junior,Data & Analytics,"Customer Analytics & Health Scoring,Relationship Management & Communication,Technical Product Knowledge",Junior CSM,CS Interview
General,How do you define customer success metrics?,Mid,Data & Analytics,"Customer Analytics & Health Scoring,Strategic Account Planning,Technical Product Knowledge",CSM,CS Interview
General,What is churn and how do you prevent it?,Mid,Retention & Churn,"Retention & Churn Prevention,Customer Analytics & Health Scoring,Relationship Management & Communication",CSM,CS Interview
General,How do you prioritize customer requests?,Mid,Problem Solving,"Problem Solving & Escalation Management,Strategic Account Planning,Cross-functional Collaboration",CSM,CS Interview
General,What is customer lifetime value?,Mid,Data & Analytics,"Customer Analytics & Health Scoring,Account Expansion & Growth,Strategic Account Planning",CSM,CS Interview
General,How do you conduct a customer needs assessment?,Mid,Relationship Management,"Relationship Management & Communication,Customer Onboarding & Adoption,Strategic Account Planning",CSM,CS Interview
Notion,How would you help customers maximize their workspace setup?,Senior,Onboarding & Adoption,"Customer Onboarding & Adoption,Technical Product Knowledge,Relationship Management & Communication",Senior CSM,CS Interview
Monday.com,Design an onboarding process for team collaboration tools,Senior,Onboarding & Adoption,"Customer Onboarding & Adoption,Process Design & Operations,Technical Product Knowledge",Senior CSM,CS Interview
Asana,How would you drive adoption across different team types?,Senior,Onboarding & Adoption,"Customer Onboarding & Adoption,Customer Analytics & Health Scoring,Strategic Account Planning",Senior CSM,CS Interview
Figma,Describe your approach to supporting design team workflows,Senior,Relationship Management,"Relationship Management & Communication,Technical Product Knowledge,Customer Onboarding & Adoption",Senior CSM,CS Interview
