company,question,difficulty,question_type,skills_assessed,mfg_ops_level,source
Tesla,"Your Model 3 production line is hitting 80% of target due to battery pack assembly bottlenecks. How do you resolve this?",Senior,Production Planning,Production Planning & Scheduling,Plant Manager,Industry Knowledge
Tesla,"Gigafactory workers report repetitive strain injuries are increasing with the new assembly process. What's your immediate response?",Mid,Safety & Compliance,Safety Management & Compliance,Operations Manager,Industry Knowledge
Tesla,"Battery cell suppliers just delayed shipments by 2 weeks during peak production quarter. How do you maintain delivery targets?",Staff,Operations Optimization,Supply Chain Coordination,VP Operations,Industry Knowledge
Tesla,"Your quality team finds 5% defect rate in new 4680 battery cells affecting performance. How do you handle this crisis?",Senior,Equipment Management,Performance Metrics & Analytics,Senior Manager,Industry Knowledge
Tesla,"Elon pushes for 24/7 production but your maintenance team says equipment needs downtime. How do you balance this?",Staff,Workforce Management,Equipment Management & Maintenance,VP Operations,Industry Knowledge
Toyota,"Your just-in-time system breaks down when a key supplier faces a natural disaster. What's your contingency plan?",Senior,Operations Optimization,Supply Chain Coordination,Plant Manager,Industry Knowledge
Toyota,"Line workers suggest a kaizen improvement that could save 30 seconds per vehicle but requires $2M investment. How do you evaluate this?",Mid,Lean Manufacturing,Lean Manufacturing & Continuous Improvement,Operations Manager,Industry Knowledge
Toyota,"Quality circles identify a recurring paint defect affecting 3% of vehicles. How do you implement a permanent solution?",Senior,Operations Optimization,Performance Metrics & Analytics,Senior Manager,Industry Knowledge
Toyota,"Your Prius production line must switch to new hybrid technology while maintaining current output. How do you manage this transition?",Staff,Automation & Technology,Automation & Technology Integration,VP Operations,Industry Knowledge
Toyota,"Cultural resistance emerges when implementing Toyota Production System at a newly acquired plant. How do you address this?",Staff,Workforce Management,Workforce Management & Leadership,VP Operations,Industry Knowledge
General Motors,"Your Chevy Silverado line faces a 40% efficiency drop after automation upgrade. How do you diagnose and fix this?",Senior,Automation & Technology,Automation & Technology Integration,Plant Manager,Industry Knowledge
General Motors,"Union representatives reject overtime during peak truck demand season. How do you meet production targets?",Senior,Workforce Management,Workforce Management & Leadership,Senior Manager,Industry Knowledge
General Motors,"A critical stamping press fails during high-demand period with 4-week repair timeline. What's your approach?",Mid,Equipment Management,Equipment Management & Maintenance,Operations Manager,Industry Knowledge
General Motors,"Cost pressures require 15% reduction in manufacturing expenses without affecting quality. How do you achieve this?",Staff,Cost Management,Cost Control & Budget Management,VP Operations,Industry Knowledge
General Motors,"Your electric vehicle battery assembly shows inconsistent performance in quality testing. How do you resolve this?",Senior,Production Planning,Performance Metrics & Analytics,Plant Manager,Industry Knowledge
