company,question,difficulty,question_type,skills_assessed,scm_level,source
Amazon,"Your fulfillment center experiences a 40% spike in orders during Prime Day but inventory levels are running low on top products. How do you prioritize allocation?",Senior,Inventory Management,Inventory Optimization & Management,Senior Manager,Interview
Amazon,"A key logistics partner fails to deliver 50% of packages on time during peak season. What's your immediate response strategy?",Mid,Logistics & Distribution,Logistics & Distribution Management,Manager,Interview
Amazon,"You discover that 30% of your third-party sellers are using the same single-source supplier for a critical component. How do you address this risk?",Senior,Risk Management,Risk Assessment & Mitigation,Director,Interview
Amazon,"Returns processing costs have increased 25% while return rates remain stable. How do you optimize the reverse logistics process?",Mid,Logistics & Distribution,Cost Management & Optimization,Manager,Interview
Amazon,"Your AI demand forecasting model consistently overestimates demand for seasonal products by 15%. How do you improve accuracy?",Senior,Digital Supply Chain,Supply Chain Analytics & Technology,Senior Manager,Interview
Walmart,"A major supplier threatens to stop deliveries unless you agree to 30-day payment terms instead of 60-day. How do you negotiate?",Mid,Supplier Relationship Management,Supplier Relationship & Performance Management,Manager,Interview
Walmart,"Your regional distribution center loses power for 48 hours during back-to-school season. What's your contingency plan?",Senior,Risk Management,Risk Assessment & Mitigation,Director,Interview
Walmart,"Store managers are reporting 20% stockouts on high-velocity items despite having inventory in nearby DCs. How do you solve this?",Mid,Inventory Management,Inventory Optimization & Management,Manager,Interview
Walmart,"Transportation costs for your fresh produce supply chain increased 35% due to fuel prices. How do you maintain margins?",Senior,Logistics & Distribution,Cost Management & Optimization,Senior Manager,Interview
Walmart,"Your vendor scorecard shows declining on-time delivery performance across 40% of suppliers. What's your improvement strategy?",Mid,Supplier Relationship Management,Supplier Relationship & Performance Management,Manager,Interview
Apple,"Your contract manufacturer in Asia reports a 3-month delay in production due to component shortages. How do you maintain product launch schedules?",Senior,Procurement & Sourcing,Procurement & Strategic Sourcing,Director,Interview
Apple,"A key supplier's factory fails an audit for labor practices violations. How do you address this while maintaining supply continuity?",Senior,Sustainability,Sustainability & ESG,Senior Manager,Interview
Apple,"Your premium product's packaging supplier can't meet sustainability requirements by the deadline. What are your options?",Mid,Sustainability,Sustainability & ESG,Manager,Interview
Apple,"Demand for your new product exceeds forecast by 200% but increasing production requires 6-month lead time. How do you respond?",Senior,Supply Chain Strategy,Supply Chain Strategy & Planning,Director,Interview
Apple,"Your largest component supplier announces bankruptcy with 45 days notice. What's your crisis management approach?",Staff,Risk Management,Risk Assessment & Mitigation,VP Supply Chain,Interview
Tesla,"Battery cell suppliers report force majeure due to raw material shortages affecting lithium and cobalt. How do you secure alternative supply?",Senior,Procurement & Sourcing,Procurement & Strategic Sourcing,Director,Interview
