company,question,difficulty,question_type,skills_assessed,comms_level,source
Edelman,"A journalist just called asking about rumors of massive layoffs that haven't been announced yet. How do you respond?",Mid,Crisis Communications,Crisis Management & Response,Communications Manager,Edelman Interview
Weber Shandwick,"Your CEO's tweet accidentally revealed confidential information and it's going viral. What's your immediate action plan?",Senior,Crisis Communications,Crisis Management & Response,Senior Manager,Weber Shandwick Interview
Ogilvy PR,"A major client is threatening to fire your agency after a campaign received negative backlash. Walk me through your response strategy.",Senior,Crisis Communications,Crisis Management & Response,Director Communications,Ogilvy PR Interview
Hill+Knowlton,"Employees are spreading misinformation about a policy change on internal Slack channels. How do you address this?",Mid,Internal Communications,Internal Communications & Employee Engagement,Communications Manager,Hill+Knowlton Interview
Google Communications,"A data breach affects 100 million users and the story breaks at 2 AM. Who do you call first and why?",Senior,Crisis Communications,Crisis Management & Response,Senior Manager,Google Communications Interview
Apple Communications,"Tim Cook is scheduled for a live interview in 2 hours but the teleprompter just broke. How do you prep him?",Senior,Executive Communications,Executive Communications & Speechwriting,Director Communications,Apple Communications Interview
Microsoft Communications,"A competitor just announced a feature identical to your unreleased product. How do you adjust your launch communications?",Senior,Brand Communications,Brand Messaging & Positioning,Senior Manager,Microsoft Communications Interview
Amazon Communications,"Your press release accidentally went out with last quarter's financial numbers. It's been live for 30 minutes. What now?",Mid,Crisis Communications,Crisis Management & Response,Communications Manager,Amazon Communications Interview
Meta Communications,"Congress is calling for hearings on your platform's impact on teens. Draft your initial response strategy.",Staff,Crisis Communications,Crisis Management & Response,VP Communications,Meta Communications Interview
General,"A disgruntled former employee is doing media interviews making false claims about workplace culture. Your approach?",Senior,Crisis Communications,Crisis Management & Response,Director Communications,Industry Standard
Edelman,"Your client's factory explosion injured 12 workers. Media is gathering outside. What's your first 60 minutes?",Senior,Crisis Communications,Crisis Management & Response,Senior Manager,Edelman Interview
Weber Shandwick,"The hashtag for your awareness campaign is being hijacked by trolls with offensive content. How do you respond?",Mid,Social Media Management,Social Media Strategy & Management,Communications Manager,Weber Shandwick Interview
Ogilvy PR,"Your beauty brand's influencer just posted problematic content that's trending negatively. What's your immediate action?",Mid,Social Media Management,Social Media Strategy & Management,Communications Manager,Ogilvy PR Interview
Hill+Knowlton,"The CEO wants to respond personally to every negative review on Glassdoor. How do you advise them?",Junior,Executive Communications,Executive Communications & Speechwriting,Communications Coordinator,Hill+Knowlton Interview
Google Communications,"A security researcher just published details about a zero-day vulnerability in your product. Communications strategy?",Senior,Crisis Communications,Crisis Management & Response,Senior Manager,Google Communications Interview
Apple Communications,"Rumors are circulating that the iPhone 16 will be delayed by 6 months. How do you handle media inquiries?",Mid,Media Relations,Media Relations & Pitching,Communications Manager,Apple Communications Interview
Microsoft Communications,"Your AI chatbot gave inappropriate responses and screenshots are going viral on TikTok. Next steps?",Senior,Crisis Communications,Crisis Management & Response,Senior Manager,Microsoft Communications Interview
Amazon Communications,"A warehouse worker died on the job and labor unions are calling for investigations. Draft your response approach.",Staff,Crisis Communications,Crisis Management & Response,VP Communications,Amazon Communications Interview
Meta Communications,"Your new VR headset is causing motion sickness in 15% of users. How do you communicate this to stakeholders?",Senior,Stakeholder Engagement,Stakeholder Relationship Management,Director Communications,Meta Communications Interview
General,"Your company's booth at CES catches fire during a live demo. Reporters are filming. What do you do first?",Mid,Crisis Communications,Crisis Management & Response,Communications Manager,Industry Standard
Edelman,"A client's product recall affects 2 million units globally. Map out your international communications strategy.",Staff,Crisis Communications,Crisis Management & Response,VP Communications,Edelman Interview
Weber Shandwick,"Your pharmaceutical client's drug trial shows unexpected side effects. How do you prepare for the announcement?",Senior,Crisis Communications,Crisis Management & Response,Director Communications,Weber Shandwick Interview
Ogilvy PR,"A celebrity spokesperson for your brand gets arrested for DUI. It's trending on Twitter. Your immediate response?",Mid,Crisis Communications,Crisis Management & Response,Communications Manager,Ogilvy PR Interview
Hill+Knowlton,"Your tech startup's founder made controversial political comments at a conference. How do you manage the fallout?",Mid,Crisis Communications,Crisis Management & Response,Communications Manager,Hill+Knowlton Interview
Google Communications,"A major news outlet is preparing an investigative piece about your company's tax practices. Your strategy?",Senior,Media Relations,Media Relations & Pitching,Senior Manager,Google Communications Interview
Apple Communications,"Leaked internal emails suggest your company knew about a product defect months ago. How do you respond?",Staff,Crisis Communications,Crisis Management & Response,VP Communications,Apple Communications Interview
Microsoft Communications,"Your competitor just poached your head of product and they're doing media interviews. How do you respond?",Mid,Media Relations,Media Relations & Pitching,Communications Manager,Microsoft Communications Interview
Amazon Communications,"Prime Day website crashes for 4 hours during peak shopping. Customers are furious on social media. Your approach?",Senior,Crisis Communications,Crisis Management & Response,Senior Manager,Amazon Communications Interview
Meta Communications,"A whistleblower claims your algorithm promotes harmful content to teenagers. Congress wants answers. Your strategy?",Staff,Crisis Communications,Crisis Management & Response,VP Communications,Meta Communications Interview
General,"Your company just announced layoffs affecting 20% of staff. How do you communicate this to remaining employees?",Senior,Internal Communications,Internal Communications & Employee Engagement,Senior Manager,Industry Standard
Edelman,"A client's oil spill affects marine wildlife. Environmental groups are protesting outside headquarters. Your communications plan?",Staff,Crisis Communications,Crisis Management & Response,VP Communications,Edelman Interview
Weber Shandwick,"Your fashion client is accused of using child labor in overseas factories. How do you prepare for media scrutiny?",Senior,Crisis Communications,Crisis Management & Response,Director Communications,Weber Shandwick Interview
Ogilvy PR,"A food safety inspector found violations at your restaurant client's flagship location. Local news is investigating. Your response?",Mid,Crisis Communications,Crisis Management & Response,Communications Manager,Ogilvy PR Interview
Hill+Knowlton,"Your healthcare client's data was breached exposing patient records. What's your communication timeline?",Senior,Crisis Communications,Crisis Management & Response,Senior Manager,Hill+Knowlton Interview
Google Communications,"Your search algorithm is showing biased results for certain demographics. Academic researchers are publishing findings. Your approach?",Senior,Crisis Communications,Crisis Management & Response,Senior Manager,Google Communications Interview
Apple Communications,"A class action lawsuit claims your latest iPhone causes hearing damage. How do you handle media inquiries?",Senior,Crisis Communications,Crisis Management & Response,Senior Manager,Apple Communications Interview
Microsoft Communications,"Your cloud service goes down for 8 hours affecting millions of businesses globally. Communication strategy?",Senior,Crisis Communications,Crisis Management & Response,Senior Manager,Microsoft Communications Interview
Amazon Communications,"A delivery driver was caught on doorbell camera stealing packages. The video is viral. Your response?",Mid,Crisis Communications,Crisis Management & Response,Communications Manager,Amazon Communications Interview
Meta Communications,"Your dating app is being investigated for fake profiles and romance scams. How do you communicate with users?",Senior,Crisis Communications,Crisis Management & Response,Senior Manager,Meta Communications Interview
General,"Your company's IPO filing contains errors and the SEC is investigating. How do you manage investor communications?",Staff,Stakeholder Engagement,Stakeholder Relationship Management,VP Communications,Industry Standard
Edelman,"A pharmaceutical client's vaccine shows rare but serious side effects. How do you balance transparency with public confidence?",Staff,Crisis Communications,Crisis Management & Response,VP Communications,Edelman Interview
Weber Shandwick,"Your airline client's plane made an emergency landing. All passengers are safe but media wants statements. Your approach?",Mid,Crisis Communications,Crisis Management & Response,Communications Manager,Weber Shandwick Interview
Ogilvy PR,"A beauty influencer claims your client's skincare product caused severe allergic reactions. She has 10M followers. Your response?",Mid,Crisis Communications,Crisis Management & Response,Communications Manager,Ogilvy PR Interview
Hill+Knowlton,"Your defense contractor client's cybersecurity was breached by foreign actors. How do you handle government communications?",Staff,Crisis Communications,Crisis Management & Response,VP Communications,Hill+Knowlton Interview
Google Communications,"Your AI model is generating deepfakes of public figures without consent. Regulators are concerned. Your strategy?",Senior,Crisis Communications,Crisis Management & Response,Director Communications,Google Communications Interview
