company,question,difficulty,question_type,skills_assessed,compliance_level,source
JPMorgan,"An employee reports potential insider trading by a senior executive. How do you handle this investigation?",Senior,Investigation & Monitoring,Investigation & Incident Management,Senior Officer,Internal Scenario
Goldman Sachs,"A trader consistently pushes back on pre-trade compliance checks claiming they slow down profitable opportunities. How do you address this?",Mid,Ethics & Conduct,Cross-functional Collaboration,Compliance Officer,Internal Scenario
Bank of America,"You discovered a pattern of expense report violations across multiple departments. How do you address this systematically?",Senior,Investigation & Monitoring,Investigation & Incident Management,Compliance Manager,Internal Scenario
Google,"GDPR requires data deletion within 30 days but your engineering team says it takes 90 days to implement. What's your response?",Senior,Data Privacy,Crisis Management & Response,Senior Officer,Regulatory Scenario
Meta,"A whistleblower alleges that user data is being shared with third parties without proper consent mechanisms. How do you investigate?",Staff,Investigation & Monitoring,Investigation & Incident Management,Director Compliance,Internal Scenario
Amazon,"Antitrust regulators are questioning your marketplace practices. How do you coordinate the compliance response across business units?",Staff,Regulatory Compliance,Cross-functional Collaboration,Director Compliance,Regulatory Scenario
Apple,"A new regulation takes effect in 60 days but requires system changes that typically take 6 months. What's your approach?",Senior,Risk Assessment,Crisis Management & Response,Compliance Manager,Regulatory Scenario
Johnson & Johnson,"Clinical trial data shows an unexpected safety signal. How do you ensure proper regulatory reporting while managing business impact?",Staff,Regulatory Compliance,Crisis Management & Response,Director Compliance,Industry Scenario
Pfizer,"Manufacturing QA discovers a batch quality issue after products have been shipped. How do you handle the compliance obligations?",Senior,Investigation & Monitoring,Crisis Management & Response,Senior Officer,Industry Scenario
Merck,"A key opinion leader reports potential off-label promotion by your sales team. How do you investigate and respond?",Mid,Investigation & Monitoring,Investigation & Incident Management,Compliance Officer,Industry Scenario
General,"Your CEO asks you to expedite approval of a partnership that raises significant regulatory concerns. How do you respond?",Senior,Ethics & Conduct,Ethics & Conduct Management,Senior Officer,Leadership Scenario
General,"Audit findings reveal that training completion rates are low and ineffective. How do you redesign the compliance training program?",Mid,Training & Communication,Training & Communication,Compliance Officer,Process Improvement
JPMorgan,"A high-value client requests a transaction structure that appears designed to circumvent reporting requirements. What do you do?",Senior,Risk Assessment,Regulatory Knowledge & Interpretation,Senior Officer,Client Scenario
Goldman Sachs,"Investment banking teams are pressuring compliance to approve deals faster, claiming competitors have quicker processes. How do you respond?",Mid,Policy Development,Cross-functional Collaboration,Compliance Officer,Internal Pressure
Bank of America,"Branch managers report that KYC procedures are causing customer complaints and account closures. How do you balance compliance and business needs?",Mid,Policy Development,Cross-functional Collaboration,Compliance Officer,Business Balance
Google,"Engineers argue that privacy-by-design requirements significantly slow product development. How do you address this tension?",Mid,Data Privacy,Cross-functional Collaboration,Compliance Officer,Technical Challenge
Meta,"International expansion requires compliance with 15 different privacy regimes. How do you develop a scalable compliance framework?",Staff,Policy Development,Policy Development & Implementation,Director Compliance,Strategic Planning
Amazon,"Third-party sellers are using your platform for potentially counterfeit goods. How do you design monitoring and response procedures?",Senior,Risk Assessment,Risk Assessment & Analysis,Compliance Manager,Platform Risk
Apple,"Supply chain audits reveal labor compliance issues at a critical supplier. How do you address this while maintaining operations?",Senior,Risk Assessment,Crisis Management & Response,Senior Officer,Supply Chain
Johnson & Johnson,"FDA questions the validity of clinical trial endpoints you've been using for years. How do you respond and prevent future issues?",Staff,Regulatory Compliance,Regulatory Knowledge & Interpretation,Director Compliance,Regulatory Challenge
Pfizer,"Post-market surveillance identifies a safety pattern that wasn't detected in clinical trials. What's your compliance response framework?",Staff,Investigation & Monitoring,Crisis Management & Response,Director Compliance,Safety Issue
Merck,"Sales representatives are struggling to understand complex compliance rules around healthcare provider interactions. How do you improve clarity?",Junior,Training & Communication,Training & Communication,Compliance Analyst,Training Design
General,"A competitor publicly accuses your company of regulatory violations. How do you manage the compliance and reputational response?",Senior,Crisis Management,Crisis Management & Response,Senior Officer,Public Relations
General,"Regulatory guidance changes interpretation of existing rules affecting your core business model. How do you adapt?",Staff,Regulatory Compliance,Regulatory Knowledge & Interpretation,Director Compliance,Regulatory Change
JPMorgan,"Trading desk supervisors claim they don't have time for required surveillance activities. How do you ensure compliance coverage?",Mid,Policy Development,Policy Development & Implementation,Compliance Officer,Resource Allocation
Goldman Sachs,"Personal trading violations are increasing among junior staff despite training. How do you address this trend?",Mid,Training & Communication,Training & Communication,Compliance Officer,Behavioral Issue
Bank of America,"Loan officers are inconsistently applying fair lending practices across different regions. How do you standardize compliance?",Senior,Policy Development,Policy Development & Implementation,Compliance Manager,Process Standardization
Google,"Machine learning algorithms may be inadvertently causing discriminatory outcomes. How do you develop compliance monitoring?",Senior,Risk Assessment,Risk Assessment & Analysis,Senior Officer,AI Ethics
Meta,"Content moderation decisions are being challenged as potential censorship by regulators. How do you navigate this compliance issue?",Staff,Regulatory Compliance,Regulatory Knowledge & Interpretation,Director Compliance,Content Policy
Amazon,"Logistics partners in different countries have varying labor and safety standards. How do you ensure consistent compliance?",Senior,Risk Assessment,Risk Assessment & Analysis,Compliance Manager,Global Operations
