company,question,difficulty,question_type,skills_assessed,research_level,source
Nielsen,"Your tracking study shows a 15% drop in brand awareness but the client insists their advertising spend increased. How do you investigate this discrepancy?",Mid,Data Analysis,Statistical Analysis & Interpretation,Senior Analyst,Internal
Kantar,"A client wants to launch a product in 3 markets simultaneously but your research suggests focusing on one market first. How do you present this recommendation?",Senior,Consumer Insights,Insight Generation & Storytelling,Research Manager,Internal
Ipsos,"Your omnibus survey results contradict the client's internal data on customer satisfaction. What steps do you take to resolve this?",Mid,Data Collection,Research Methodology & Design,Senior Analyst,Internal
McKinsey Research,"The CEO wants market sizing for a completely new product category. You have no historical data. Describe your approach.",Senior,Research Design,Research Methodology & Design,Senior Manager,Internal
BCG Research,"Your competitor analysis reveals the client is losing market share to an unexpected player. How do you structure the follow-up research?",Senior,Competitive Intelligence,Competitive Intelligence & Market Analysis,Research Manager,Internal
Google Research,"User behavior data shows high engagement but low conversion. What research methodology would you use to understand this gap?",Mid,Consumer Insights,Consumer Behavior Analysis,Senior Analyst,Internal
Amazon Research,"A product category is declining in traditional retail but growing online. How do you design research to understand this shift?",Mid,Research Design,Research Methodology & Design,Senior Analyst,Internal
Apple Research,"Your focus groups love a product concept but quantitative testing shows low purchase intent. How do you reconcile these findings?",Senior,Data Analysis,Statistical Analysis & Interpretation,Research Manager,Internal
Meta Research,"Social media sentiment is positive but sales are declining. What research approach would you recommend?",Mid,Consumer Insights,Consumer Behavior Analysis,Senior Analyst,Internal
General,"Your survey has a 12% response rate but the client needs results in 2 weeks. How do you proceed?",Junior,Data Collection,Data Collection & Sampling,Research Analyst,Internal
General,"The client wants to understand why their product failed but is resistant to negative findings. How do you approach this?",Senior,Report Writing,Project Management & Client Communication,Senior Manager,Internal
General,"You're getting inconsistent results between online and phone surveys for the same research question. What's your next step?",Mid,Survey Design,Survey Design & Questionnaire Development,Senior Analyst,Internal
Nielsen,"A retailer claims your panel data doesn't match their POS data. How do you validate your methodology?",Senior,Data Analysis,Statistical Analysis & Interpretation,Research Manager,Internal
Kantar,"Your brand tracking shows declining loyalty but the client's CRM data shows increasing repeat purchases. How do you explain this?",Senior,Data Analysis,Consumer Behavior Analysis,Research Manager,Internal
Ipsos,"A political poll shows a candidate leading but internal party research shows them trailing. How do you investigate the difference?",Senior,Research Design,Research Methodology & Design,Senior Manager,Internal
McKinsey Research,"The client wants to enter a market where consumers are unfamiliar with the product category. How do you design the research?",Senior,Research Design,Consumer Behavior Analysis,Senior Manager,Internal
BCG Research,"Your market analysis suggests a different target segment than the client's current focus. How do you present this insight?",Senior,Consumer Insights,Insight Generation & Storytelling,Senior Manager,Internal
Google Research,"Search data shows high interest in a topic but survey data shows low awareness. How do you reconcile this?",Mid,Data Analysis,Statistical Analysis & Interpretation,Senior Analyst,Internal
Amazon Research,"Customer reviews are positive but return rates are high. What research would you conduct to understand why?",Mid,Consumer Insights,Consumer Behavior Analysis,Senior Analyst,Internal
Apple Research,"Your usability testing reveals issues that weren't identified in beta testing. How do you explain this to stakeholders?",Senior,Report Writing,Project Management & Client Communication,Research Manager,Internal
Meta Research,"Advertising effectiveness research shows strong recall but weak brand association. What follow-up research do you recommend?",Mid,Consumer Insights,Consumer Behavior Analysis,Senior Analyst,Internal
General,"A client questions your sample representativeness after seeing the demographics. How do you address their concerns?",Mid,Data Collection,Data Collection & Sampling,Senior Analyst,Internal
General,"Your qualitative research suggests one direction but the quantitative data points another way. How do you proceed?",Senior,Data Analysis,Research Methodology & Design,Research Manager,Internal
General,"The client wants to add 20 more questions to your already 15-minute survey. How do you handle this request?",Mid,Survey Design,Survey Design & Questionnaire Development,Senior Analyst,Internal
Nielsen,"Your consumer panel shows a trend that contradicts industry reports. How do you validate your findings?",Senior,Data Analysis,Statistical Analysis & Interpretation,Research Manager,Internal
Kantar,"A brand manager wants to test 8 different ad concepts but budget only allows for 3. How do you advise them?",Mid,Research Design,Project Management & Client Communication,Senior Analyst,Internal
Ipsos,"Your exit poll results are trending differently than pre-election polls. How do you communicate this to media partners?",Senior,Report Writing,Project Management & Client Communication,Senior Manager,Internal
McKinsey Research,"A client's market assumptions are fundamentally flawed based on your preliminary research. How do you redirect the project?",Staff,Research Design,Project Management & Client Communication,Director Research,Internal
BCG Research,"Your competitive intelligence reveals a threat the client hasn't considered. How do you prioritize this in your research?",Senior,Competitive Intelligence,Competitive Intelligence & Market Analysis,Research Manager,Internal
Google Research,"User feedback contradicts your behavioral data analysis. What methodology would you use to understand this discrepancy?",Senior,Data Analysis,Consumer Behavior Analysis,Research Manager,Internal
Amazon Research,"Seasonal data is skewing your market trend analysis. How do you adjust your methodology?",Mid,Data Analysis,Statistical Analysis & Interpretation,Senior Analyst,Internal
Apple Research,"Your research suggests users want a feature that engineering says is impossible. How do you handle this situation?",Senior,Report Writing,Project Management & Client Communication,Research Manager,Internal
Meta Research,"Privacy concerns are affecting survey response rates in your target demographic. How do you adapt your approach?",Senior,Data Collection,Data Collection & Sampling,Research Manager,Internal
General,"A stakeholder questions your statistical significance with a small sample size. How do you respond?",Mid,Statistical Analysis,Statistical Analysis & Interpretation,Senior Analyst,Internal
General,"Your research timeline conflicts with the client's product launch date. How do you negotiate this?",Mid,Project Management,Project Management & Client Communication,Senior Analyst,Internal
General,"The client wants to change the research objectives mid-project. How do you assess the impact?",Senior,Research Design,Project Management & Client Communication,Research Manager,Internal
Nielsen,"Your tracking data shows a brand performance spike that doesn't align with their marketing activities. How do you investigate?",Mid,Data Analysis,Statistical Analysis & Interpretation,Senior Analyst,Internal
Kantar,"A client's brand positioning research reveals they're perceived differently than intended. How do you structure the insights presentation?",Senior,Consumer Insights,Insight Generation & Storytelling,Research Manager,Internal
Ipsos,"Your methodology is being challenged by a competitor's study with different results. How do you defend your approach?",Senior,Research Design,Research Methodology & Design,Senior Manager,Internal
McKinsey Research,"Market sizing estimates vary wildly between top-down and bottom-up approaches. How do you reconcile this?",Senior,Data Analysis,Statistical Analysis & Interpretation,Research Manager,Internal
BCG Research,"Your competitive analysis reveals the client is benchmarking against the wrong competitors. How do you redirect their focus?",Senior,Competitive Intelligence,Competitive Intelligence & Market Analysis,Senior Manager,Internal
Google Research,"A/B testing results show statistical significance but minimal practical impact. How do you communicate this?",Senior,Statistical Analysis,Statistical Analysis & Interpretation,Research Manager,Internal
Amazon Research,"Customer segmentation analysis reveals unexpected behavioral patterns. How do you validate these insights?",Senior,Consumer Insights,Consumer Behavior Analysis,Research Manager,Internal
Apple Research,"Your user research suggests a design change that could delay product launch. How do you present this recommendation?",Staff,Report Writing,Project Management & Client Communication,Director Research,Internal
Meta Research,"Cross-platform user behavior data shows inconsistent patterns. How do you determine the most reliable insights?",Senior,Data Analysis,Consumer Behavior Analysis,Research Manager,Internal
General,"Your focus group moderator reports participants were dishonest. How do you salvage the research?",Mid,Data Collection,Research Methodology & Design,Senior Analyst,Internal
General,"Budget cuts require reducing your sample size by 40%. How do you maintain research quality?",Senior,Research Design,Project Management & Client Communication,Research Manager,Internal
General,"The client wants to use your research to support a predetermined conclusion. How do you handle this ethically?",Senior,Report Writing,Project Management & Client Communication,Senior Manager,Internal
Nielsen,"Regional sales data doesn't match your national panel projections. How do you identify the source of discrepancy?",Senior,Data Analysis,Statistical Analysis & Interpretation,Research Manager,Internal
Kantar,"Your brand health study shows declining metrics but the client's sales are growing. How do you explain this paradox?",Senior,Consumer Insights,Consumer Behavior Analysis,Research Manager,Internal
