company,role,principle_name,principle_description,question,question_type,difficulty,quote,source
Goldman Sachs,Entry Level,Client Service First,Putting clients' interests first in all decisions and actions,Tell me about a time when you had to prioritize a client's needs over your own convenience or immediate interests.,Values,Medium,"Our clients' interests always come first","David Solomon, CEO, Goldman Sachs 2024 Annual Report, 2024"
Goldman Sachs,Mid Level,Partnership and Integrity,Working collaboratively with integrity as a core value,Tell me about a time when you had to maintain integrity in a situation where taking shortcuts could have benefited you personally.,Values,Medium,"We execute with a relentless emphasis on client service, partnership, integrity and excellence","David Solomon, CEO, Goldman Sachs 2024 Annual Report, 2024"
Goldman Sachs,Senior,Long-term Strategic Thinking,Taking a long-term view and investing for sustainable performance,Tell me about a time when you had to advocate for a long-term strategy that required short-term sacrifices or investments.,Leadership,Hard,"By investing in our business and taking a long-term view, we have put ourselves on the path to generating mid-teens returns through the cycle","David Solomon, CEO, Goldman Sachs 2024 Annual Report, 2024"
Goldman Sachs,Leadership,Decisive Action,Taking swift action to address challenges and focus on core strengths,Tell me about a time when you had to make a difficult decision quickly to refocus your team or organization on its core strengths.,Leadership,Hard,"This performance was aided by the swift actions we took last year to narrow our strategic focus and play to our core strengths","David Solomon, CEO, Goldman Sachs May 2024 CNBC Interview, 2024"
Goldman Sachs,Mid Level,Excellence and Performance,Delivering exceptional performance and meeting ambitious targets,Tell me about a time when you set an ambitious target and had to rally your team to exceed expectations.,Problem Solving,Medium,"We have met or exceeded almost all the performance targets that we set for ourselves","David Solomon, CEO, Goldman Sachs 2024 Annual Report, 2024"
Goldman Sachs,Senior,Innovation and Technology,Embracing technological change for long-term competitive advantage,Tell me about a time when you had to lead a team through a significant technological transformation or innovation initiative.,Problem Solving,Hard,"This will not be a quarter-to-quarter project but part of the investment bank's focus over the next five to 10 years","David Solomon, CEO, on AI transformation, Qz.com, 2024"
Goldman Sachs,Entry Level,Reputation and Trust,Protecting and building the firm's reputation through all actions,Tell me about a time when you had to choose between a quick win and protecting your organization's reputation.,Values,Medium,"Our assets are our people, capital and reputation. If any of these is ever diminished, the last is the most difficult to restore","David Solomon, CEO, Goldman Sachs 2024 Annual Report, 2024"
Goldman Sachs,Leadership,Confidence and Vision,Maintaining confidence in the future while navigating uncertainty,Tell me about a time when you had to inspire confidence in your team during a period of significant uncertainty or change.,Leadership,Hard,"Whatever the future holds, I am very confident about the trajectory of Goldman Sachs","David Solomon, CEO, Goldman Sachs 2024 Annual Report, 2024"
Goldman Sachs,Mid Level,Client Success Focus,Ensuring client success drives firm success,Tell me about a time when you went above and beyond to ensure a client's success, even when it required extra effort from your team.,Culture Fit,Medium,"If we serve our clients well, our own success will follow","David Solomon, CEO, Goldman Sachs 2024 Annual Report, 2024"
Morgan Stanley,Entry Level,Rigor and Humility,Maintaining high standards while staying humble and open to learning,Tell me about a time when you had to admit you were wrong and change course while maintaining your team's confidence.,Values,Medium,"I care about our culture, which is one of rigor and humility and partnership","Ted Pick, CEO, Bloomberg Interview, October 2024"
Morgan Stanley,Mid Level,Partnership Approach,Working collaboratively and building strong partnerships,Tell me about a time when you had to build a partnership with someone who initially disagreed with your approach.,Teamwork,Medium,"I care about our culture, which is one of rigor and humility and partnership","Ted Pick, CEO, Bloomberg Interview, October 2024"
Morgan Stanley,Senior,World-class Execution,Delivering consistent strong performance across market cycles,Tell me about a time when you had to ensure your team delivered exceptional results during challenging market conditions.,Problem Solving,Hard,"World-class execution demands that we deliver strong earnings and returns through the cycle","Ted Pick, CEO, Q2 2024 Earnings Call, 2024"
Morgan Stanley,Leadership,Strategic Leadership,Building and growing client franchises while developing talent,Tell me about a time when you had to simultaneously grow a business while developing your team's capabilities.,Leadership,Hard,"A strategic leader with a strong track record of building and growing our client franchise, developing and retaining talent","Tom Glocer, Lead Director, Morgan Stanley Press Release, 2023"
Morgan Stanley,Mid Level,Values and Commitment,Demonstrating strong values and commitment to people and clients,Tell me about a time when your values were tested and how you remained committed to doing the right thing for your clients and team.,Values,Medium,"His values, intellect, passion and commitment to our people and our clients","James Gorman, Former CEO, on Ted Pick, Morgan Stanley Press Release, 2023"
Morgan Stanley,Senior,Global Perspective,Working effectively across different regions and cultures,Tell me about a time when you had to lead a project or initiative that required working across multiple countries or cultural contexts.,Problem Solving,Hard,"Works very effectively not just in the U.S., but around the globe","James Gorman, Former CEO, on Ted Pick, Morgan Stanley Press Release, 2023"
Morgan Stanley,Entry Level,Consistency and Reliability,Delivering consistent performance and maintaining reliability,Tell me about a time when you had to maintain consistent performance despite facing unexpected obstacles.,Culture Fit,Medium,"I think the story of our earnings is one of consistency","Ted Pick, CEO, Q3 2024 Earnings Call, 2024"
Morgan Stanley,Leadership,Risk Management,Understanding and managing complex risks while making sound decisions,Tell me about a time when you had to make a critical decision involving significant risk and how you managed the potential downside.,Leadership,Hard,"Battle-tested, understands complex risk","James Gorman, Former CEO, on Ted Pick, Morgan Stanley Press Release, 2023"
Morgan Stanley,Senior,Future Growth Vision,Positioning for long-term growth and identifying new opportunities,Tell me about a time when you identified and pursued a new growth opportunity that others initially overlooked.,Problem Solving,Hard,"I am excited about the opportunities for future growth","Ted Pick, CEO, Morgan Stanley Press Release, 2023"
JPMorgan Chase,Entry Level,Leading with Heart,Demonstrating empathy and compassion in leadership decisions,Tell me about a time when you had to make a difficult decision that required balancing business needs with genuine care for people affected.,Values,Medium,"You know heart and soul when you see it in effect on sports teams or with 'the boys in the boat'—it's a beautiful thing to watch","Jamie Dimon, CEO, Annual Shareholder Letter, 2024"
JPMorgan Chase,Mid Level,Getting in the Trenches,Being willing to work directly with teams and understand ground-level challenges,Tell me about a time when you had to dive deep into operational details to solve a problem or support your team.,Culture Fit,Medium,"Have a heart and get in the trenches","Jamie Dimon, CEO, Annual Shareholder Letter, 2024"
JPMorgan Chase,Senior,Decision-Making Process,Following rigorous analysis while knowing when to act decisively,Tell me about a time when you had to balance thorough analysis with the need to make a timely decision under pressure.,Problem Solving,Hard,"Enforce a good decision-making process. Examine raw data and focus on real numbers","Jamie Dimon, CEO, Annual Shareholder Letter, 2021"
JPMorgan Chase,Leadership,Dealing with Reality,Facing facts honestly and remaining open to learning and improvement,Tell me about a time when you had to confront a difficult reality about your team's performance and lead them through necessary changes.,Leadership,Hard,"Always deal with reality. Remain open to learning how to become a better leader","Jamie Dimon, CEO, Annual Shareholder Letter, 2021"
JPMorgan Chase,Mid Level,Purpose-Driven Work,Understanding that banking work has meaningful impact on communities and individuals,Tell me about a time when you helped someone achieve their goals and how it reinforced the importance of your work.,Values,Medium,"I often remind our employees that the work we do matters and has impact","Jamie Dimon, CEO, Annual Shareholder Letter, 2024"
