
School,ProgramLevel,Year,Employer1,Employer1Count,Employer2,Employer2Count,Employer3,Employer3Count,Employer4,Employer4Count,Employer5,Employer5Count,Employer6,Employer6Count,Employer7,Employer7Count,Employer8,Employer8Count,Employer9,Employer9Count,Employer10,Employer10Count,Source,Program Level,Count1,Count2,Count3,Count4,Count5,Count6,Count7,Count8,Count9,Count10,Level
MIT Sloan School of Management,MBA,2023,McKinsey & Company,26,Bain & Company,25,Boston Consulting Group,23,Amazon,20,Verizon,9,Deloitte Consulting,6,Goldman Sachs,6,NextEra Energy,6,Re:Build Manufacturing,6,Apple,4,mitsloan.mit.edu/sites/default/files/2023-12/MBA-Employment-Report-2023-2024.pdf#:~:text=Top%20Employers%20of%20the%20MBA,3,,,,,,,,,,,,
Vanderbilt Owen Graduate School of Management,MBA,2024,EY-Parthenon,6,EY,5,Amazon,4,Deloitte Consulting,4,L.E.K. Consulting,4,Mars Petcare,4,UnitedHealth Group,4,Wells Fargo Corporate & Investment Banking,4,,,,,https://business.vanderbilt.edu/mba/vanderbilt-advantage/exceptional-outcomes/#:~:text=Top%20Hiring%20Companies%20,Corporate%20%26%20Investment%20Banking%204,,,,,,,,,,,,
Duke University – Fuqua School of Business,MBA,2023,Amazon,12,Bank of America,10,JPMorgan Chase,9,Wells Fargo,5,Google,5,Dell,4,Adobe,4,Goldman Sachs,4,Microsoft,3,Apple,3,www.fuqua.duke.edu/sites/default/files/media/programs/daytime/duke-mba-employment-2023.pdf#:~:text=Alvarez%20%26%20Marsal%203%20L,3%20THE%20DUKE%20NETWORK%20ADVANTAGE,,,,,,,,,,,,
Cornell University – Johnson Graduate School of Management,MBA,2024,Amazon,≥2,Bain & Company,≥2,Bank of America Merrill Lynch,≥2,Boston Consulting Group,≥2,Citi,≥2,Deloitte Consulting,≥2,EY-Parthenon,≥2,Jefferies Group,≥2,JP Morgan Chase & Co.,≥2,McKinsey & Company,≥2,https://www.johnson.cornell.edu/programs/full-time-mba/two-year-mba/careers/employment-data/#:~:text=Two,Hiring%20Companies,,,,,,,,,,,,
Columbia Business School,MBA,2024,McKinsey & Company,50,Boston Consulting Group,29,Amazon,14,PricewaterhouseCoopers International Ltd,12,Bain & Company,12,JPMorgan Chase & Co.,11,Deloitte,10,Citigroup,10,Bank of America,10,Evercore Inc.,9,business.columbia.edu/sites/default/files-efs/imce-uploads/CMC/cmc-employment-report-2024-final.pdf#:~:text=Columbia%20Business%20School%E2%80%83%20%E2%80%83%20%E2%80%83,5%209%20UBS%20Group%20AG,,,,,,,,,,,,
University of Virginia – Darden School of Business,MBA,2024,Amazon,,Bain & Company,,Bank of America,,Barclays,,Boston Consulting Group,,Dell Technologies,,J.P. Morgan Chase,,McKinsey & Company,,Walmart,,UPS,,https://www.darden.virginia.edu/mba/career-support/employment-report#:~:text=Top%20Hiring%20Companies%20for%20Darden%E2%80%99s,Time%20MBA%20Class%20of%202024,,,,,,,,,,,,
University of Chicago – Booth School of Business,MBA,2024,Boston Consulting Group,48,McKinsey & Company,33,Bain & Company,20,Amazon.com,16,Goldman Sachs Group,9,JPMorgan Chase & Co.,8,Bank of America Corporation,7,"Citigroup, Inc.",7,Deloitte Consulting,7,L.E.K. Consulting,7,https://www.f1gmat.com/mba-salary-placement-analysis/chicago-booth-mba/2024#:~:text=Top%20Employers%20Number%20of%20Students,4,,,,,,,,,,,,
Northwestern University – Kellogg School of Management,MBA,2024,McKinsey & Company,56,The Boston Consulting Group,33,Amazon,28,Bain & Company,20,Google,20,PwC Strategy&,11,Deloitte Consulting LLP,8,Microsoft Corporation,8,"Nike, Inc.",6,Adobe Systems,6,https://managementconsulted.com/kellogg-employment-report/#:~:text=,8,,,,,,,,,,,,
University of Pennsylvania – Wharton School,MBA,2024,Accenture Strategy,≥2,Amazon,≥2,Bain & Company,≥2,Bank of America,≥2,Boston Consulting Group,≥2,Deloitte Consulting LLP,≥2,Goldman Sachs & Company,≥2,Google,≥2,J.P. Morgan,≥2,McKinsey & Company,≥2,istics.mbacareers.wharton.upenn.edu/wp-content/uploads/2024/12/2024-Career-Report-FINAL.pdf#:~:text=175%2C000%20192%2C000%20175%2C000%20%24134%2C826%20150%2C000,ECOMMERCE,,,,,,,,,,,,
Harvard Business School,,Latest available (approx. 2024),Amazon,,Google,,McKinsey & Company,,Bain & Company,,Boston Consulting Group,,The Blackstone Group,,Capital One,,Meta (Facebook),,Deloitte,,IBM,,https://managementconsulted.com/hbs-employment-report/#:~:text=Companies%20Typically%20Hiring%20Harvard%20Business,School%20MBAs,MBA,,,,,,,,,,,
