company,role,principle_name,principle_description,question,question_type,difficulty,quote,source
Meesho,Entry Level,Social Commerce Democratization,Enabling small entrepreneurs to start online businesses through social selling,"Tell me about a time when you helped someone start or grow their business using technology or platforms you provided access to.",Values,Easy,"We believe in democratizing e-commerce and enabling millions of small entrepreneurs to start their online businesses through social selling","Vidit Aatrey, Meesho Co-founder, Social Commerce Vision, 2023"
Meesho,Mid Level,Reseller Empowerment,Creating opportunities for individuals to become successful entrepreneurs without inventory investment,"Describe a situation where you created a system that allowed people to succeed without requiring significant upfront investment.",Problem Solving,Medium,"Our platform empowers resellers to become entrepreneurs without any inventory investment, democratizing access to business opportunities","Sanjeev Barnwal, Meesho Co-founder, Reseller Model, 2023"
Meesho,Senior,Inclusive Growth Strategy,Building business models that create value for underserved market segments,"Tell me about a time when you designed a solution specifically for an underserved market that others had overlooked.",Leadership,Hard,"We focus on inclusive growth, building for Bharat and creating value for customers who have been traditionally underserved by e-commerce","Meesho Growth Strategy, Company Vision, 2024"
Cars24,Leadership,Used Car Market Transparency,Bringing transparency and trust to India's fragmented used car market,"Give me an example of when you brought transparency to a process or market that was traditionally opaque or difficult to navigate.",Leadership,Hard,"We're building trust in the used car ecosystem by bringing transparency, fair pricing, and reliable service to buyers and sellers","Vikram Chopra, Cars24 Co-founder, Market Transformation, 2023"
Cars24,Senior,Technology-Driven Efficiency,Using technology to streamline complex multi-step processes in traditional industries,"Describe a time when you used technology to simplify a complex process that traditionally required multiple intermediaries.",Problem Solving,Hard,"Technology allows us to eliminate inefficiencies in the used car market and provide a seamless experience for both buyers and sellers","Cars24 Technology Philosophy, Platform Innovation, 2024"
Cars24,Mid Level,Customer-Centric Innovation,Continuously innovating based on customer pain points in traditional markets,"Tell me about a time when customer feedback led you to completely rethink how you approached a problem or service.",Problem Solving,Medium,"Every innovation we build starts with understanding customer pain points and designing solutions that actually solve real problems","Cars24 Customer Innovation, Product Development, 2023"
PharmEasy,Senior,Healthcare Accessibility,Making quality healthcare and medicines accessible to every Indian household,"Describe a project where you worked to make essential services more accessible to people in remote or underserved areas.",Values,Medium,"Our mission is to make healthcare accessible and affordable for every Indian, especially those in remote areas with limited access","Dhaval Shah, PharmEasy Co-founder, Healthcare Mission, 2022"
PharmEasy,Leadership,Digital Health Revolution,Leading the transformation of traditional healthcare delivery through technology,"Tell me about a time when you led digital transformation in a traditional industry that was resistant to change.",Leadership,Hard,"We're not just digitizing pharmacy; we're revolutionizing how healthcare is delivered and experienced across India","PharmEasy Digital Health Vision, Healthcare Transformation, 2023"
Urban Company,Leadership,Service Quality Excellence,Maintaining high service standards while scaling rapidly across diverse markets,"Give me an example of when you had to maintain quality standards while rapidly scaling operations in multiple locations.",Leadership,Hard,"For any company to be successful, there are two critical ingredients – being customer first in its thinking and execution and leveraging technology","Abhiraj Singh Bhal, Urban Company CEO, Success Philosophy, 2024"
Urban Company,Senior,Technology-Enabled Services,Using technology to transform traditional home services into reliable experiences,"Tell me about a time when you used technology to make a traditionally unreliable service become consistently dependable.",Problem Solving,Hard,"We're leveraging technology to transform the home services industry and create reliable, professional experiences for customers","Urban Company Technology Mission, Service Innovation, 2023"
Urban Company,Mid Level,Professional Development Focus,Investing in training and development of service professionals to improve their livelihoods,"Describe a situation where you invested in developing people's skills to help them achieve better economic outcomes.",Values,Medium,"We believe in empowering service professionals through training and technology to improve their livelihoods and career prospects","Urban Company Professional Development, Economic Empowerment, 2024"
Groww,Leadership,Customer-First Philosophy,Prioritizing customer needs over short-term revenue generation,"Tell me about a time when you chose to prioritize customer value over immediate revenue opportunities.",Values,Hard,"You don't do what you want, you do what customers want. Our mission statement was to make financial services simple, transparent and delightful","Lalit Keshre, Groww Co-founder/CEO, Customer Philosophy, 2024"
