company,role,principle_name,principle_description,question,question_type,difficulty,quote,source
KKR,Entry Level,Collaboration and Partnership,KKR emphasizes working together collaboratively across the organization to achieve better outcomes,"Tell me about a time when you had to collaborate with a diverse team to achieve a challenging goal. How did you ensure everyone contributed effectively?",Teamwork,Medium,"The firm wanted a physical manifestation of really the firm's value around collaboration, the ability to work together more collegiality.","KKR Co-CEO commentary, 2022"
KKR,Mid Level,Mentorship and Development,"KKR's culture is built on learning from leaders and being mentored by innovative investors, with a focus on developing the next generation","Tell me about a time when you mentored someone junior to you while simultaneously learning from a senior leader. How did you balance both roles?",Leadership,Medium,"We are fortunate to have learned from and been mentored and inspired by two of the world's most innovative investors of all time.","Joe Bae and Scott Nuttall, Co-CEO appointment announcement, 2021"
KKR,Senior,Long-term Value Creation,KKR focuses on building strategic holdings and long-term ownership rather than quick exits for sustainable value creation,"Tell me about a time when you had to choose between a quick win and a long-term strategic opportunity. How did you make your decision and what was the outcome?",Problem Solving,Hard,"KKR Co-Chief Executive Officers Joe Bae and Scott Nuttall are taking a cue from Berkshire Hathaway Inc.'s business model by betting big on long-term private equity ownership and the ensuing dividends.","Bloomberg, April 2024"
KKR,Leadership,Excellence and High Standards,KKR maintains a commitment to excellence across all levels of the organization with deeply held values,"Tell me about a time when you had to maintain extremely high standards while facing significant pressure to compromise. How did you handle the situation?",Values,Hard,"For nearly five decades, KKR has been fortifying companies and delivering for our investors. As the firm has evolved, our people and our culture have remained core to our commitment to excellence.","Joe Bae and Scott Nuttall, 2023"
KKR,Mid Level,Transformation and Evolution,KKR has successfully transformed from a traditional LBO firm to a diversified investment firm,"Tell me about a time when you had to lead or adapt to a significant change in strategy or approach. What challenges did you face and how did you overcome them?",Leadership,Medium,"Bae, 52, and Nuttall, 51, in the three years since they ascended, and beforehand as co-COOs, have radically reshaped the machine that Henry and George built.","Fortune Magazine, August 2024"
KKR,Entry Level,Mission-Driven Culture,KKR operates with a clear mission and ensures all team members understand and contribute to that mission,"Tell me about a time when you had to align your personal values with an organization's mission. How did you contribute to achieving shared goals?",Culture Fit,Easy,"Today, we are proud to celebrate those who have been promoted to the most senior levels of our firm as they exemplify our deeply held values, and our dedication to supporting our clients and portfolio companies.","KKR Co-CEOs, 2023"
KKR,Senior,Stakeholder Responsibility,KKR considers responsibility to a wider range of stakeholders in decision-making,"Tell me about a time when you had to balance competing stakeholder interests. How did you ensure all parties felt heard while making the best decision for the organization?",Problem Solving,Hard,"Today, more than ever, it is critical to consider our responsibility to a wider range of stakeholders in order to continue delivering on behalf of our clients and shareholders.","Joe Bae and Scott Nuttall, 2022 Sustainability Report"
KKR,Leadership,Ambitious Goal Setting,KKR sets bold targets and works systematically to achieve them,"Tell me about a time when you set an ambitious goal that others thought was unrealistic. How did you develop a plan to achieve it and what was the result?",Leadership,Hard,"KKR's co-CEOs want to double market cap and reach $1 trillion in assets under management by 2030.","Fortune Magazine, August 2024"
Blackstone,Entry Level,Pursuit of Excellence,"Blackstone emphasizes pursuing worthy fantasies and great things, focusing energy on consequential goals","Tell me about a time when you chose to pursue a challenging, ambitious project over something easier. What made you believe it was worth the effort?",Values,Medium,"I'm a great believer in what I call having a worthy fantasy. If you're going to do something, it ought to be a great thing, because there are only so many things you can do with your life.","Stephen Schwarzman, Blackstone CEO"
Blackstone,Mid Level,Integrity Above All,Maintaining integrity is a non-negotiable principle at Blackstone regardless of circumstances,"Tell me about a time when maintaining your integrity came at a personal or professional cost. How did you handle the situation?",Values,Hard,"Always keep your integrity.","Stephen Schwarzman, Blackstone CEO"
