company,role,principle_name,principle_description,question,question_type,difficulty,quote,source
Deloitte Consulting,Entry Level,Inclusive Leadership,Building diverse teams that listen and incorporate different perspectives,Tell me about a time when you had to lead a team with diverse viewpoints and needed to ensure everyone's voice was heard before making an important decision.,Leadership,Medium,"You don't do that very well by digging in and having one position you're sure is right and not wanting to listen to others. You do that by being inclusive.","Joe Ucuzoglu, Global CEO, Duke Fuqua School Interview, 2020"
Deloitte Consulting,Mid Level,Stakeholder Capitalism,Balancing shareholder returns with broader societal impact and long-term thinking,Tell me about a time when you had to make a decision that balanced immediate business results with longer-term stakeholder interests including community impact.,Values,Hard,"When one maintains a long-term view, taking good care of stakeholders—employees, customers, suppliers, local communities, and society at large—converges with the objective of driving premium returns for shareholders as well.","Joe Ucuzoglu, Global CEO, Fortune Leadership Next Podcast, 2020"
Deloitte Consulting,Senior,Transparency and Accountability,Being open about challenges and areas needing improvement while maintaining trust,Tell me about a time when you had to be transparent about significant shortcomings or failures in your organization while maintaining stakeholder confidence.,Culture Fit,Hard,"There are a lot of things where we're nowhere where we need to be, in terms of representation. So, we put all of that out there with an expectation that it would be met with a response of appreciation, as opposed to a response of critique.","Joe Ucuzoglu, Global CEO, DEI Transparency Report Discussion, 2021"
Deloitte Consulting,Leadership,Social Responsibility,Speaking up for organizational values and driving positive societal change,Tell me about a time when you took a stand on an important social issue that aligned with your organization's values despite potential business risks.,Values,Hard,"Our people want to know that they work for an organization that's willing to visibly stand up for our values and speak out in favor of those societal changes that are near and dear to us.","Joe Ucuzoglu, Global CEO, Corporate Activism Discussion, 2020"
Deloitte Consulting,Entry Level,Continuous Learning,Emphasizing resilience and adaptability in a changing world,Tell me about a time when you had to quickly learn new skills or adapt to significant changes in your work environment.,Problem Solving,Easy,"At Deloitte, we are committed to developing a workforce that's diverse, talented, technically skilled, resilient, and ready for continuous learning at a pace that matches the ever-changing needs of our world.","Joe Ucuzoglu, Global CEO, Hunter College Address, 2023"
Deloitte Consulting,Mid Level,Client Impact Focus,Delivering highest quality advice through diverse inclusive teams,Tell me about a time when you assembled a diverse team to solve a complex client problem and how the team's diversity contributed to the solution.,Teamwork,Medium,"You want to promote that kind of culture within your organization, to get the best out of people, to build diverse inclusive teams that in our case are ultimately going to deliver the very best, highest quality advice to clients.","Joe Ucuzoglu, Global CEO, Notre Dame Center for Ethical Leadership, 2021"
Deloitte Consulting,Senior,Inclusive Prosperity,Ensuring technology-driven growth includes all communities,Tell me about a time when you led an initiative to ensure that technological advancement or business growth benefited underrepresented communities.,Leadership,Hard,"We, the business community, have an obligation to help make certain that this prosperity is inclusive, that we're focused on upskilling, retraining—making certain that all communities participate equitably in a tech-driven future.","Joe Ucuzoglu, Global CEO, Stakeholder Capitalism Discussion, 2021"
PwC Strategy&,Entry Level,Challenging Status Quo,Creating positive stress and driving change rather than accepting current state,Tell me about a time when you identified a process or approach that wasn't working and took initiative to challenge and improve it.,Problem Solving,Medium,"You can't accept status quo. You've got to create some stress... You have to learn to not only listen, but act upon what you're hearing. You have to do things differently.","Bob Moritz, Global Chairman, World Economic Forum Podcast, 2020"
PwC Strategy&,Mid Level,Active Listening and Action,Moving beyond hearing feedback to implementing meaningful change,Tell me about a time when you received difficult feedback and had to translate that into concrete actions and changes.,Culture Fit,Medium,"You have to learn to not only listen, but act upon what you're hearing. You have to do things differently.","Bob Moritz, Global Chairman, World Economic Forum Podcast, 2020"
PwC Strategy&,Senior,Focus on Impact,Identifying controllable challenges and maximizing influence,Tell me about a time when you were faced with multiple competing priorities and had to determine where you could have the greatest impact.,Leadership,Hard,"There's many different challenges out there in the world. What are the ones you can control and have an impact on? What are the ones you can influence?","Bob Moritz, Global Chairman, Business Today Interview, 2023"
PwC Strategy&,Leadership,Building Trust in Society,Using business as a force for solving important societal problems,Tell me about a time when you led an initiative that addressed a significant societal challenge while achieving business objectives.,Values,Hard,"Our clear focus remains on providing high quality services to our clients and development opportunities for our people and on making a positive impact on the communities in which we live and work.","Bob Moritz, Global Chairman, PwC Reappointment Statement, 2020"
PwC Strategy&,Entry Level,Trust and Transparency,Building trust through responsible AI deployment and customer data protection,Tell me about a time when you had to balance innovation with ethical considerations or customer privacy concerns.,Values,Medium,"Understanding the role of AI and being responsible in the deployment of AI... both of those things when you get it right, can expand revenue. And when it's wrong, it can really erode value pretty quickly.","Wes Bricker, US Vice Chair, CFO Dive Interview, 2024"
PwC Strategy&,Mid Level,Continuous Learning Priority,Prioritizing learning as a core organizational value,Tell me about a time when you had to learn something completely new to solve a challenging problem or advance in your role.,Problem Solving,Easy,"I'm grateful to be part of a firm like PwC, where our senior leaders prioritize continuous learning as a core value.","Wes Bricker, US Vice Chair, Fairfield University Forum, 2023"
PwC Strategy&,Senior,Team Sport Approach,Recognizing that success comes through collaboration and intense curiosity,Tell me about a time when you achieved a significant result through collaboration that you couldn't have accomplished alone.,Teamwork,Medium,"This is a team sport. The only way I got there was spending time with other people. I had to be intensely curious about the world, because the world is never static.","Wes Bricker, US Vice Chair, Career Reflection, 2023"
EY-Parthenon,Entry Level,Purpose-Driven Strategy,Leading with clear purpose and strategy to guide teams,Tell me about a time when you had to align a team around a common purpose and strategy to achieve a challenging goal.,Leadership,Medium,"Today's leaders need to have a purpose and a strategy to ensure their teams know what the organization is trying to accomplish.","Carmine Di Sibio, Global Chairman, World Economic Forum Interview, 2021"
EY-Parthenon,Mid Level,Empathetic Leadership,Expressing empathy and transparency while maintaining confidence,Tell me about a time when you had to lead through a crisis while being both vulnerable and confident with your team.,Leadership,Hard,"As a leader, you must express empathy and be transparent... What it means to be a leader has fundamentally and forever changed as a result of the pandemic.","Carmine Di Sibio, Global Chairman, Pandemic Leadership Discussion, 2020"
EY-Parthenon,Senior,Stakeholder Capitalism,Balancing governance, planet, people, and prosperity in decision-making,Tell me about a time when you made a strategic decision that considered environmental, social, and governance factors alongside financial returns.,Values,Hard,"Four pillars: principles of governance, planet, people, and prosperity, referencing the World Economic Forum paper 'Measuring Stakeholder Capitalism.'","Carmine Di Sibio, Global Chairman, WEF Stakeholder Capitalism Initiative, 2021"
EY-Parthenon,Leadership,Continuous Learning Culture,Creating environments where daily learning is expected and valued,Tell me about a time when you fostered a culture of learning in your organization and how you measured its impact.,Culture Fit,Medium,"If you're at your job and you're not learning, you should change your job.","Carmine Di Sibio, Global Chairman, Leadership Philosophy, 2021"
EY-Parthenon,Entry Level,Active Listening and Motivation,Understanding that effective management requires listening and motivating employees,Tell me about a time when you had to motivate someone who was struggling and how listening played a role in your approach.,Teamwork,Easy,"To be an effective manager today, you have to know how to motivate - and how to listen to your employees and your people.","Carmine Di Sibio, Global Chairman, Meet the Leader Podcast, 2021"
EY-Parthenon,Senior,Social Responsibility,Taking leadership responsibility to address societal gaps and challenges,Tell me about a time when you identified a social issue and took concrete action to address it through your professional role.,Values,Hard,"I do think leaders have to step up here. Business leaders have a responsibility to society.","Carmine Di Sibio, Global Chairman, COVID Crisis Leadership, 2020"
EY-Parthenon,Mid Level,Servant Leadership,Focusing on serving people rather than managing them,Tell me about a time when you approached a leadership challenge by focusing on serving your team's needs rather than directing their actions.,Leadership,Medium,"I have seen the power of steward leadership and what happens when you bring out the very best in others... not managing people but really serving people and being in service to the people in their care.","Kelly Grier, US Chair, Values-Driven Leadership, 2020"
EY-Parthenon,Leadership,Racial Justice and Corporate Influence,Using corporate platforms to drive enduring social change,Tell me about a time when you took a strong public stance on a social justice issue and ensured it led to sustainable organizational change.,Values,Hard,"It was really important for me to be explicit about that with all of the EY family members... we're not going to stand by and allow this to happen without exerting all of the influence that we have with our enormous platform.","Kelly Grier, US Chair, Racial Justice Response, 2020"
EY-Parthenon,Senior,Change as Opportunity,Transforming challenges into opportunities through adaptability,Tell me about a time when you faced a significant setback and were able to transform it into a growth opportunity.,Problem Solving,Hard,"Your greatest challenges are often your greatest opportunities in disguise... the ability to be both agile and to adapt to change quickly.","Kelly Grier, US Chair, Providence Business School, 2022"
