company,role,principle_name,principle_description,question,question_type,difficulty,quote,source
Boeing,Entry Level,Safety Culture Transformation,Every employee is empowered as an aviation safety advocate,Tell me about a time when you spoke up about a safety concern or potential problem that others might have overlooked. How did you handle the situation?,Values,Medium,"We've asked every one of our employees to consider themselves an aviation safety advocate. We are committed to making sure every employee feels empowered to speak up if there is a problem.",Dave Calhoun CEO Congressional Testimony 2024
Boeing,Mid Level,Transparency and Accountability,Leading with complete transparency and taking responsibility for failures,Tell me about a time when you had to admit to a significant mistake or failure. How did you communicate this to stakeholders and what actions did you take?,Leadership,Hard,"We must continue to respond to this accident with humility and complete transparency. We also must inculcate a total commitment to safety and quality at every level of our company.",Dave Calhoun CEO Alaska Airlines Message 2024
Boeing,Senior,Listening Culture,Listening starts with leadership and reacting appropriately to concerns,Tell me about a time when you discovered your team wasn't bringing important issues to your attention. How did you change your approach to encourage more open communication?,Leadership,Hard,"The system didn't apparently listen or watch for things like that and it didn't react appropriately. And I have to do everything in my power to make sure going forward that it does. Listening starts with leadership and it starts with me.",Dave Calhoun CEO Statement 2020
Boeing,Leadership,Cultural Change,Strengthening safety culture and rebuilding trust through systematic improvement,Tell me about a time when you led a major cultural transformation in response to a crisis. What was your approach and how did you measure progress?,Leadership,Hard,"Working together we will strengthen our safety culture improve transparency and rebuild trust.",Dave Calhoun CEO Message to Team 2020
Boeing,Mid Level,Employee Empowerment,Creating an environment where employees feel safe to raise concerns without retaliation,Tell me about a time when you had to encourage someone on your team to voice a concern they were hesitant to share. How did you create a safe environment for that conversation?,Teamwork,Medium,"We are committed to making sure every employee feels empowered to speak up if there is a problem. We also have strict policies in place to prohibit retaliation against employees who come forward.",Dave Calhoun CEO Congressional Testimony 2024
Boeing,Entry Level,Continuous Improvement,Acknowledging imperfection while committing to progress and learning,Tell me about a time when you worked on improving a process or system that had significant flaws. How did you approach making incremental improvements?,Problem Solving,Medium,"Our culture is far from perfect but we are taking action and making progress. We understand the gravity and we are committed to moving forward with transparency and accountability.",Dave Calhoun CEO Congressional Testimony 2024
General Motors,Entry Level,Zero Crashes Zero Emissions Zero Congestion,GM's North Star vision guiding all decisions and actions,Tell me about a time when you had to align your work with a larger organizational mission or vision. How did you ensure your daily tasks supported the bigger picture?,Values,Easy,"At General Motors we have a vision of zero crashes zero emissions zero congestion. It is our North Star that guides everything we do.",Mary Barra CEO LinkedIn Post
General Motors,Mid Level,Climate Change Action,Taking responsibility to be part of the solution through electrification,Tell me about a time when you led an initiative to address an environmental or social challenge. What was your approach and what impact did you achieve?,Problem Solving,Medium,"Climate change is real and we want to be part of the solution by putting everyone in an electric vehicle.",Mary Barra CEO Statement
General Motors,Senior,Purpose-Driven Transformation,Engaging employees in meaningful work that impacts future generations,Tell me about a time when you had to transform a team or organization around a new purpose. How did you get people excited about the change?,Leadership,Hard,"Our employees are excited about that and they want to be part of it because they want to make sure not are they working for a company that's doing the right thing but it's doing the right thing for the environment for safety not only for their children but for their children's children.",Mary Barra CEO Interview
General Motors,Leadership,Corporate Responsibility,Taking responsibility to solve critical societal issues,Tell me about a time when you took on responsibility for solving a problem that extended beyond your immediate role or department. What motivated you and how did you approach it?,Values,Hard,"I really see it as our responsibility to solve some of the issues around crashes and emissions and congestion.",Mary Barra CEO Statement
General Motors,Mid Level,Innovation and Ambition,Having the talent and technology to create transformational change,Tell me about a time when you had to convince others that an ambitious goal was achievable. How did you demonstrate that you had the capability to deliver?,Leadership,Medium,"The good news is we have the ambition the talent and the technology to create a world with zero crashes zero emissions and zero congestion.",Mary Barra CEO Statement
General Motors,Entry Level,Talent Attraction,Attracting people who believe in the vision and want to contribute,Tell me about a time when you joined a team or organization because you were passionate about their mission. How did that motivation influence your performance?,Culture Fit,Easy,"About 40% of our salary employees have been with the company for less than five years and they've joined because they believe in the vision and they want to be a part of it.",Mary Barra CEO Interview
Ford,Entry Level,Customer-First Focus,Giving people what they want through better customer experiences,Tell me about a time when you went above and beyond to understand what a customer or client really needed. How did you use that insight to improve your service?,Values,Easy,"Give people what they want—that was the mantra from CEO Jim Farley. The most important thing is the fitness of the company to use that platform to make a better experience for the customer.",Jim Farley CEO Interview August 2024
Ford,Mid Level,Organizational Agility,Building resilient companies that can adapt and thrive during transformation,Tell me about a time when you had to quickly adapt your approach or strategy in response to unexpected changes. How did you maintain performance while pivoting?,Problem Solving,Medium,"As a leader during transformation you have to be out in front — show that you want to learn be curious introduce new ideas ask questions.",Jim Farley CEO Statement
Ford,Senior,Long-term Vision,Making decisions with the next generation and future decades in mind,Tell me about a time when you had to make a decision that prioritized long-term benefits over short-term gains. How did you justify this approach to stakeholders?,Leadership,Hard,"The only thing I really think about is: How are we making decisions and getting things done such that Walmart is succeeding and creating value 50 years from now?",Doug McMillon CEO Statement
Ford,Leadership,Digital Transformation,Using software and connectivity to create better customer experiences,Tell me about a time when you led a digital transformation initiative. How did you balance technological advancement with human needs?,Leadership,Hard,"There is all sorts of functionality on the software side that you can't get in a non-electrified vehicle. The future is as much about features and connected services as the vehicles those offerings are in.",Jim Farley CEO Statement
Ford,Mid Level,Flexible Strategy,Adapting to market realities while maintaining strategic direction,Tell me about a time when you had to adjust your strategy based on new market information or customer feedback. How did you communicate this change?,Problem Solving,Medium,"Partial electrification options like hybrids and extended-range electric vehicles are more than just transitional technologies.",Jim Farley CEO Bernstein Conference 2024
Ford,Entry Level,Performance Excellence,Targeting consistent operational performance with clear metrics,Tell me about a time when you had to improve a process or operation to meet specific performance targets. What approach did you take?,Problem Solving,Easy,"The company is targeting consistent operating performance that includes adjusted earnings before interest and taxes of 8% of revenue with strong automotive adjusted free cash flow.",Jim Farley CEO Statement
Disney,Entry Level,Storytelling Excellence,Making storytelling the distinctive foundation from which all business grows,Tell me about a time when you had to communicate a complex idea or project in a compelling way. How did you craft your narrative to engage your audience?,Values,Easy,"If Disney only does one thing well it should be storytelling and then the entire business will grow from there. Telling stories is where Disney should be distinctive and should be #1.",Bob Iger CEO Guidance
Disney,Mid Level,Relentless Pursuit of Perfection,Refusing to accept mediocrity and demanding excellence in all work,Tell me about a time when you had to push back against accepting a mediocre solution. How did you drive the team toward excellence?,Values,Medium,"I'm amazed at how many times people are willing to accept mediocrity. One of the things I learned from Steve Jobs is how he demanded excellence. And the results he got were obvious.",Bob Iger CEO Leadership Lesson
Disney,Senior,Innovation Through Risk-Taking,Creating room to fail in order to drive innovation and creativity,Tell me about a time when you encouraged your team to take creative risks that might not succeed. How did you balance innovation with business objectives?,Leadership,Hard,"There is no science in creativity. If you don't give yourself room to fail you won't innovate.",Bob Iger CEO Statement
Disney,Leadership,Culture of Respect and Empathy,Creating trust and collaboration through fairness and treating others with respect,Tell me about a time when you had to address a situation where team members weren't feeling heard or respected. How did you rebuild trust?,Leadership,Hard,"From his commitment to diversity and inclusion to his willingness to listen to dissenting voices Iger's dedication to fairness created a culture of trust and collaboration essential to Disney's success.",Leadership Analysis of Bob Iger
Disney,Mid Level,Optimism in Leadership,Maintaining positivity and finding paths to the best possible outcomes,Tell me about a time when you had to lead through a difficult period while maintaining team morale. How did you stay optimistic and help others see possibility?,Leadership,Medium,"Bob Iger believes that optimism is one of the most important leadership qualities to cultivate because even in the face of difficulty an optimistic leader will find the path toward the best possible outcome.",Bob Iger Leadership Philosophy
Disney,Entry Level,Creative Investment Priority,Investing capital primarily in high-quality branded content and creativity,Tell me about a time when you had to prioritize resource allocation toward creative or innovative projects. How did you justify this investment?,Problem Solving,Easy,"Iger's first strategic priority was to invest most of our capital in creativity or what he called high-quality branded content.",Bob Iger Strategic Priority
Walmart,Entry Level,People-Led Tech-Powered,Using technology to serve people while maintaining human-centered focus,Tell me about a time when you implemented a technology solution while ensuring it enhanced rather than replaced human interaction. How did you balance both aspects?,Values,Easy,"Looking ahead we will compete with technology but win with people. We will be people-led and tech-empowered.",Doug McMillon CEO Statement
Walmart,Mid Level,Customer-First Priority,Putting customer wants and needs above all other considerations,Tell me about a time when you had to make a difficult decision that prioritized customer needs over internal convenience. What was your reasoning?,Values,Medium,"It's really simple: If you're not meeting the wants and needs of the customer you're done. There's not a lot of loyalty here.",Doug McMillon CEO Statement
Walmart,Senior,Intelligent Risk-Taking,Getting comfortable with calculated risks to enable meaningful change and growth,Tell me about a time when you had to convince others to take a significant risk for potential growth. How did you assess and manage that risk?,Leadership,Hard,"There is no growth without change and there is no meaningful change without risk. So get comfortable with an intelligent level of risk.",Doug McMillon CEO Statement
Walmart,Leadership,Long-term Strategic Thinking,Making decisions that create value for future generations,Tell me about a time when you had to make strategic decisions that wouldn't show immediate results but were important for long-term success. How did you maintain stakeholder support?,Leadership,Hard,"The only thing I really think about is: How are we making decisions and getting things done such that Walmart is succeeding and creating value 50 years from now?",Doug McMillon CEO Statement
Walmart,Mid Level,Culture of Service Excellence,Anchoring leadership in core values of respect integrity service and excellence,Tell me about a time when you had to uphold company values even when it was challenging or costly. How did you navigate the situation?,Values,Medium,"McMillon credits his success to anchoring his leadership in Walmart's core values: respect integrity service and excellence.",Leadership Profile of Doug McMillon
Walmart,Entry Level,Learning and Curiosity,Showing willingness to learn be curious and introduce new ideas during transformation,Tell me about a time when you had to learn something completely new to be effective in your role. How did you approach the learning process?,Problem Solving,Easy,"As a leader during transformation you have to be out in front — show that you want to learn be curious introduce new ideas ask questions.",Doug McMillon CEO Statement
Target,Entry Level,Purpose-Driven Service,Working daily to help all families discover the joy of everyday life,Tell me about a time when you went out of your way to help someone have a better experience. How did your actions align with creating joy for others?,Values,Easy,"Purpose-driven team of more than 400000 who work daily to help all families discover the joy of everyday life.",Brian Cornell CEO Description
Target,Mid Level,Guest Obsession,Creating joy in the lives of guests through exceptional service,Tell me about a time when you had to solve a problem for a customer or client that required going beyond standard procedures. How did you approach it?,Culture Fit,Medium,"I see goodness when I look into the eyes of our team members in the stores who know how to create joy in the lives of our guests.",Brian Cornell CEO Statement
Target,Senior,Inclusive Leadership Strategy,Making diversity equity and inclusion part of leadership strategy and culture,Tell me about a time when you had to lead an initiative to make your workplace more inclusive. What was your approach and what challenges did you face?,Leadership,Hard,"It's part of how we lead it's part of our strategy it's part of our culture it's how we run the company. That's why we've seen growth.",Brian Cornell CEO on DEI 2023
Target,Leadership,Values-Driven Decision Making,Making decisions based on core values of inclusivity connection and drive,Tell me about a time when you had to make a difficult decision that tested your core values. How did you navigate competing priorities?,Leadership,Hard,"Target's values of inclusivity connection drive were not up for debate.",Brian Cornell CEO Email 2025
Target,Mid Level,Team Resilience,Recognizing and supporting team members who demonstrate resilience during challenges,Tell me about a time when you had to support team members who were going through a difficult period while maintaining performance. How did you balance both needs?,Teamwork,Medium,"When I look at the Target team. It's humbling and inspiring to watch our team's resilience and I'm grateful for the essential role they play for our guests during this crisis while also taking care of themselves and their families.",Brian Cornell CEO Statement 2020
Target,Entry Level,Community Connection,Understanding that strong culture is the glue holding the company together,Tell me about a time when you contributed to building or strengthening team culture. What specific actions did you take?,Culture Fit,Easy,"A strong culture is the glue holding the company together and driving its ongoing growth.",Brian Cornell CEO Leadership Philosophy
Home Depot,Entry Level,Customer-First Inverted Pyramid,Putting customers first followed by associates then support and leadership,Tell me about a time when you had to prioritize a customer need over your own convenience or preferences. How did you handle the situation?,Values,Easy,"In the inverted pyramid model the customer comes first then associates followed by field support corporate support and finally leadership at the bottom.",Ted Decker CEO Leadership Model
Home Depot,Mid Level,Values-Driven Culture,Living company values through actions of respect relationships and doing the right thing,Tell me about a time when you had to make a decision that tested your values. How did you ensure you did the right thing?,Values,Medium,"The values wheel consists of eight values: respect for all people giving back to the community building strong relationships doing the right thing providing an entrepreneurial spirit providing excellent customer service and taking care of its people.",Ted Decker CEO Values Framework
Home Depot,Senior,Associate Care Philosophy,Taking care of associates so they can take care of customers,Tell me about a time when you had to invest in developing or supporting your team members. How did this investment impact customer outcomes?,Leadership,Hard,"If you take care of your associates they'll take care of the customers and the rest will take care of itself.",Ted Decker CEO Philosophy
Home Depot,Leadership,Whatever It Takes Service,Ensuring customers always have access to the best assortment quantity price and assistance,Tell me about a time when you had to go to extraordinary lengths to meet a customer commitment. What obstacles did you overcome?,Leadership,Hard,"The company follows a philosophy of whatever it takes exemplified by its Customer Bill of Rights ensuring customers always have access to the best assortment quantity and price along with knowledgeable assistance.",Ted Decker CEO Service Philosophy
Home Depot,Mid Level,Agile Leadership,Being agile and responsive while maintaining long-term planning focus,Tell me about a time when you had to quickly adapt your plans while keeping your team focused on long-term goals. How did you manage both priorities?,Problem Solving,Medium,"As we learned through COVID we have to be agile. Everyone has a plan until they get punched in the mouth. We are constantly updating forecasts — yearly quarterly monthly weekly — to respond in real time.",Ted Decker CEO Statement
Home Depot,Entry Level,Resilience in Adversity,Understanding that life is an endurance sport requiring resilience through challenges,Tell me about a time when you faced professional adversity and had to persevere. How did you maintain your effectiveness during that period?,Problem Solving,Easy,"Life is an endurance sport and you're going to have professional and personal adversity and being resilient is just a huge piece of ultimately being happy.",Ted Decker CEO on Resilience
