Company,Role Level,Principle Name,Principle Description,Behavioral Question,Question Type,Difficulty,Quote,Source
Blackstone,Entry Level,Excellence,Strive for excellence in everything we do,Tell me about a time when you refused to accept mediocrity and pushed for excellence despite constraints.,Culture Fit,Medium,"We seek to create positive economic impact and long-term value for our investors, portfolio companies, and communities.","Stephen Schwarzman, CEO, Annual Investor Letter, 2024"
Blackstone,Mid Level,Integrity,Conduct business with highest ethical standards,Describe a situation where you had to make a decision that tested your integrity.,Values,Hard,"We seek to create positive economic impact and long-term value for our investors, portfolio companies, and communities.","Stephen Schwarzman, CEO, Annual Investor Letter, 2024"
Blackstone,Senior,Entrepreneurship,Think and act like owners to create value,Give me an example of when you identified an opportunity others missed.,Leadership,Hard,"We seek to create positive economic impact and long-term value for our investors, portfolio companies, and communities.","Stephen Schwarzman, CEO, Annual Investor Letter, 2024"
Blackstone,Leadership,Meritocracy,Reward performance and results above all,Tell me about making difficult decisions based purely on merit.,Leadership,Hard,"We seek to create positive economic impact and long-term value for our investors, portfolio companies, and communities.","Stephen Schwarzman, CEO, Annual Investor Letter, 2024"
Blackstone,Leadership,Global Perspective,Apply global insights to local opportunities,Describe navigating cultural differences to achieve global success.,Problem Solving,Medium,"We seek to create positive economic impact and long-term value for our investors, portfolio companies, and communities.","Stephen Schwarzman, CEO, Annual Investor Letter, 2024"
Blackstone,Leadership,Innovation,Drive innovation in alternative investments,Give me an example of implementing innovative approaches for competitive advantage.,Problem Solving,Hard,"We seek to create positive economic impact and long-term value for our investors, portfolio companies, and communities.","Stephen Schwarzman, CEO, Annual Investor Letter, 2024"
KKR,Entry Level,Ownership Mentality,Act like owners in every decision,Tell me about taking personal ownership of a challenging situation.,Culture Fit,Medium,We believe generating strong returns requires true partnership with management teams and long-term perspective.,"Henry Kravis, Co-Founder, KKR Insights, 2024"
KKR,Mid Level,Partnership,Build lasting partnerships based on mutual respect,Describe developing a strategic partnership that created sustainable value.,Teamwork,Medium,We believe generating strong returns requires true partnership with management teams and long-term perspective.,"Henry Kravis, Co-Founder, KKR Insights, 2024"
KKR,Senior,Long-term Value Creation,Focus on sustainable value creation,Give me an example of balancing short-term pressures with long-term objectives.,Problem Solving,Hard,We believe generating strong returns requires true partnership with management teams and long-term perspective.,"Henry Kravis, Co-Founder, KKR Insights, 2024"
KKR,Leadership,Principled Leadership,Lead with strong principles and ethics,Tell me about leading through crisis while maintaining principles.,Leadership,Hard,We believe generating strong returns requires true partnership with management teams and long-term perspective.,"Henry Kravis, Co-Founder, KKR Insights, 2024"
