company,role,principle_name,principle_description,question,question_type,difficulty,quote,source
Figma,Entry Level,Fun as Essential Value,Making work enjoyable and collaborative to retain amazing talent,"Tell me about a time when you made a challenging work environment more enjoyable for your team, and what impact that had on overall productivity.",Culture Fit,Medium,"You could hear a pin drop in our office. No-one was talking and it definitely wasn't fun. I remember looking around one day thinking no one's gonna stay if we can't make it more enjoyable. These are amazing people, but why are we here if we can't make it fun?","Dylan Field, CEO, 2022"
Figma,Mid Level,Collaborative Transparency,Building trust through open sharing of work and ideas,"Tell me about a time when you had to share deeply personal work with colleagues for feedback and collaboration, and how you handled the vulnerability that came with it.",Teamwork,Hard,"I've seen firsthand how working in a collaborative digital space moves teams from a mindset of 'my ideas' to 'our ideas.' This requires a radical shift — a level of trust and transparency that many of us are still catching up to. In many ways, design is deeply personal, and opening up that work to others to build on and remix can feel like opening up a part of yourself.","Dylan Field, CEO, 2023"
Databricks,Senior,Intelligence Revolution Leadership,Leading organizations through transformative technological change,"Tell me about a time when you had to convince leadership to invest in a technology that would fundamentally transform your industry, even when the full impact wasn't yet clear.",Leadership,Hard,"In my opinion, [we're] in the beginning of the next big, giant revolution. I wouldn't compare it to the computer, I would compare it to the industrial revolution…This is the intelligence revolution.","Ali Ghodsi, CEO, 2023"
Databricks,Leadership,Data-Driven Executive Readiness,Preparing leaders to be competent in data and AI for future success,"Tell me about a time when you had to rapidly develop expertise in a new technology domain to remain effective in your leadership role.",Leadership,Hard,"In 10 years, I don't think you're eligible to be CEO of a Fortune 500 or Fortune 50 if you're not well versed in data and AI.","Ali Ghodsi, CEO, 2023"
Notion,Mid Level,Perspective-Driven Innovation,Using different perspectives to unlock creative solutions,"Tell me about a time when you consciously changed your perspective on a problem and it led to a breakthrough solution that others had missed.",Problem Solving,Medium,"You need to see a different version of the truth. You need to have different perspectives. I really like this quote from Alan Kay: 'A perspective is worth 80 points IQ'. It's not about your raw intelligence, it's not about your raw CPU, it's about your taste, your perspective, your outlook on things.","Ivan Zhao, CEO, 2024"
Notion,Senior,Value Alignment in Execution,Ensuring work output reflects core company and personal values,"Tell me about a time when you realized your team was delivering quality work quickly, but it wasn't aligned with your values, and how you course-corrected.",Values,Hard,"2024, is the year that I can say we ship good stuff at good velocity and good quality and align with our values. [I got] lost there for a year, year and a half, shipping something not according to our value, not according to my value.","Ivan Zhao, CEO, 2024"
Notion,Entry Level,Customer-Centric Scale,Maintaining personal connection with customers despite massive growth,"Tell me about a time when you went above and beyond to stay personally connected to customer feedback, even when it wasn't efficient or scalable.",Culture Fit,Medium,"The cofounder and CEO of a $10 billion company with 100 million users is getting a notification on his personal phone every single time a customer asks the company for something.","Fortune, 2024"
Canva,Entry Level,Persistence Through Rejection,Learning from rejection and continuous improvement,"Tell me about a time when you faced repeated rejections but used each 'no' as a learning opportunity to improve your approach.",Values,Medium,"Every time we hear the word 'no', we tried to learn something from it – whether that was refining our strategy, pitch deck, or just the way we explained it.","Melanie Perkins, CEO, 2023"
Canva,Mid Level,Celebrating Team Achievements,Taking time to acknowledge and celebrate important milestones with creativity,"Tell me about a time when you organized or led a creative celebration for a team achievement, and why you felt it was important to prioritize that celebration.",Culture Fit,Medium,"A big part of our culture has always been celebrating in quirky outlandish ways when we achieve our goals, including everything from releasing doves to smashing plates, and holding more than 100 picnics around the world to celebrate reaching 100 million monthly active users.","Melanie Perkins, CEO, 2023"
Canva,Senior,Seed Planting Mentality,Understanding that success comes from planting many small efforts consistently,"Tell me about a time when you had to plant multiple small initiatives knowing that only some would succeed, and how you managed that uncertainty.",Leadership,Hard,"You have to plant hundreds of tiny seeds, water them and tend to them, and then eventually one will eventually grow.","Melanie Perkins, CEO, 2023"
Stripe,Mid Level,Details-Focused Culture,Prioritizing attention to small details that create significant impact,"Tell me about a time when your attention to a seemingly small detail prevented a major problem or created unexpected value.",Problem Solving,Medium,"The main mistakes that companies make are being too precious about it, being too apologetic about it, and not treating it as dynamic and subject to revision.","Patrick Collison, CEO, Berkeley Haas 2023"
Stripe,Senior,Adaptability Over Consistency,Choosing to be right rather than maintaining consistency when circumstances change,"Tell me about a time when you had to abandon a previous decision or approach because new information showed it was wrong, even though it meant appearing inconsistent.",Leadership,Hard,"I think it's much better to be right than to be consistent.","Patrick Collison, CEO, 2023"
Stripe,Leadership,Yes And Innovation Culture,Maintaining openness to ideas while being disciplined about execution,"Tell me about a time when you fostered an environment where unconventional ideas could surface, while still maintaining focus on what actually got executed.",Leadership,Hard,"Patrick Collison recommends maintaining a 'yes and' culture that is open and receptive to new ideas, even if most ideas are bad or not feasible. He tries to cultivate an enjoyment of contemplating possibilities and options, while still being disciplined about what gets executed.","Stripe Culture Documentation, 2023"
Stripe,Entry Level,Transparent Leadership During Crisis,Communicating honestly with teams during difficult business decisions,"Tell me about a time when you had to communicate difficult news to your team with complete transparency, and how you balanced honesty with maintaining morale.",Values,Medium,"Patrick's leadership during this time emphasized transparency and empathy. He personally addressed the company, explaining the rationale behind the layoffs and outlining Stripe's path forward.","Tech Analysis, 2022"
